candidate,family,fold,fold_sharpe,test_groups
macro_liquidity_expansion_score,Family A: Macro + Liquidity Expansion,0,2.227433735828254,"0,1"
macro_liquidity_expansion_score,Family A: Macro + Liquidity Expansion,1,0.8507345380649135,"0,2"
macro_liquidity_expansion_score,Family A: Macro + Liquidity Expansion,2,1.879854671484653,"0,3"
macro_liquidity_expansion_score,Family A: Macro + Liquidity Expansion,3,2.3241341184834248,"0,4"
macro_liquidity_expansion_score,Family A: Macro + Liquidity Expansion,4,1.1727084203613884,"0,5"
macro_liquidity_expansion_score,Family A: Macro + Liquidity Expansion,5,0.9217792913569104,"1,2"
macro_liquidity_expansion_score,Family A: Macro + Liquidity Expansion,6,1.5175312720405734,"1,3"
macro_liquidity_expansion_score,Family A: Macro + Liquidity Expansion,7,1.858329876231893,"1,4"
macro_liquidity_expansion_score,Family A: Macro + Liquidity Expansion,8,1.121094140170797,"1,5"
macro_liquidity_expansion_score,Family A: Macro + Liquidity Expansion,9,-0.6376273206521191,"2,3"
macro_liquidity_expansion_score,Family A: Macro + Liquidity Expansion,10,0.16120250813549078,"2,4"
macro_liquidity_expansion_score,Family A: Macro + Liquidity Expansion,11,-1.3475770785740886,"2,5"
macro_liquidity_expansion_score,Family A: Macro + Liquidity Expansion,12,1.2683533495525834,"3,4"
macro_liquidity_expansion_score,Family A: Macro + Liquidity Expansion,13,-0.2290500832529678,"3,5"
macro_liquidity_expansion_score,Family A: Macro + Liquidity Expansion,14,0.5123786438641323,"4,5"
capitulation_rebound_score,Family B: Capitulation-Rebound Strategy,0,1.777833598351301,"0,1"
capitulation_rebound_score,Family B: Capitulation-Rebound Strategy,1,1.3617836560408614,"0,2"
capitulation_rebound_score,Family B: Capitulation-Rebound Strategy,2,1.4581230910548815,"0,3"
capitulation_rebound_score,Family B: Capitulation-Rebound Strategy,3,1.5544807974014578,"0,4"
capitulation_rebound_score,Family B: Capitulation-Rebound Strategy,4,1.5544807974014578,"0,5"
capitulation_rebound_score,Family B: Capitulation-Rebound Strategy,5,0.5218691556130027,"1,2"
capitulation_rebound_score,Family B: Capitulation-Rebound Strategy,6,0.7086713557758323,"1,3"
capitulation_rebound_score,Family B: Capitulation-Rebound Strategy,7,0.876061521059451,"1,4"
capitulation_rebound_score,Family B: Capitulation-Rebound Strategy,8,0.876061521059451,"1,5"
capitulation_rebound_score,Family B: Capitulation-Rebound Strategy,9,0.18463998418635424,"2,3"
capitulation_rebound_score,Family B: Capitulation-Rebound Strategy,10,-0.0480327571334223,"2,4"
capitulation_rebound_score,Family B: Capitulation-Rebound Strategy,11,-0.0480327571334223,"2,5"
capitulation_rebound_score,Family B: Capitulation-Rebound Strategy,12,0.27435406363020237,"3,4"
capitulation_rebound_score,Family B: Capitulation-Rebound Strategy,13,0.27435406363020237,"3,5"
