step,equity,drawdown
0,0.990188,-0.009812
1,0.984558,-0.015442
2,0.97217,-0.02783
3,0.976585,-0.023415
4,0.970286,-0.029714
5,0.955801,-0.044199
6,0.951204,-0.048796
7,0.974628,-0.025372
8,0.975834,-0.024166
9,0.977786,-0.022214
10,0.967201,-0.032799
11,0.953416,-0.046584
12,0.957386,-0.042614
13,0.965326,-0.034674
14,0.964764,-0.035236
15,0.966088,-0.033912
16,0.962524,-0.037476
17,0.970387,-0.029613
18,0.978252,-0.021748
19,0.973007,-0.026993
20,0.963615,-0.036385
21,0.964594,-0.035406
22,0.954112,-0.045888
23,0.95397,-0.04603
24,0.95144,-0.04856
25,0.940458,-0.059542
26,0.931705,-0.068295
27,0.94265,-0.05735
28,0.952865,-0.047135
29,0.94897,-0.05103
30,0.965213,-0.034787
31,1.009831,0.0
32,0.990499,-0.019144
33,0.976934,-0.032577
34,0.970375,-0.039072
35,0.97547,-0.034026
36,0.982574,-0.026991
37,0.989456,-0.020177
38,0.986666,-0.022939
39,0.989265,-0.020365
40,0.995512,-0.01418
41,0.984358,-0.025225
42,0.980713,-0.028835
43,1.023301,0.0
44,1.022989,-0.000305
45,1.023356,0.0
46,1.018554,-0.004693
47,1.025838,0.0
48,1.032781,0.0
49,1.038996,0.0
50,1.044422,0.0
51,1.05222,0.0
52,1.052124,-9.1e-05
53,1.061938,0.0
54,1.076805,0.0
55,1.074777,-0.001884
56,1.099957,0.0
57,1.128273,0.0
58,1.136238,0.0
59,1.15298,0.0
60,1.167016,0.0
61,1.16882,0.0
62,1.157762,-0.00946
63,1.166183,-0.002256
64,1.152724,-0.013771
65,1.142143,-0.022824
66,1.141354,-0.023499
67,1.158145,-0.009133
68,1.151303,-0.014986
69,1.146249,-0.019311
70,1.136851,-0.027351
71,1.134187,-0.029631
72,1.127602,-0.035264
73,1.150534,-0.015645
74,1.141026,-0.023779
75,1.142232,-0.022748
76,1.149076,-0.016892
77,1.146358,-0.019217
78,1.142642,-0.022397
79,1.140008,-0.024651
80,1.171522,0.0
81,1.176666,0.0
82,1.164952,-0.009956
83,1.173764,-0.002466
84,1.19888,0.0
85,1.186166,-0.010606
86,1.179505,-0.016161
87,1.180175,-0.015602
88,1.191901,-0.005822
89,1.201365,0.0
90,1.204489,0.0
91,1.213917,0.0
92,1.236263,0.0
93,1.249263,0.0
94,1.273406,0.0
95,1.259364,-0.011027
96,1.242854,-0.023992
97,1.231338,-0.033036
98,1.235596,-0.029692
99,1.22543,-0.037675
100,1.230115,-0.033996
101,1.24269,-0.024121
102,1.245435,-0.021965
103,1.27173,-0.001316
104,1.287949,0.0
105,1.27632,-0.009029
106,1.258241,-0.023066
107,1.261645,-0.020423
108,1.296506,0.0
109,1.283874,-0.009743
110,1.292357,-0.0032
111,1.27892,-0.013564
112,1.273836,-0.017486
113,1.283054,-0.010376
114,1.301122,0.0
115,1.286925,-0.010912
116,1.280802,-0.015617
117,1.273552,-0.02119
118,1.275655,-0.019573
119,1.316149,0.0
120,1.310985,-0.003924
121,1.317837,0.0
122,1.304434,-0.01017
123,1.306077,-0.008923
124,1.324528,0.0
125,1.334232,0.0
126,1.340003,0.0
127,1.376271,0.0
128,1.380474,0.0
129,1.421827,0.0
130,1.413944,-0.005545
131,1.409376,-0.008757
132,1.416306,-0.003883
133,1.413534,-0.005833
134,1.470161,0.0
135,1.496235,0.0
136,1.49554,-0.000465
137,1.475964,-0.013548
138,1.505382,0.0
139,1.502102,-0.002179
140,1.508055,0.0
141,1.507035,-0.000676
142,1.479766,-0.018759
143,1.504139,-0.002597
144,1.508315,0.0
145,1.496061,-0.008124
146,1.48914,-0.012713
147,1.478331,-0.019879
148,1.488268,-0.013291
149,1.487391,-0.013872
150,1.49022,-0.011996
151,1.519723,0.0
152,1.51008,-0.006345
153,1.504111,-0.010273
154,1.510553,-0.006034
155,1.520904,0.0
156,1.530088,0.0
157,1.535802,0.0
158,1.522001,-0.008986
159,1.521204,-0.009505
160,1.523081,-0.008283
161,1.528357,-0.004848
162,1.527749,-0.005243
163,1.539728,0.0
164,1.533187,-0.004248
165,1.547775,0.0
166,1.557769,0.0
167,1.569821,0.0
168,1.559959,-0.006282
169,1.551765,-0.011502
170,1.550165,-0.012521
171,1.550971,-0.012008
172,1.552698,-0.010908
173,1.553356,-0.010488
174,1.552746,-0.010877
175,1.554026,-0.010061
176,1.538812,-0.019753
177,1.566823,-0.00191
178,1.608525,0.0
179,1.587503,-0.013069
180,1.603536,-0.003101
181,1.644539,0.0
182,1.65006,0.0
183,1.637005,-0.007912
184,1.648007,-0.001244
185,1.67615,0.0
186,1.72838,0.0
187,1.702972,-0.014701
188,1.693224,-0.020341
189,1.705764,-0.013085
190,1.754292,0.0
191,1.774391,0.0
192,1.756076,-0.010322
193,1.758924,-0.008717
194,1.736556,-0.021323
195,1.721094,-0.030037
196,1.744336,-0.016939
197,1.773855,-0.000302
198,1.758218,-0.009115
199,1.782542,0.0
200,1.79196,0.0
201,1.768071,-0.013331
202,1.755617,-0.020281
203,1.727108,-0.036191
204,1.743011,-0.027316
205,1.759369,-0.018188
206,1.77021,-0.012137
207,1.757465,-0.01925
208,1.741172,-0.028342
209,1.728032,-0.035675
210,1.708157,-0.046766
211,1.736949,-0.030699
212,1.744727,-0.026358
213,1.718958,-0.040739
214,1.72689,-0.036312
215,1.733362,-0.032701
216,1.776755,-0.008485
217,1.775556,-0.009154
218,1.775033,-0.009446
219,1.75524,-0.020492
220,1.790403,-0.000869
221,1.796081,0.0
222,1.818235,0.0
223,1.837936,0.0
224,1.849986,0.0
225,1.841625,-0.00452
226,1.820467,-0.015957
227,1.822791,-0.0147
228,1.798801,-0.027668
229,1.781612,-0.036959
230,1.78957,-0.032658
231,1.79257,-0.031036
232,1.790859,-0.031961
233,1.775807,-0.040097
234,1.753838,-0.051972
235,1.79517,-0.029631
236,1.772311,-0.041987
237,1.770441,-0.042998
238,1.745573,-0.05644
239,1.734934,-0.062191
240,1.73967,-0.059631
241,1.786525,-0.034304
242,1.824444,-0.013807
243,1.810342,-0.021429
244,1.825164,-0.013417
245,1.804009,-0.024852
246,1.80977,-0.021738
247,1.818374,-0.017088
248,1.821174,-0.015574
249,1.848034,-0.001055
250,1.856283,0.0
251,1.845299,-0.005917
252,1.830253,-0.014023
253,1.885517,0.0
254,1.877012,-0.004511
255,1.858131,-0.014525
256,1.846957,-0.020451
257,1.830949,-0.028941
258,1.829035,-0.029956
259,1.825827,-0.031657
260,1.832332,-0.028208
261,1.829754,-0.029574
262,1.856459,-0.015411
263,1.839805,-0.024244
264,1.862825,-0.012035
265,1.847874,-0.019965
266,1.865136,-0.010809
267,1.837955,-0.025225
268,1.833887,-0.027383
269,1.874397,-0.005898
270,1.86035,-0.013348
271,1.862588,-0.012161
272,1.857442,-0.01489
273,1.839487,-0.024413
274,1.832438,-0.028151
275,1.814459,-0.037686
276,1.808667,-0.040758
277,1.798019,-0.046406
278,1.820717,-0.034367
