step,equity,drawdown
0,1.004323,0.0
1,0.993655,-0.010622
2,1.001542,-0.002769
3,0.981105,-0.023118
4,0.996823,-0.007468
5,1.017579,0.0
6,1.009805,-0.00764
7,1.024396,0.0
8,1.061523,0.0
9,1.058635,-0.002721
10,1.117519,0.0
11,1.1229,0.0
12,1.160058,0.0
13,1.1645,0.0
14,1.146038,-0.015855
15,1.17422,0.0
16,1.19514,0.0
17,1.189588,-0.004646
18,1.179461,-0.013119
19,1.1823,-0.010743
20,1.20232,0.0
21,1.199205,-0.002591
22,1.216222,0.0
23,1.23269,0.0
24,1.220776,-0.009665
25,1.203663,-0.023547
26,1.225779,-0.005606
27,1.216854,-0.012847
28,1.205595,-0.02198
29,1.246274,0.0
30,1.25171,0.0
31,1.247843,-0.00309
32,1.292915,0.0
33,1.324957,0.0
34,1.350709,0.0
35,1.365001,0.0
36,1.390276,0.0
37,1.407427,0.0
38,1.407294,-9.5e-05
39,1.463975,0.0
40,1.471406,0.0
41,1.451532,-0.013507
42,1.433975,-0.025439
43,1.530149,0.0
44,1.514533,-0.010205
45,1.522615,-0.004924
46,1.600569,0.0
47,1.59402,-0.004092
48,1.605028,0.0
49,1.618441,0.0
50,1.610681,-0.004794
51,1.588979,-0.018204
52,1.562017,-0.034863
53,1.57009,-0.029875
54,1.620863,0.0
55,1.646063,0.0
56,1.746383,0.0
57,1.796955,0.0
58,1.794137,-0.001568
59,1.793193,-0.002093
60,1.786406,-0.00587
61,1.812914,0.0
62,1.805969,-0.003831
63,1.834588,0.0
64,1.846492,0.0
65,1.953357,0.0
66,1.95891,0.0
67,1.992502,0.0
68,1.954062,-0.019292
69,1.929602,-0.031568
70,1.954653,-0.018995
71,1.964479,-0.014064
72,2.02927,0.0
73,2.063562,0.0
74,2.063909,0.0
75,2.063311,-0.00029
76,2.090156,0.0
77,2.020167,-0.033485
78,1.997363,-0.044395
79,1.97651,-0.054372
80,2.082435,-0.003694
81,2.108805,0.0
82,2.091857,-0.008037
83,2.071108,-0.017876
84,2.111451,0.0
85,2.18325,0.0
86,2.21545,0.0
87,2.209337,-0.002759
88,2.240378,0.0
89,2.264107,0.0
90,2.262994,-0.000492
91,2.306011,0.0
92,2.402528,0.0
93,2.399995,-0.001054
94,2.457633,0.0
95,2.522576,0.0
96,2.466693,-0.022153
97,2.546554,0.0
98,2.524809,-0.008539
99,2.504571,-0.016486
100,2.492753,-0.021127
101,2.510728,-0.014068
102,2.60255,0.0
103,2.721596,0.0
104,2.759836,0.0
105,2.761036,0.0
106,2.742676,-0.00665
107,2.75821,-0.001024
108,2.870473,0.0
109,2.975698,0.0
110,2.993559,0.0
111,2.915645,-0.026027
112,2.939014,-0.01822
113,2.860814,-0.044343
114,2.89749,-0.032092
115,3.089984,0.0
116,3.038128,-0.016782
117,3.008342,-0.026421
118,3.01618,-0.023885
119,3.17607,0.0
120,3.175337,-0.000231
121,3.209321,0.0
122,3.36934,0.0
123,3.398194,0.0
124,3.456428,0.0
125,3.453588,-0.000822
126,3.512654,0.0
127,3.629346,0.0
128,3.560526,-0.018962
129,3.759898,0.0
130,3.782943,0.0
131,3.786337,0.0
132,3.772617,-0.003623
133,3.744232,-0.01112
134,4.044994,0.0
135,4.251274,0.0
136,4.12329,-0.030105
137,4.221397,-0.007028
138,4.398012,0.0
139,4.397175,-0.00019
140,4.699394,0.0
141,4.793357,0.0
142,4.853893,0.0
143,4.912487,0.0
144,5.013157,0.0
145,5.000775,-0.00247
146,5.250414,0.0
147,5.272102,0.0
148,5.215558,-0.010725
149,5.472309,0.0
150,5.566442,0.0
151,5.750475,0.0
152,5.676964,-0.012783
153,5.690488,-0.010432
154,5.843897,0.0
155,6.024616,0.0
156,6.206904,0.0
157,6.515138,0.0
158,6.429129,-0.013201
159,6.696071,0.0
160,6.698119,0.0
161,6.505845,-0.028706
162,6.396906,-0.04497
163,6.416229,-0.042085
164,6.340681,-0.053364
165,6.451443,-0.036828
166,6.932696,0.0
167,6.811769,-0.017443
168,6.790544,-0.020505
169,6.881432,-0.007394
170,6.853023,-0.011492
171,7.041674,0.0
172,7.53731,0.0
173,7.480341,-0.007558
174,7.546531,0.0
175,7.665774,0.0
176,8.15586,0.0
177,8.468314,0.0
178,8.826408,0.0
179,9.043404,0.0
180,9.139564,0.0
181,9.640508,0.0
182,9.736655,0.0
183,9.541677,-0.020025
184,9.729942,-0.00069
185,10.071476,0.0
186,10.745926,0.0
187,11.100002,0.0
188,10.849056,-0.022608
189,11.077185,-0.002056
190,11.45266,0.0
191,11.685126,0.0
192,11.448647,-0.020238
193,11.577351,-0.009223
194,11.772497,0.0
195,12.189236,0.0
196,12.163405,-0.002119
197,12.279008,0.0
198,12.345346,0.0
199,12.740549,0.0
200,12.974827,0.0
201,12.694908,-0.021574
202,12.522137,-0.03489
203,12.044391,-0.071711
204,12.134153,-0.064793
205,12.145972,-0.063882
206,12.237285,-0.056844
207,11.9084,-0.082192
208,11.926735,-0.080779
209,11.94686,-0.079228
210,12.03652,-0.072317
211,12.389468,-0.045115
212,12.206414,-0.059223
213,12.621356,-0.027243
214,12.741119,-0.018012
215,12.903599,-0.00549
216,13.66771,0.0
217,13.520628,-0.010761
218,13.525163,-0.010429
219,13.52054,-0.010768
220,14.193512,0.0
221,14.162351,-0.002195
222,13.912636,-0.019789
223,14.004581,-0.013311
224,13.638445,-0.039107
225,14.464284,0.0
226,14.15548,-0.021349
227,14.603903,0.0
228,14.654807,0.0
229,14.275126,-0.025908
230,14.752078,0.0
231,15.117781,0.0
232,14.702622,-0.027462
233,14.39443,-0.047848
234,14.530351,-0.038857
235,15.099068,-0.001238
236,14.897045,-0.014601
237,14.797267,-0.021201
238,15.035258,-0.005459
239,15.259967,0.0
240,15.372367,0.0
241,16.093583,0.0
242,16.744066,0.0
243,16.66005,-0.005018
244,16.673473,-0.004216
245,17.061239,0.0
246,17.173987,0.0
247,16.958156,-0.012567
248,16.571341,-0.035091
249,17.219742,0.0
250,17.212492,-0.000421
251,17.113401,-0.006176
252,17.313521,0.0
253,18.358009,0.0
254,18.110909,-0.01346
255,17.896973,-0.025114
256,17.77906,-0.031537
257,18.130963,-0.012368
258,18.073457,-0.0155
259,18.11766,-0.013092
260,18.180985,-0.009643
261,18.221153,-0.007455
262,19.332833,0.0
263,19.137673,-0.010095
264,18.949709,-0.019817
265,19.005673,-0.016923
266,18.936191,-0.020516
267,18.817258,-0.026668
268,19.352174,0.0
269,20.3248,0.0
270,19.87026,-0.022364
271,21.077236,0.0
272,21.777699,0.0
273,22.766665,0.0
274,22.833725,0.0
275,22.117681,-0.031359
276,23.523351,0.0
277,23.65024,0.0
278,23.95826,0.0
279,24.278659,0.0
280,24.383592,0.0
281,24.952785,0.0
282,25.214996,0.0
283,26.036109,0.0
284,26.518219,0.0
285,27.581744,0.0
286,27.28314,-0.010826
287,27.580475,-4.6e-05
288,27.444318,-0.004983
289,27.77319,0.0
290,27.206124,-0.020418
291,26.620097,-0.041518
292,28.006118,0.0
293,27.251874,-0.026931
294,27.906722,-0.003549
295,28.948656,0.0
296,29.712764,0.0
297,30.166674,0.0
298,29.885025,-0.009336
299,30.63543,0.0
300,31.592321,0.0
301,31.66942,0.0
302,32.674329,0.0
303,32.815929,0.0
304,32.996823,0.0
305,34.988739,0.0
306,35.208967,0.0
307,35.546878,0.0
308,35.145374,-0.011295
309,36.138545,0.0
310,37.071081,0.0
311,37.217164,0.0
312,39.004356,0.0
313,38.904265,-0.002566
314,38.537647,-0.011966
315,38.303381,-0.017972
316,38.273829,-0.018729
317,38.972469,-0.000818
318,39.435342,0.0
319,40.175367,0.0
320,40.275449,0.0
321,41.661984,0.0
322,44.031304,0.0
323,45.372405,0.0
324,45.547436,0.0
325,44.959585,-0.012906
326,47.022884,0.0
327,47.299233,0.0
328,47.602871,0.0
329,47.365594,-0.004985
330,50.061323,0.0
331,50.468137,0.0
332,51.955703,0.0
333,52.13255,0.0
334,51.937848,-0.003735
335,54.114131,0.0
336,52.65038,-0.027049
337,53.424529,-0.012743
338,54.019093,-0.001756
339,54.39001,0.0
340,57.285075,0.0
341,57.709949,0.0
342,57.839755,0.0
343,59.074238,0.0
344,62.661166,0.0
345,66.609729,0.0
346,66.768528,0.0
347,70.986191,0.0
348,72.990396,0.0
349,73.997376,0.0
350,70.948242,-0.041206
351,71.899546,-0.02835
352,75.117352,0.0
353,75.524322,0.0
354,75.873451,0.0
355,78.958572,0.0
356,81.6143,0.0
357,86.418939,0.0
358,85.681182,-0.008537
359,84.936215,-0.017157
360,82.420748,-0.046265
361,81.405516,-0.058013
362,83.488976,-0.033904
363,83.119092,-0.038184
364,83.176346,-0.037522
365,88.057743,0.0
366,91.571546,0.0
367,89.357907,-0.024174
368,86.858057,-0.051473
369,87.475248,-0.044733
370,93.065869,0.0
371,95.861899,0.0
372,96.284832,0.0
373,97.017211,0.0
374,99.721678,0.0
375,100.603926,0.0
376,105.945734,0.0
377,108.645824,0.0
378,108.113699,-0.004898
379,112.131061,0.0
380,112.639441,0.0
381,114.070822,0.0
382,121.519429,0.0
383,124.532045,0.0
384,126.497592,0.0
385,128.741873,0.0
386,129.7473,0.0
387,138.961032,0.0
388,139.12106,0.0
389,137.52288,-0.011488
390,137.822724,-0.009332
391,140.89642,0.0
392,140.134401,-0.005408
393,147.279593,0.0
394,154.39847,0.0
395,154.099887,-0.001934
396,163.281843,0.0
397,166.437312,0.0
398,163.712858,-0.016369
399,161.145805,-0.031793
400,171.53369,0.0
401,164.465469,-0.041206
402,159.191641,-0.071951
403,165.601836,-0.034581
404,172.351409,0.0
