step,equity,drawdown
0,1.004251,0.0
1,0.993267,-0.010937
2,1.001533,-0.002706
3,0.981494,-0.02266
4,0.997654,-0.006569
5,1.0179,0.0
6,1.011318,-0.006466
7,1.02751,0.0
8,1.065444,0.0
9,1.061798,-0.003422
10,1.121855,0.0
11,1.12639,0.0
12,1.164757,0.0
13,1.168977,0.0
14,1.151815,-0.014681
15,1.180135,0.0
16,1.202567,0.0
17,1.198317,-0.003534
18,1.190154,-0.010323
19,1.192731,-0.008179
20,1.212456,0.0
21,1.209215,-0.002673
22,1.22497,0.0
23,1.241549,0.0
24,1.229233,-0.00992
25,1.211806,-0.023956
26,1.235704,-0.004708
27,1.226534,-0.012094
28,1.217903,-0.019045
29,1.260414,0.0
30,1.268473,0.0
31,1.268585,0.0
32,1.314792,0.0
33,1.348214,0.0
34,1.37496,0.0
35,1.388688,0.0
36,1.412041,0.0
37,1.429174,0.0
38,1.427915,-0.000881
39,1.484555,0.0
40,1.490979,0.0
41,1.470184,-0.013947
42,1.454054,-0.024766
43,1.543813,0.0
44,1.528506,-0.009915
45,1.536079,-0.00501
46,1.609827,0.0
47,1.603853,-0.003711
48,1.613387,0.0
49,1.625842,0.0
50,1.617931,-0.004865
51,1.596744,-0.017897
52,1.570701,-0.033915
53,1.578921,-0.028859
54,1.627739,0.0
55,1.651268,0.0
56,1.749157,0.0
57,1.798956,0.0
58,1.795794,-0.001757
59,1.795176,-0.002101
60,1.789127,-0.005464
61,1.814694,0.0
62,1.807663,-0.003875
63,1.835954,0.0
64,1.847309,0.0
65,1.952023,0.0
66,1.957451,0.0
67,1.990943,0.0
68,1.953007,-0.019054
69,1.928854,-0.031186
70,1.952373,-0.019373
71,1.961756,-0.01466
72,2.024114,0.0
73,2.05879,0.0
74,2.058337,-0.00022
75,2.057532,-0.000611
76,2.083985,0.0
77,2.016224,-0.032515
78,1.994136,-0.043114
79,1.97384,-0.052853
80,2.078336,-0.002711
81,2.104284,0.0
82,2.087269,-0.008086
83,2.068127,-0.017183
84,2.108822,0.0
85,2.173057,0.0
86,2.201298,0.0
87,2.196212,-0.002311
88,2.226947,0.0
89,2.250775,0.0
90,2.250276,-0.000222
91,2.288384,0.0
92,2.378542,0.0
93,2.382803,0.0
94,2.440774,0.0
95,2.486105,0.0
96,2.433808,-0.021036
97,2.49288,0.0
98,2.476763,-0.006465
99,2.455325,-0.015065
100,2.448854,-0.017661
101,2.467435,-0.010207
102,2.543264,0.0
