step,equity,drawdown
0,1.004372,0.0
1,0.994009,-0.010317
2,1.001506,-0.002853
3,0.980726,-0.023543
4,0.995993,-0.008342
5,1.017184,0.0
6,1.008279,-0.008754
7,1.021334,0.0
8,1.057642,0.0
9,1.055489,-0.002036
10,1.113164,0.0
11,1.119337,0.0
12,1.155287,0.0
13,1.159945,0.0
14,1.14064,-0.016643
15,1.168681,0.0
16,1.188509,0.0
17,1.182058,-0.005428
18,1.170578,-0.015087
19,1.173594,-0.01255
20,1.193782,0.0
21,1.190823,-0.002479
22,1.208916,0.0
23,1.225288,0.0
24,1.21372,-0.009441
25,1.196876,-0.023188
26,1.217453,-0.006394
27,1.208743,-0.013503
28,1.195051,-0.024678
29,1.234027,0.0
30,1.237035,0.0
31,1.229515,-0.006079
32,1.273528,0.0
33,1.304287,0.0
34,1.329119,0.0
35,1.343868,0.0
36,1.370773,0.0
37,1.387923,0.0
38,1.388761,0.0
39,1.445374,0.0
40,1.453682,0.0
41,1.434621,-0.013112
42,1.416045,-0.025891
43,1.516931,0.0
44,1.501114,-0.010427
45,1.50957,-0.004853
46,1.590571,0.0
47,1.583603,-0.004381
48,1.595737,0.0
49,1.6097,0.0
50,1.602057,-0.004748
51,1.580195,-0.018329
52,1.552876,-0.035301
53,1.560852,-0.030346
54,1.612439,0.0
55,1.638386,0.0
56,1.73928,0.0
57,1.789983,0.0
58,1.787347,-0.001473
59,1.786316,-0.002049
60,1.779295,-0.005971
61,1.806059,0.0
62,1.799155,-0.003822
63,1.827775,0.0
64,1.839782,0.0
65,1.946851,0.0
66,1.952417,0.0
67,1.985918,0.0
68,1.947477,-0.019357
69,1.92302,-0.031672
70,1.948495,-0.018844
71,1.958431,-0.013841
72,2.023789,0.0
73,2.057835,0.0
74,2.058443,0.0
75,2.057924,-0.000252
76,2.084804,0.0
77,2.014314,-0.033811
78,1.991338,-0.044832
79,1.970376,-0.054886
80,2.076401,-0.00403
81,2.102813,0.0
82,2.085943,-0.008022
83,2.064703,-0.018123
84,2.104813,0.0
85,2.179833,0.0
86,2.213743,0.0
87,2.207166,-0.002971
88,2.23823,0.0
89,2.26184,0.0
90,2.260443,-0.000618
91,2.307251,0.0
92,2.408161,0.0
93,2.400507,-0.003179
94,2.457619,0.0
95,2.53764,0.0
96,2.479131,-0.023056
97,2.574926,0.0
98,2.549312,-0.009948
99,2.52997,-0.017459
100,2.514422,-0.023498
101,2.531936,-0.016696
102,2.634911,0.0
103,2.761558,0.0
104,2.801296,0.0
105,2.804987,0.0
106,2.789898,-0.00538
107,2.806344,0.0
108,2.92056,0.0
109,3.041243,0.0
110,3.058305,0.0
111,2.975832,-0.026967
112,3.000899,-0.018771
113,2.917374,-0.046081
114,2.953911,-0.034135
115,3.158416,0.0
116,3.104397,-0.017103
117,3.074027,-0.026719
118,3.082267,-0.02411
119,3.247545,0.0
120,3.247137,-0.000126
121,3.28234,0.0
122,3.451759,0.0
123,3.482008,0.0
124,3.541828,0.0
125,3.538054,-0.001066
126,3.599791,0.0
127,3.719556,0.0
128,3.646759,-0.019572
129,3.852992,0.0
