universe_size,effective_date,rank,symbol
20,2023-01-01,1,BTC
20,2023-01-01,2,ETH
20,2023-01-01,3,XRP
20,2023-01-01,4,DOGE
20,2023-01-01,5,BNB
20,2023-01-01,6,LTC
20,2023-01-01,7,SOL
20,2023-01-01,8,LINK
20,2023-01-01,9,ADA
20,2023-01-01,10,TWT
20,2023-01-01,11,TRX
20,2023-01-01,12,CHZ
20,2023-01-01,13,SHIB
20,2023-01-01,14,MASK
20,2023-01-01,15,DOT
20,2023-01-01,16,ATOM
20,2023-01-01,17,FIL
20,2023-01-01,18,SAND
20,2023-01-01,19,AVAX
20,2023-01-01,20,NEAR
20,2023-02-01,1,BTC
20,2023-02-01,2,ETH
20,2023-02-01,3,SOL
20,2023-02-01,4,XRP
20,2023-02-01,5,DOGE
20,2023-02-01,6,BNB
20,2023-02-01,7,GALA
20,2023-02-01,8,SHIB
20,2023-02-01,9,LTC
20,2023-02-01,10,AVAX
20,2023-02-01,11,ADA
20,2023-02-01,12,NEAR
20,2023-02-01,13,LINK
20,2023-02-01,14,FIL
20,2023-02-01,15,DOT
20,2023-02-01,16,SAND
20,2023-02-01,17,ETC
20,2023-02-01,18,ATOM
20,2023-02-01,19,TRX
20,2023-02-01,20,FET
20,2023-03-01,1,BTC
20,2023-03-01,2,ETH
20,2023-03-01,3,XRP
20,2023-03-01,4,SOL
20,2023-03-01,5,BNB
20,2023-03-01,6,DOGE
20,2023-03-01,7,SHIB
20,2023-03-01,8,LTC
20,2023-03-01,9,DYDX
20,2023-03-01,10,FIL
20,2023-03-01,11,FET
20,2023-03-01,12,AVAX
20,2023-03-01,13,GALA
20,2023-03-01,14,ADA
20,2023-03-01,15,DOT
20,2023-03-01,16,LINK
20,2023-03-01,17,GRT
20,2023-03-01,18,NEAR
20,2023-03-01,19,CFX
20,2023-03-01,20,SAND
20,2023-04-01,1,BTC
20,2023-04-01,2,ETH
20,2023-04-01,3,XRP
20,2023-04-01,4,CFX
20,2023-04-01,5,BNB
20,2023-04-01,6,SOL
20,2023-04-01,7,LTC
20,2023-04-01,8,DOGE
20,2023-04-01,9,FIL
20,2023-04-01,10,MASK
20,2023-04-01,11,ADA
20,2023-04-01,12,SHIB
20,2023-04-01,13,DYDX
20,2023-04-01,14,STX
20,2023-04-01,15,GALA
20,2023-04-01,16,LINK
20,2023-04-01,17,AVAX
20,2023-04-01,18,DOT
20,2023-04-01,19,TRX
20,2023-04-01,20,FET
20,2023-05-01,1,BTC
20,2023-05-01,2,ETH
20,2023-05-01,3,XRP
20,2023-05-01,4,DOGE
20,2023-05-01,5,BNB
20,2023-05-01,6,SOL
20,2023-05-01,7,CFX
20,2023-05-01,8,LTC
20,2023-05-01,9,ADA
20,2023-05-01,10,INJ
20,2023-05-01,11,SHIB
20,2023-05-01,12,FIL
20,2023-05-01,13,GALA
20,2023-05-01,14,OG
20,2023-05-01,15,LINK
20,2023-05-01,16,AVAX
20,2023-05-01,17,DYDX
20,2023-05-01,18,DOT
20,2023-05-01,19,ATOM
20,2023-05-01,20,MASK
20,2023-06-01,1,BTC
20,2023-06-01,2,ETH
20,2023-06-01,3,XRP
20,2023-06-01,4,BNB
20,2023-06-01,5,SOL
20,2023-06-01,6,LTC
20,2023-06-01,7,CFX
20,2023-06-01,8,DOGE
20,2023-06-01,9,ADA
20,2023-06-01,10,TRX
20,2023-06-01,11,GALA
20,2023-06-01,12,OP
20,2023-06-01,13,INJ
20,2023-06-01,14,AVAX
20,2023-06-01,15,FIL
20,2023-06-01,16,ARPA
20,2023-06-01,17,LDO
20,2023-06-01,18,SHIB
20,2023-06-01,19,LINK
20,2023-06-01,20,MASK
20,2023-07-01,1,BTC
20,2023-07-01,2,ETH
20,2023-07-01,3,XRP
20,2023-07-01,4,BNB
20,2023-07-01,5,SOL
20,2023-07-01,6,LTC
20,2023-07-01,7,DOGE
20,2023-07-01,8,ADA
20,2023-07-01,9,OP
20,2023-07-01,10,CFX
20,2023-07-01,11,AVAX
20,2023-07-01,12,LINK
20,2023-07-01,13,TRX
20,2023-07-01,14,INJ
20,2023-07-01,15,SHIB
20,2023-07-01,16,APE
20,2023-07-01,17,FIL
20,2023-07-01,18,DOT
20,2023-07-01,19,GALA
20,2023-07-01,20,STX
20,2023-08-01,1,BTC
20,2023-08-01,2,ETH
20,2023-08-01,3,XRP
20,2023-08-01,4,BNB
20,2023-08-01,5,SOL
20,2023-08-01,6,LTC
20,2023-08-01,7,DOGE
20,2023-08-01,8,BCH
20,2023-08-01,9,ADA
20,2023-08-01,10,COMP
20,2023-08-01,11,LINK
20,2023-08-01,12,OP
20,2023-08-01,13,AVAX
20,2023-08-01,14,SHIB
20,2023-08-01,15,XLM
20,2023-08-01,16,TRX
20,2023-08-01,17,FIL
20,2023-08-01,18,XVG
20,2023-08-01,19,SNX
20,2023-08-01,20,INJ
20,2023-09-01,1,BTC
20,2023-09-01,2,ETH
20,2023-09-01,3,XRP
20,2023-09-01,4,BNB
20,2023-09-01,5,SOL
20,2023-09-01,6,SHIB
20,2023-09-01,7,DOGE
20,2023-09-01,8,LTC
20,2023-09-01,9,OP
20,2023-09-01,10,LINK
20,2023-09-01,11,BCH
20,2023-09-01,12,RUNE
20,2023-09-01,13,YGG
20,2023-09-01,14,ADA
20,2023-09-01,15,TRX
20,2023-09-01,16,LPT
20,2023-09-01,17,HBAR
20,2023-09-01,18,AVAX
20,2023-09-01,19,CRV
20,2023-09-01,20,APE
20,2023-10-01,1,BTC
