Universe,Rebalance,Cost bps,Sharpe,CAGR
10,weekly,0,10.3591,95.078
10,weekly,10,10.3448,94.5152
10,weekly,25,10.3233,93.6769
10,weekly,50,10.2869,92.2949
10,weekly,100,10.2125,89.5878
10,biweekly,0,10.296,94.7166
10,biweekly,10,10.2836,94.2614
10,biweekly,25,10.2648,93.5823
10,biweekly,50,10.2328,92.46
10,biweekly,100,10.1668,90.2507
10,monthly,0,10.3004,94.618
10,monthly,10,10.293,94.3335
10,monthly,25,10.2819,93.9079
10,monthly,50,10.2628,93.2021
10,monthly,100,10.2231,91.8028
20,weekly,0,10.3591,95.078
20,weekly,10,10.3448,94.5152
20,weekly,25,10.3233,93.6769
20,weekly,50,10.2869,92.2949
20,weekly,100,10.2125,89.5878
20,biweekly,0,10.296,94.7166
20,biweekly,10,10.2836,94.2614
20,biweekly,25,10.2648,93.5823
20,biweekly,50,10.2328,92.46
20,biweekly,100,10.1668,90.2507
20,monthly,0,10.3004,94.618
20,monthly,10,10.293,94.3335
20,monthly,25,10.2819,93.9079
20,monthly,50,10.2628,93.2021
20,monthly,100,10.2231,91.8028
30,weekly,0,10.3591,95.078
30,weekly,10,10.3448,94.5152
30,weekly,25,10.3233,93.6769
30,weekly,50,10.2869,92.2949
30,weekly,100,10.2125,89.5878
30,biweekly,0,10.296,94.7166
30,biweekly,10,10.2836,94.2614
30,biweekly,25,10.2648,93.5823
30,biweekly,50,10.2328,92.46
30,biweekly,100,10.1668,90.2507
30,monthly,0,10.3004,94.618
30,monthly,10,10.293,94.3335
30,monthly,25,10.2819,93.9079
30,monthly,50,10.2628,93.2021
30,monthly,100,10.2231,91.8028
