strategy,cost_bps,fold,test_groups,fold_start,fold_end,fold_sharpe,fold_return,positive_fold
btc_only_macro_gate,25,0,0-1,2019-07-05,2021-04-30,1.6440562472963325,3.014204385244259,True
btc_only_macro_gate,25,1,0-2,2019-07-05,2022-04-01,0.025434218917312967,-0.14805115009403236,False
btc_only_macro_gate,25,2,0-3,2019-07-05,2023-03-03,-0.37565527999795156,-0.4937020034396138,False
btc_only_macro_gate,25,3,0-4,2019-07-05,2024-02-02,0.5146811073124531,0.2279940885689007,True
btc_only_macro_gate,25,4,0-5,2019-07-05,2025-01-03,0.4807758435395379,0.1960798947558975,True
btc_only_macro_gate,25,5,1-2,2020-06-05,2022-04-01,1.593649266159317,2.4040524233627005,True
btc_only_macro_gate,25,6,1-3,2020-06-05,2023-03-03,0.9334108872836747,1.0229676022513403,True
btc_only_macro_gate,25,7,1-4,2020-06-05,2024-02-02,2.085086237937735,3.9065812501882204,True
btc_only_macro_gate,25,8,1-5,2020-06-05,2025-01-03,2.0726520231208867,3.7790646876612453,True
btc_only_macro_gate,25,9,2-3,2021-05-07,2023-03-03,-0.7539277147758787,-0.5706584028281381,False
btc_only_macro_gate,25,10,2-4,2021-05-07,2024-02-02,0.2127021411860043,0.041341160513350905,True
btc_only_macro_gate,25,11,2-5,2021-05-07,2025-01-03,0.15670238953466464,0.014277867675507316,True
btc_only_macro_gate,25,12,3-4,2022-04-08,2024-02-02,-0.35716614179185147,-0.38114953337636515,False
btc_only_macro_gate,25,13,3-5,2022-04-08,2025-01-03,-0.3999662855233476,-0.3972327653047133,False
btc_only_macro_gate,25,14,4-5,2023-03-10,2025-01-03,1.0717714372134408,0.46197418519816713,True
eth_only_macro_gate,25,0,0-1,2019-07-05,2021-04-30,1.7281708981368473,4.324375643970047,True
eth_only_macro_gate,25,1,0-2,2019-07-05,2022-04-01,0.27828654416039733,-0.021201202174361056,False
eth_only_macro_gate,25,2,0-3,2019-07-05,2023-03-03,-0.16990276835221274,-0.5214181459064482,False
eth_only_macro_gate,25,3,0-4,2019-07-05,2024-02-02,0.5337956497279148,0.24025190182893663,True
eth_only_macro_gate,25,4,0-5,2019-07-05,2025-01-03,0.34041043957891876,0.0556324904058203,True
eth_only_macro_gate,25,5,1-2,2020-06-05,2022-04-01,1.6672246847512238,3.4673699930022712,True
eth_only_macro_gate,25,6,1-3,2020-06-05,2023-03-03,0.9440966229480174,1.1843122600093188,True
eth_only_macro_gate,25,7,1-4,2020-06-05,2024-02-02,2.0034957575765597,4.660677293743058,True
eth_only_macro_gate,25,8,1-5,2020-06-05,2025-01-03,1.846927492235911,3.818049349624661,True
eth_only_macro_gate,25,9,2-3,2021-05-07,2023-03-03,-0.46223479196686945,-0.5984501550723128,False
eth_only_macro_gate,25,10,2-4,2021-05-07,2024-02-02,0.22926797506200416,0.040622319026175635,True
eth_only_macro_gate,25,11,2-5,2021-05-07,2025-01-03,-0.05245196455890239,-0.11428095487250833,False
eth_only_macro_gate,25,12,3-4,2022-04-08,2024-02-02,-0.3225948262116066,-0.4911896500516587,False
eth_only_macro_gate,25,13,3-5,2022-04-08,2025-01-03,-0.48275992502994686,-0.566929318094038,False
eth_only_macro_gate,25,14,4-5,2023-03-10,2025-01-03,0.39956561290554243,0.12230903087109035,True
btc_eth_50_50_macro_gate,25,0,0-1,2019-07-05,2021-04-30,1.7998025478565458,3.810432706152282,True
btc_eth_50_50_macro_gate,25,1,0-2,2019-07-05,2022-04-01,0.17093614699019088,-0.07201261408002801,False
btc_eth_50_50_macro_gate,25,2,0-3,2019-07-05,2023-03-03,-0.26892983453285574,-0.4953724521021975,False
btc_eth_50_50_macro_gate,25,3,0-4,2019-07-05,2024-02-02,0.5450584356021864,0.2482457222490062,True
btc_eth_50_50_macro_gate,25,4,0-5,2019-07-05,2025-01-03,0.4194142059256709,0.13620290273456526,True
btc_eth_50_50_macro_gate,25,5,1-2,2020-06-05,2022-04-01,1.7479699457956568,3.0465396105177645,True
btc_eth_50_50_macro_gate,25,6,1-3,2020-06-05,2023-03-03,0.9879684126785878,1.2004559459636979,True
btc_eth_50_50_macro_gate,25,7,1-4,2020-06-05,2024-02-02,2.194226532422501,4.443043553585066,True
btc_eth_50_50_macro_gate,25,8,1-5,2020-06-05,2025-01-03,2.0992569884216246,3.9544747280618484,True
btc_eth_50_50_macro_gate,25,9,2-3,2021-05-07,2023-03-03,-0.5941757859782042,-0.5755069271595237,False
btc_eth_50_50_macro_gate,25,10,2-4,2021-05-07,2024-02-02,0.23494473848261296,0.05002524040714906,True
btc_eth_50_50_macro_gate,25,11,2-5,2021-05-07,2025-01-03,0.048336217435910815,-0.04422526363990398,False
btc_eth_50_50_macro_gate,25,12,3-4,2022-04-08,2024-02-02,-0.34198030839001925,-0.4290098439515255,False
btc_eth_50_50_macro_gate,25,13,3-5,2022-04-08,2025-01-03,-0.4547284382798156,-0.48026205003431155,False
btc_eth_50_50_macro_gate,25,14,4-5,2023-03-10,2025-01-03,0.764738685890744,0.2856227834524119,True
btc_eth_macro_gate_balanced,25,0,0-1,2019-07-05,2021-04-30,1.7998025478565458,3.810432706152282,True
btc_eth_macro_gate_balanced,25,1,0-2,2019-07-05,2022-04-01,0.17093614699019088,-0.07201261408002801,False
btc_eth_macro_gate_balanced,25,2,0-3,2019-07-05,2023-03-03,-0.26892983453285574,-0.4953724521021975,False
btc_eth_macro_gate_balanced,25,3,0-4,2019-07-05,2024-02-02,0.5450584356021864,0.2482457222490062,True
btc_eth_macro_gate_balanced,25,4,0-5,2019-07-05,2025-01-03,0.4194142059256709,0.13620290273456526,True
btc_eth_macro_gate_balanced,25,5,1-2,2020-06-05,2022-04-01,1.7479699457956568,3.0465396105177645,True
btc_eth_macro_gate_balanced,25,6,1-3,2020-06-05,2023-03-03,0.9879684126785878,1.2004559459636979,True
btc_eth_macro_gate_balanced,25,7,1-4,2020-06-05,2024-02-02,2.194226532422501,4.443043553585066,True
btc_eth_macro_gate_balanced,25,8,1-5,2020-06-05,2025-01-03,2.0992569884216246,3.9544747280618484,True
