rank,start,trough,recovery,max_drawdown,strategy_exposure,dominant_asset_exposure,average_btc_weight,average_eth_weight,btc_return,eth_return,btc_contribution,eth_contribution,macro_regime_state,risk_off_day_share,explanation
1,2021-11-08,2022-11-21,unrecovered,-0.7408840487248671,0.7315303430079155,BTC,0.36576517150395776,0.36576517150395776,-0.750586461112765,-0.7599309715365986,-0.5621979729036979,-0.5243376230460499,risk_on,0.10817941952506596,Drawdown occurred while macro gate was mostly risk-on/neutral; exposure was permitted by the frozen rule. BTC contribution dominated.
2,2020-01-18,2020-03-12,2020-05-30,-0.5188084556271116,0.24545454545454545,BTC,0.12272727272727273,0.12272727272727273,-0.4614777051769946,-0.3652045922873126,-0.26573179429583627,-0.31992535625459584,risk_off,0.4909090909090909,Drawdown occurred while macro gate was mostly risk-on/neutral; exposure was permitted by the frozen rule. ETH contribution dominated.
3,2021-02-21,2021-03-25,2021-04-15,-0.23836422500341148,0.7348484848484849,BTC,0.36742424242424243,0.36742424242424243,-0.08143469005585324,-0.1710716152639833,-0.09181342700589624,-0.13619300128528655,risk_on,0.15151515151515152,Drawdown occurred while macro gate was mostly risk-on/neutral; exposure was permitted by the frozen rule. ETH contribution dominated.
4,2021-04-15,2021-05-23,2021-11-08,-0.22956040149510515,0.14102564102564102,BTC,0.07051282051282051,0.07051282051282051,-0.4495630764715046,-0.13821014552330801,-0.09049772515481191,-0.1469358369714129,risk_off,0.7435897435897436,Drawdown overlapped a large share of risk-off days; losses were mainly residual exposure/rebalance timing. ETH contribution dominated.
5,2020-08-17,2020-09-23,2020-10-21,-0.18255826904143602,0.9078947368421053,BTC,0.45394736842105265,0.45394736842105265,-0.1401679120141046,-0.26036621927032866,-0.04585276732235252,-0.12295105571655718,risk_on,0.0,Drawdown occurred while macro gate was mostly risk-on/neutral; exposure was permitted by the frozen rule. ETH contribution dominated.
6,2021-01-09,2021-01-12,2021-02-03,-0.16329473473939926,1.0,BTC,0.5,0.5,-0.16094425201212037,-0.13704157182418053,-0.08536237705540262,-0.06787212813446558,risk_on,0.0,Drawdown occurred while macro gate was mostly risk-on/neutral; exposure was permitted by the frozen rule. BTC contribution dominated.
7,2020-11-24,2020-11-27,2020-11-30,-0.12408885941076753,1.0,BTC,0.5,0.5,-0.06688153310104505,-0.14772092411843962,-0.03216246447132598,-0.07699598321235462,risk_on,0.0,Drawdown occurred while macro gate was mostly risk-on/neutral; exposure was permitted by the frozen rule. ETH contribution dominated.
8,2020-06-01,2020-06-27,2020-07-23,-0.11290515190364658,1.0,BTC,0.5,0.5,-0.046174590692263706,-0.04590404629269684,-0.018657958168990185,-0.017754448558698177,risk_on,0.0,Drawdown occurred while macro gate was mostly risk-on/neutral; exposure was permitted by the frozen rule. BTC contribution dominated.
9,2020-11-30,2020-12-11,2020-12-16,-0.10040403305775014,1.0,BTC,0.5,0.5,-0.008163875811865506,-0.05530105847648836,-0.00045540999724819065,-0.022293936025720718,risk_on,0.0,Drawdown occurred while macro gate was mostly risk-on/neutral; exposure was permitted by the frozen rule. ETH contribution dominated.
10,2019-09-19,2019-10-24,2019-10-29,-0.09549337383589462,0.1736111111111111,BTC,0.08680555555555555,0.08680555555555555,-0.2702158808859706,-0.23704866562009397,-0.041916461540344965,-0.025022622908214262,risk_off,0.75,Drawdown overlapped a large share of risk-off days; losses were mainly residual exposure/rebalance timing. BTC contribution dominated.
