strategy,pbo_context_all_decomposition_strategies,deflated_sharpe_probability,bootstrap_sharpe_ci_lower,bootstrap_sharpe_ci_median,bootstrap_sharpe_ci_upper,sharpe_delta_vs_frozen_lower,sharpe_delta_vs_frozen_median,sharpe_delta_vs_frozen_upper
btc_only_macro_gate,0.45714285714285713,0.2983940310881245,-0.44507655399972135,0.8869343884884304,2.042242116184455,-0.6726762127361511,-0.030041968630837856,0.51192699534239
eth_only_macro_gate,0.45714285714285713,0.3430067546862906,-0.5752944315434638,0.9359277848923107,2.1268310067625764,-0.3712490394791262,-0.04650113495510212,0.25534369728713535
btc_eth_50_50_macro_gate,0.45714285714285713,0.3459730938799176,-0.4718299687770898,0.9677190606946356,2.1568114331376402,0.0,0.0,0.0
btc_eth_macro_gate_balanced,0.45714285714285713,0.3459730938799176,-0.4718299687770898,0.9677190606946356,2.1568114331376402,0.0,0.0,0.0
top10_macro_gated_momentum,0.45714285714285713,0.08240256330907436,-0.9134749222476304,0.24377143088502454,1.3289334638580765,-1.4583663233255617,-0.7164613286187616,-0.016736994514908062
top20_macro_gated_momentum,0.45714285714285713,0.05053683468868946,-1.2380221476957074,0.04354264454865574,1.3721299138715142,-1.8755825029756712,-0.9323771611807711,-0.07764116829201433
equal_weight_top10,0.45714285714285713,0.014964228222393784,-1.7274884402860977,-0.46958624588520503,0.8804432125515353,-2.7315483643116654,-1.4549453662413812,-0.13666193576765678
pure_top10_momentum,0.45714285714285713,0.01557410996892526,-1.6565073352347448,-0.4528380561127933,0.8391386072333383,-2.9046499206266367,-1.4267583716216494,0.08098932632295926
btc_buy_hold,0.45714285714285713,0.019345887223978425,-1.679051172586149,-0.3725715400531205,1.036271965597294,-2.877850717311724,-1.3893185801081556,0.08296057421224029
eth_buy_hold,0.45714285714285713,0.02539054872508343,-1.6635127042181825,-0.22558661102444538,1.295646142393479,-2.44743699365063,-1.2297560415937285,-0.026893155510504554
btc_eth_50_50_buy_hold,0.45714285714285713,0.022226762898165005,-1.609127949047717,-0.2954689416304039,1.198843139512258,-2.552072173673334,-1.2817932498973037,-0.02685267874490798
equal_weight_top20,0.45714285714285713,0.009180697771764048,-1.8567135117868774,-0.6276762356063974,0.7601616675833777,-2.7728463147282554,-1.57845259589618,-0.32578168514499495
