probability_bin,observations,average_probability,observed_crisis_rate,model_config,target,model,split
"(-0.001, 0.2]",145,0.0306349819444342,0.1103448275862069,target_a_30d_loss_gt_20__logistic_regression,target_a_30d_loss_gt_20,logistic_regression,development_oof
"(0.2, 0.4]",23,0.2817667699036169,0.0,target_a_30d_loss_gt_20__logistic_regression,target_a_30d_loss_gt_20,logistic_regression,development_oof
"(0.4, 0.6]",14,0.5148118455615164,0.1428571428571428,target_a_30d_loss_gt_20__logistic_regression,target_a_30d_loss_gt_20,logistic_regression,development_oof
"(0.6, 0.8]",21,0.695513110602741,0.0476190476190476,target_a_30d_loss_gt_20__logistic_regression,target_a_30d_loss_gt_20,logistic_regression,development_oof
"(0.8, 1.0]",84,0.9460255102803174,0.0357142857142857,target_a_30d_loss_gt_20__logistic_regression,target_a_30d_loss_gt_20,logistic_regression,development_oof
"(-0.001, 0.2]",135,0.0451330520605161,0.0962962962962963,target_a_30d_loss_gt_20__elastic_net_logistic,target_a_30d_loss_gt_20,elastic_net_logistic,development_oof
"(0.2, 0.4]",30,0.3088822076856299,0.1,target_a_30d_loss_gt_20__elastic_net_logistic,target_a_30d_loss_gt_20,elastic_net_logistic,development_oof
"(0.4, 0.6]",26,0.4914777736858279,0.0384615384615384,target_a_30d_loss_gt_20__elastic_net_logistic,target_a_30d_loss_gt_20,elastic_net_logistic,development_oof
"(0.6, 0.8]",29,0.7228407732892971,0.0689655172413793,target_a_30d_loss_gt_20__elastic_net_logistic,target_a_30d_loss_gt_20,elastic_net_logistic,development_oof
"(0.8, 1.0]",67,0.915108668208503,0.044776119402985,target_a_30d_loss_gt_20__elastic_net_logistic,target_a_30d_loss_gt_20,elastic_net_logistic,development_oof
"(-0.001, 0.2]",102,0.1371461357274474,0.1372549019607843,target_a_30d_loss_gt_20__random_forest,target_a_30d_loss_gt_20,random_forest,development_oof
"(0.2, 0.4]",130,0.277737606363389,0.0538461538461538,target_a_30d_loss_gt_20__random_forest,target_a_30d_loss_gt_20,random_forest,development_oof
"(0.4, 0.6]",44,0.4840329806033807,0.0227272727272727,target_a_30d_loss_gt_20__random_forest,target_a_30d_loss_gt_20,random_forest,development_oof
"(0.6, 0.8]",11,0.6218056353656751,0.0,target_a_30d_loss_gt_20__random_forest,target_a_30d_loss_gt_20,random_forest,development_oof
"(0.8, 1.0]",0,,,target_a_30d_loss_gt_20__random_forest,target_a_30d_loss_gt_20,random_forest,development_oof
"(-0.001, 0.2]",193,0.0315778600841971,0.0880829015544041,target_a_30d_loss_gt_20__gradient_boosting,target_a_30d_loss_gt_20,gradient_boosting,development_oof
"(0.2, 0.4]",23,0.3286845673139597,0.1739130434782608,target_a_30d_loss_gt_20__gradient_boosting,target_a_30d_loss_gt_20,gradient_boosting,development_oof
"(0.4, 0.6]",20,0.5349487100794794,0.05,target_a_30d_loss_gt_20__gradient_boosting,target_a_30d_loss_gt_20,gradient_boosting,development_oof
