feature,available,lag,point_in_time_status
vix_level,True,shifted one day before weekly prediction,lagged; labels are not included as features
vix_change_5d,True,shifted one day before weekly prediction,lagged; labels are not included as features
vix_change_21d,True,shifted one day before weekly prediction,lagged; labels are not included as features
equity_realized_vol_21d,True,shifted one day before weekly prediction,lagged; labels are not included as features
equity_momentum_21d,True,shifted one day before weekly prediction,lagged; labels are not included as features
credit_spread_level,True,shifted one day before weekly prediction,lagged; labels are not included as features
credit_spread_change_21d,True,shifted one day before weekly prediction,lagged; labels are not included as features
usd_trend_21d,True,shifted one day before weekly prediction,lagged; labels are not included as features
usd_trend_63d,True,shifted one day before weekly prediction,lagged; labels are not included as features
usd_change_5d,True,shifted one day before weekly prediction,lagged; labels are not included as features
rates_10y_change_21d,True,shifted one day before weekly prediction,lagged; labels are not included as features
real_yield_10y_change_21d,True,shifted one day before weekly prediction,lagged; labels are not included as features
yield_curve_slope_change_21d,True,shifted one day before weekly prediction,lagged; labels are not included as features
BTC_rv_21d,True,shifted one day before weekly prediction,lagged; labels are not included as features
BTC_rv_63d,True,shifted one day before weekly prediction,lagged; labels are not included as features
BTC_rv_acceleration,True,shifted one day before weekly prediction,lagged; labels are not included as features
BTC_rv_percentile,True,shifted one day before weekly prediction,lagged; labels are not included as features
BTC_downside_semivariance_21d,True,shifted one day before weekly prediction,lagged; labels are not included as features
BTC_drawdown_from_90d_high,True,shifted one day before weekly prediction,lagged; labels are not included as features
BTC_below_100dma,True,shifted one day before weekly prediction,lagged; labels are not included as features
BTC_below_200dma,True,shifted one day before weekly prediction,lagged; labels are not included as features
BTC_momentum_63d,True,shifted one day before weekly prediction,lagged; labels are not included as features
BTC_momentum_126d,True,shifted one day before weekly prediction,lagged; labels are not included as features
BTC_failed_breakout,True,shifted one day before weekly prediction,lagged; labels are not included as features
BTC_lower_high_low_proxy,True,shifted one day before weekly prediction,lagged; labels are not included as features
ETH_rv_21d,True,shifted one day before weekly prediction,lagged; labels are not included as features
ETH_rv_63d,True,shifted one day before weekly prediction,lagged; labels are not included as features
ETH_rv_acceleration,True,shifted one day before weekly prediction,lagged; labels are not included as features
ETH_rv_percentile,True,shifted one day before weekly prediction,lagged; labels are not included as features
ETH_downside_semivariance_21d,True,shifted one day before weekly prediction,lagged; labels are not included as features
ETH_drawdown_from_90d_high,True,shifted one day before weekly prediction,lagged; labels are not included as features
ETH_below_100dma,True,shifted one day before weekly prediction,lagged; labels are not included as features
ETH_below_200dma,True,shifted one day before weekly prediction,lagged; labels are not included as features
ETH_momentum_63d,True,shifted one day before weekly prediction,lagged; labels are not included as features
ETH_momentum_126d,True,shifted one day before weekly prediction,lagged; labels are not included as features
ETH_failed_breakout,True,shifted one day before weekly prediction,lagged; labels are not included as features
ETH_lower_high_low_proxy,True,shifted one day before weekly prediction,lagged; labels are not included as features
eth_btc_relative_weakness_63d,True,shifted one day before weekly prediction,lagged; labels are not included as features
cross_sectional_dispersion,True,shifted one day before weekly prediction,lagged; labels are not included as features
funding_level,True,shifted one day before weekly prediction,lagged; labels are not included as features
funding_change,True,shifted one day before weekly prediction,lagged; labels are not included as features
funding_sum_7d,True,shifted one day before weekly prediction,lagged; labels are not included as features
open_interest_change_7d,True,shifted one day before weekly prediction,lagged; labels are not included as features
taker_imbalance_7d,True,shifted one day before weekly prediction,lagged; labels are not included as features
stablecoin_supply_change_7d,True,shifted one day before weekly prediction,lagged; labels are not included as features
stablecoin_supply_change_30d,True,shifted one day before weekly prediction,lagged; labels are not included as features
stablecoin_supply_z_90,True,shifted one day before weekly prediction,lagged; labels are not included as features
tvl_change_30d,True,shifted one day before weekly prediction,lagged; labels are not included as features
tvl_change_90d,True,shifted one day before weekly prediction,lagged; labels are not included as features
tvl_growth_30d,True,shifted one day before weekly prediction,lagged; labels are not included as features
trend_4h_7d_btc_eth_avg,True,shifted one day before weekly prediction,lagged; labels are not included as features
trend_4h_14d_btc_eth_avg,True,shifted one day before weekly prediction,lagged; labels are not included as features
volatility_4h_7d_btc_eth_avg,True,shifted one day before weekly prediction,lagged; labels are not included as features
volatility_4h_30d_btc_eth_avg,True,shifted one day before weekly prediction,lagged; labels are not included as features
drawdown_4h_30d_btc_eth_avg,True,shifted one day before weekly prediction,lagged; labels are not included as features
volume_shock_4h_btc_eth_avg,True,shifted one day before weekly prediction,lagged; labels are not included as features
