candidate,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,Allocation Changes,worst_drawdown_start,worst_drawdown_trough,worst_drawdown_recovery
btc_eth_macro_gate_balanced,development,0,0.2255950937974744,0.675520040133422,0.6177414558901854,0.3082106815902379,0.4853188314614098,-0.7319509260143039,0.325361235675137,0.030642750373692,0.4708520179372197,0.0,0.5291479820627802,11.184603886397609,-0.4315296683649067,0.4494927581072951,1.234678624813154,118,2021-11-08,2022-11-21,
btc_eth_macro_gate_balanced,holdout,0,0.2829324852114707,1.066118641895229,1.3568630970705124,1.585563450307555,0.265997370150388,-0.1784428653149072,0.2304832713754646,0.0278810408921933,0.2894981412639405,0.0,0.7105018587360594,10.176579925650556,-0.0566764562688721,0.2476800183158598,0.8847583643122676,30,2025-01-25,2025-04-08,2025-05-08
btc_eth_macro_gate_balanced,development,10,0.2120003968252486,0.6525514726848459,0.6056263279988383,0.2882167020167797,0.4852613255427461,-0.7355590267385205,0.3243647234678625,0.030642750373692,0.4708520179372197,0.0615,0.5291479820627802,11.184603886397609,-0.4320897947253527,0.4494927581072951,1.234678624813154,118,2021-11-08,2022-11-21,
btc_eth_macro_gate_balanced,holdout,10,0.2699382168428921,1.027743623907195,1.3040997384988156,1.4956833759602872,0.2660276052575855,-0.1804781822018856,0.2304832713754646,0.0278810408921933,0.2894981412639405,0.015,0.7105018587360594,10.176579925650556,-0.0576867207107729,0.246415793598165,0.8847583643122676,30,2025-01-01,2025-04-08,2025-05-08
btc_eth_macro_gate_balanced,development,25,0.1918769115264498,0.6180598853907883,0.5747037963256828,0.2589837260725055,0.4851974604381799,-0.7408840487248671,0.3233682112605879,0.030642750373692,0.4708520179372197,0.15375,0.5291479820627802,11.184603886397609,-0.4329294666098096,0.4494927581072951,1.234678624813154,118,2021-11-08,2022-11-21,
btc_eth_macro_gate_balanced,holdout,25,0.2506806098543801,0.9700672636549106,1.2341802107524358,1.3610143521675673,0.2661086657287088,-0.1841866027754544,0.2304832713754646,0.0278810408921933,0.2894981412639405,0.0375,0.7105018587360594,10.176579925650556,-0.0598398228689844,0.2445206579453003,0.8847583643122676,30,2025-01-01,2025-04-08,2025-05-08
btc_eth_macro_gate_balanced,development,50,0.1590420245501238,0.5604846991514749,0.5225295474356764,0.2121885800449136,0.4851507587735963,-0.7495314993693799,0.3223716990533134,0.030642750373692,0.4708520179372197,0.3075,0.5291479820627802,11.184603886397609,-0.4343275393340051,0.4494927581072951,1.234678624813154,118,2021-11-08,2022-11-21,
btc_eth_macro_gate_balanced,holdout,50,0.2191986395832041,0.8737059236516569,1.1147308422363915,1.151636015111534,0.2663388779734986,-0.1903367354849311,0.2286245353159851,0.0278810408921933,0.2894981412639405,0.075,0.7105018587360594,10.176579925650556,-0.0634210352572337,0.2413653023203343,0.8847583643122676,30,2025-01-01,2025-04-08,2025-05-08
btc_eth_macro_gate_balanced,development,100,0.0959347345789336,0.4450954659291422,0.4170873010901901,0.1240115952103947,0.4852814152834506,-0.7735948756741122,0.3203786746387643,0.030642750373692,0.4708520179372197,0.615,0.5291479820627802,11.184603886397609,-0.4371185082202741,0.4494927581072951,1.234678624813154,118,2021-02-21,2022-11-21,
btc_eth_macro_gate_balanced,holdout,100,0.1584751649627342,0.6805756374853622,0.8712961436852513,0.7825043815075569,0.2671546639955051,-0.2025230384747741,0.2267657992565055,0.0278810408921933,0.2894981412639405,0.15,0.7105018587360594,10.176579925650556,-0.0705561597041821,0.235066605307183,0.8847583643122676,30,2025-01-01,2025-04-08,2025-05-08
