model_config,target,model,split,auc,precision,recall,f1,brier,false_negative_rate,true_negative,false_positive,false_negative,true_positive
target_a_30d_loss_gt_20__logistic_regression,target_a_30d_loss_gt_20,logistic_regression,development_oof,0.3825042881646655,0.0526315789473684,0.2727272727272727,0.088235294117647,0.3594457732324571,0.7272727272727273,157.0,108.0,16.0,6.0
target_a_30d_loss_gt_20__logistic_regression,target_a_30d_loss_gt_20,logistic_regression,holdout_diagnostic,0.7236533957845432,0.1818181818181818,0.2857142857142857,0.2222222222222222,0.1350251629687138,0.7142857142857143,52.0,9.0,5.0,2.0
target_a_30d_loss_gt_20__elastic_net_logistic,target_a_30d_loss_gt_20,elastic_net_logistic,development_oof,0.406861063464837,0.0471698113207547,0.2272727272727272,0.078125,0.3173482006786062,0.7727272727272727,164.0,101.0,17.0,5.0
target_a_30d_loss_gt_20__elastic_net_logistic,target_a_30d_loss_gt_20,elastic_net_logistic,holdout_diagnostic,0.7447306791569086,0.2,0.2857142857142857,0.2352941176470588,0.1159239717590304,0.7142857142857143,53.0,8.0,5.0,2.0
target_a_30d_loss_gt_20__random_forest,target_a_30d_loss_gt_20,random_forest,development_oof,0.2867924528301886,0.0,0.0,0.0,0.1435790728136423,1.0,239.0,26.0,22.0,0.0
target_a_30d_loss_gt_20__random_forest,target_a_30d_loss_gt_20,random_forest,holdout_diagnostic,0.2646370023419203,0.0,0.0,0.0,0.1209783695480886,1.0,61.0,0.0,7.0,0.0
target_a_30d_loss_gt_20__gradient_boosting,target_a_30d_loss_gt_20,gradient_boosting,development_oof,0.3736706689536878,0.0,0.0,0.0,0.1920224520261768,1.0,199.0,66.0,22.0,0.0
target_a_30d_loss_gt_20__gradient_boosting,target_a_30d_loss_gt_20,gradient_boosting,holdout_diagnostic,0.2763466042154567,0.0,0.0,0.0,0.1020460120999508,1.0,61.0,0.0,7.0,0.0
target_b_60d_loss_gt_30__logistic_regression,target_b_60d_loss_gt_30,logistic_regression,development_oof,0.5708025830258303,0.0185185185185185,0.0625,0.0285714285714285,0.1890046194311404,0.9375,218.0,53.0,15.0,1.0
target_b_60d_loss_gt_30__logistic_regression,target_b_60d_loss_gt_30,logistic_regression,holdout_diagnostic,0.4984126984126983,0.0,0.0,0.0,0.0814203310326542,1.0,62.0,1.0,5.0,0.0
target_b_60d_loss_gt_30__elastic_net_logistic,target_b_60d_loss_gt_30,elastic_net_logistic,development_oof,0.5601937269372693,0.02,0.0625,0.0303030303030303,0.1594687884107437,0.9375,222.0,49.0,15.0,1.0
target_b_60d_loss_gt_30__elastic_net_logistic,target_b_60d_loss_gt_30,elastic_net_logistic,holdout_diagnostic,0.4984126984126984,0.0,0.0,0.0,0.0924909760085485,1.0,60.0,3.0,5.0,0.0
target_b_60d_loss_gt_30__random_forest,target_b_60d_loss_gt_30,random_forest,development_oof,0.3048892988929889,0.0,0.0,0.0,0.1255810355350081,1.0,259.0,12.0,16.0,0.0
target_b_60d_loss_gt_30__random_forest,target_b_60d_loss_gt_30,random_forest,holdout_diagnostic,0.2888888888888889,0.0,0.0,0.0,0.0879990075070001,1.0,63.0,0.0,5.0,0.0
target_b_60d_loss_gt_30__gradient_boosting,target_b_60d_loss_gt_30,gradient_boosting,development_oof,0.3819188191881919,0.0,0.0,0.0,0.1307385823301751,1.0,241.0,30.0,16.0,0.0
target_b_60d_loss_gt_30__gradient_boosting,target_b_60d_loss_gt_30,gradient_boosting,holdout_diagnostic,0.2857142857142857,0.0,0.0,0.0,0.0714922134374337,1.0,63.0,0.0,5.0,0.0
target_c_forward_vol_top20__logistic_regression,target_c_forward_vol_top20,logistic_regression,development_oof,0.567581998474447,0.325,0.4561403508771929,0.3795620437956204,0.2332516295711993,0.543859649122807,176.0,54.0,31.0,26.0
target_c_forward_vol_top20__logistic_regression,target_c_forward_vol_top20,logistic_regression,holdout_diagnostic,0.6666666666666666,0.0,0.0,0.0,0.096796579424876,1.0,60.0,2.0,6.0,0.0
target_c_forward_vol_top20__elastic_net_logistic,target_c_forward_vol_top20,elastic_net_logistic,development_oof,0.5976353928299009,0.3661971830985915,0.4561403508771929,0.40625,0.2064604530977271,0.543859649122807,185.0,45.0,31.0,26.0
target_c_forward_vol_top20__elastic_net_logistic,target_c_forward_vol_top20,elastic_net_logistic,holdout_diagnostic,0.6451612903225806,0.0,0.0,0.0,0.097920811326361,1.0,59.0,3.0,6.0,0.0
target_c_forward_vol_top20__random_forest,target_c_forward_vol_top20,random_forest,development_oof,0.7323417238749046,0.56,0.4912280701754385,0.5233644859813084,0.1714081812130637,0.5087719298245614,208.0,22.0,29.0,28.0
target_c_forward_vol_top20__random_forest,target_c_forward_vol_top20,random_forest,holdout_diagnostic,0.064516129032258,0.0,0.0,0.0,0.1321837717138197,1.0,61.0,1.0,6.0,0.0
target_c_forward_vol_top20__gradient_boosting,target_c_forward_vol_top20,gradient_boosting,development_oof,0.6947749809305872,0.4897959183673469,0.4210526315789473,0.4528301886792453,0.1512459600119065,0.5789473684210527,205.0,25.0,33.0,24.0
target_c_forward_vol_top20__gradient_boosting,target_c_forward_vol_top20,gradient_boosting,holdout_diagnostic,0.0739247311827956,0.0,0.0,0.0,0.0982633970684773,1.0,62.0,0.0,6.0,0.0
target_d_future_drawdown_gt_25__logistic_regression,target_d_future_drawdown_gt_25,logistic_regression,development_oof,0.6205663189269747,0.5357142857142857,0.6147540983606558,0.5725190839694656,0.3247702699674522,0.3852459016393442,100.0,65.0,47.0,75.0
target_d_future_drawdown_gt_25__logistic_regression,target_d_future_drawdown_gt_25,logistic_regression,holdout_diagnostic,0.9669642857142856,0.96875,0.775,0.8611111111111112,0.0964427802467856,0.225,27.0,1.0,9.0,31.0
target_d_future_drawdown_gt_25__elastic_net_logistic,target_d_future_drawdown_gt_25,elastic_net_logistic,development_oof,0.6592151018380527,0.5895522388059702,0.6475409836065574,0.6171875,0.2849312846796636,0.3524590163934426,110.0,55.0,43.0,79.0
target_d_future_drawdown_gt_25__elastic_net_logistic,target_d_future_drawdown_gt_25,elastic_net_logistic,holdout_diagnostic,0.9732142857142856,0.9714285714285714,0.85,0.9066666666666666,0.0920094064421414,0.15,27.0,1.0,6.0,34.0
target_d_future_drawdown_gt_25__random_forest,target_d_future_drawdown_gt_25,random_forest,development_oof,0.8188276204669648,0.6394557823129252,0.7704918032786885,0.6988847583643123,0.1804300871382567,0.2295081967213114,112.0,53.0,28.0,94.0
target_d_future_drawdown_gt_25__random_forest,target_d_future_drawdown_gt_25,random_forest,holdout_diagnostic,0.9883928571428572,1.0,0.85,0.918918918918919,0.0835086848798573,0.15,28.0,0.0,6.0,34.0
target_d_future_drawdown_gt_25__gradient_boosting,target_d_future_drawdown_gt_25,gradient_boosting,development_oof,0.7990064580228515,0.6178343949044586,0.7950819672131147,0.6953405017921147,0.2132018369907726,0.2049180327868852,105.0,60.0,25.0,97.0
