model_config,target,model,features
target_a_30d_loss_gt_20__logistic_regression,target_a_30d_loss_gt_20,logistic_regression,54
target_a_30d_loss_gt_20__elastic_net_logistic,target_a_30d_loss_gt_20,elastic_net_logistic,54
target_a_30d_loss_gt_20__random_forest,target_a_30d_loss_gt_20,random_forest,54
target_a_30d_loss_gt_20__gradient_boosting,target_a_30d_loss_gt_20,gradient_boosting,54
target_b_60d_loss_gt_30__logistic_regression,target_b_60d_loss_gt_30,logistic_regression,54
target_b_60d_loss_gt_30__elastic_net_logistic,target_b_60d_loss_gt_30,elastic_net_logistic,54
target_b_60d_loss_gt_30__random_forest,target_b_60d_loss_gt_30,random_forest,54
target_b_60d_loss_gt_30__gradient_boosting,target_b_60d_loss_gt_30,gradient_boosting,54
target_c_forward_vol_top20__logistic_regression,target_c_forward_vol_top20,logistic_regression,54
target_c_forward_vol_top20__elastic_net_logistic,target_c_forward_vol_top20,elastic_net_logistic,54
target_c_forward_vol_top20__random_forest,target_c_forward_vol_top20,random_forest,54
target_c_forward_vol_top20__gradient_boosting,target_c_forward_vol_top20,gradient_boosting,54
target_d_future_drawdown_gt_25__logistic_regression,target_d_future_drawdown_gt_25,logistic_regression,54
target_d_future_drawdown_gt_25__elastic_net_logistic,target_d_future_drawdown_gt_25,elastic_net_logistic,54
target_d_future_drawdown_gt_25__random_forest,target_d_future_drawdown_gt_25,random_forest,54
target_d_future_drawdown_gt_25__gradient_boosting,target_d_future_drawdown_gt_25,gradient_boosting,54
target_e_frozen_future_dd_gt_20__logistic_regression,target_e_frozen_future_dd_gt_20,logistic_regression,54
target_e_frozen_future_dd_gt_20__elastic_net_logistic,target_e_frozen_future_dd_gt_20,elastic_net_logistic,54
target_e_frozen_future_dd_gt_20__random_forest,target_e_frozen_future_dd_gt_20,random_forest,54
target_e_frozen_future_dd_gt_20__gradient_boosting,target_e_frozen_future_dd_gt_20,gradient_boosting,54
