candidate,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,Allocation Changes,worst_drawdown_start,worst_drawdown_trough,worst_drawdown_recovery
target_d_future_drawdown_gt_25__elastic_net_logistic|cash_if_high_and_macro_stress|0.40,development,0,0.3649350021261082,1.2710586550629162,1.0626256253496067,0.7623480180621017,0.2744917043507369,-0.4786986959758583,0.1948181365221724,0.0276532137518684,0.25548081714001,0.0,0.74451918285999,10.093423019431988,-0.1807906324390905,0.4122264106076878,0.7324364723467862,107,2021-11-08,2022-11-09,2024-03-25
target_d_future_drawdown_gt_25__elastic_net_logistic|cash_if_high_and_macro_stress|0.40,holdout,0,0.1219891360894642,0.7720978624949522,0.7305299512888139,1.4922253249112605,0.1666336244986208,-0.0817498095314249,0.1133828996282527,0.0241635687732342,0.1366171003717472,0.0,0.8633828996282528,8.819702602230484,-0.0566764562688721,0.1699171433657322,0.4423791821561338,25,2025-01-25,2025-05-04,2025-05-08
target_d_future_drawdown_gt_25__elastic_net_logistic|cash_if_high_and_macro_stress|0.40,development,10,0.3512135943079661,1.2339964956679388,1.0553613155074897,0.7253732459505964,0.2745563984403021,-0.4841832756703114,0.1943198804185351,0.0276532137518684,0.25548081714001,0.0555,0.74451918285999,10.093423019431988,-0.1816212684511505,0.4115364215629615,0.7324364723467862,107,2021-11-08,2022-11-09,2024-05-15
target_d_future_drawdown_gt_25__elastic_net_logistic|cash_if_high_and_macro_stress|0.40,holdout,10,0.1121442179018059,0.7193131572007423,0.675319502611962,1.3460162850750423,0.1666002651186003,-0.0833156471769981,0.1133828996282527,0.0241635687732342,0.1366171003717472,0.013,0.8633828996282528,8.819702602230484,-0.0571448449285778,0.1675695780392481,0.4423791821561338,25,2025-01-01,2025-05-04,2025-05-08
target_d_future_drawdown_gt_25__elastic_net_logistic|cash_if_high_and_macro_stress|0.40,development,25,0.3308755044384277,1.1782784421565284,1.0126719465429763,0.6720903489409341,0.2746901644207442,-0.492308072805709,0.1933233682112606,0.0276532137518684,0.25548081714001,0.13875,0.74451918285999,10.093423019431988,-0.1828666361261328,0.4105014379958713,0.7324364723467862,107,2021-11-08,2022-11-09,
target_d_future_drawdown_gt_25__elastic_net_logistic|cash_if_high_and_macro_stress|0.40,holdout,25,0.0975284475096056,0.6398926230948768,0.6055026468596114,1.1287541116945907,0.1666032783343848,-0.0864036254655913,0.1133828996282527,0.0241635687732342,0.1366171003717472,0.0325,0.8633828996282528,8.819702602230484,-0.0578474279181365,0.1640545766563435,0.4423791821561338,25,2025-01-01,2025-05-04,2025-05-08
target_d_future_drawdown_gt_25__elastic_net_logistic|cash_if_high_and_macro_stress|0.40,development,50,0.2976197440564183,1.0851496261968956,0.9387786545331498,0.5886682543002211,0.2750108687837919,-0.5055814406200885,0.1928251121076233,0.0276532137518684,0.25548081714001,0.2775,0.74451918285999,10.093423019431988,-0.1849406853361503,0.4087764653840549,0.7324364723467862,107,2021-11-08,2022-11-09,
target_d_future_drawdown_gt_25__elastic_net_logistic|cash_if_high_and_macro_stress|0.40,holdout,50,0.0735679591508107,0.5071010163698485,0.4844165562363628,0.8037254165470865,0.1667497195910706,-0.0915336974994129,0.1115241635687732,0.0241635687732342,0.1366171003717472,0.065,0.8633828996282528,8.819702602230484,-0.0590183995674008,0.1582131395144892,0.4423791821561338,25,2025-01-01,2025-05-04,2025-05-08
target_d_future_drawdown_gt_25__elastic_net_logistic|cash_if_high_and_macro_stress|0.40,development,100,0.2334482784172153,0.8983529906071844,0.7874000690018294,0.439513735749618,0.2760171435462824,-0.5311512688427241,0.1903338315894369,0.0276532137518684,0.25548081714001,0.555,0.74451918285999,10.093423019431988,-0.1890829203251108,0.4053265201604232,0.7324364723467862,107,2021-11-08,2022-11-09,
target_d_future_drawdown_gt_25__elastic_net_logistic|cash_if_high_and_macro_stress|0.40,holdout,100,0.0271095290045455,0.2414531614039724,0.2338418724048146,0.2664800287888592,0.1675705508994056,-0.1017319351388441,0.1115241635687732,0.0241635687732342,0.1366171003717472,0.13,0.8633828996282528,8.819702602230484,-0.0613603428659296,0.1465934607053447,0.4423791821561338,25,2025-01-01,2025-05-04,2025-05-08
