refit_date,test_end,split,candidate,parameters,cpcv_score,train_rows,train_dates,max_train_label_end
2020-04-01,2020-06-30,development,elastic_net__forward_rank,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",0.0004785285397929,973,38,2020-03-27
2020-04-01,2020-06-30,development,random_forest__forward_rank,"{""max_depth"": 4, ""min_samples_leaf"": 20}",0.0662681939636919,973,38,2020-03-27
2020-04-01,2020-06-30,development,gradient_boosting__forward_rank,"{""n_estimators"": 75, ""max_depth"": 2}",0.045858079146481,973,38,2020-03-27
2020-04-01,2020-06-30,development,boosted_tree__forward_rank,"{""n_estimators"": 150, ""max_depth"": 3}",0.023641344687208,973,38,2020-03-27
2020-04-01,2020-06-30,development,elastic_net__residual_rank,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",0.0004785285397929,973,38,2020-03-27
2020-04-01,2020-06-30,development,random_forest__residual_rank,"{""max_depth"": 4, ""min_samples_leaf"": 20}",0.0662681939636919,973,38,2020-03-27
2020-04-01,2020-06-30,development,gradient_boosting__residual_rank,"{""n_estimators"": 75, ""max_depth"": 2}",0.045858079146481,973,38,2020-03-27
2020-04-01,2020-06-30,development,boosted_tree__residual_rank,"{""n_estimators"": 150, ""max_depth"": 3}",0.023641344687208,973,38,2020-03-27
2020-04-01,2020-06-30,development,elastic_net__risk_adjusted_rank,"{""alpha"": 0.001, ""l1_ratio"": 0.1}",-0.0537858883694199,973,38,2020-03-27
2020-04-01,2020-06-30,development,random_forest__risk_adjusted_rank,"{""max_depth"": 4, ""min_samples_leaf"": 20}",-0.0513610889748512,973,38,2020-03-27
2020-04-01,2020-06-30,development,gradient_boosting__risk_adjusted_rank,"{""n_estimators"": 150, ""max_depth"": 2}",-0.0554217985542875,973,38,2020-03-27
2020-04-01,2020-06-30,development,boosted_tree__risk_adjusted_rank,"{""n_estimators"": 150, ""max_depth"": 3}",-0.0555068037955781,973,38,2020-03-27
2020-04-01,2020-06-30,development,logistic__top_quintile,"{""C"": 0.1}",-0.1810816198283945,973,38,2020-03-27
2020-04-01,2020-06-30,development,random_forest__top_quintile,"{""max_depth"": 4, ""min_samples_leaf"": 20}",-0.1704134072081708,973,38,2020-03-27
2020-04-01,2020-06-30,development,gradient_boosting__top_quintile,"{""n_estimators"": 75, ""max_depth"": 2}",-0.1764343944902733,973,38,2020-03-27
2020-04-01,2020-06-30,development,boosted_tree__top_quintile,"{""n_estimators"": 75, ""max_depth"": 2}",-0.1760750561952591,973,38,2020-03-27
2020-07-01,2020-09-30,development,elastic_net__forward_rank,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",,1363,51,2020-06-26
2020-07-01,2020-09-30,development,random_forest__forward_rank,"{""max_depth"": 4, ""min_samples_leaf"": 20}",,1363,51,2020-06-26
