refit_date,split,candidate,feature,importance
2020-04-01,development,elastic_net__forward_rank,momentum_7,0.0
2020-04-01,development,elastic_net__forward_rank,momentum_14,0.0
2020-04-01,development,elastic_net__forward_rank,momentum_30,0.0
2020-04-01,development,elastic_net__forward_rank,momentum_90,0.0
2020-04-01,development,elastic_net__forward_rank,momentum_30_ex_7,0.004297210198403
2020-04-01,development,elastic_net__forward_rank,momentum_90_ex_7,0.0
2020-04-01,development,elastic_net__forward_rank,realized_volatility_30,0.0136235921695372
2020-04-01,development,elastic_net__forward_rank,downside_volatility_30,0.0
2020-04-01,development,elastic_net__forward_rank,max_drawdown_90,0.0028466833189923
2020-04-01,development,elastic_net__forward_rank,volatility_adjusted_momentum,0.0
2020-04-01,development,elastic_net__forward_rank,distance_ma_20,0.0
2020-04-01,development,elastic_net__forward_rank,distance_ma_100,0.0243730872354379
2020-04-01,development,elastic_net__forward_rank,breakout_strength_20,0.0
2020-04-01,development,elastic_net__forward_rank,reversal_7,0.0
2020-04-01,development,elastic_net__forward_rank,asset_age_days,0.0056816359887475
2020-04-01,development,elastic_net__forward_rank,recent_listing_flag,0.0
2020-04-01,development,elastic_net__forward_rank,log_dollar_volume_30,0.0
2020-04-01,development,elastic_net__forward_rank,volume_growth_7_30,0.0011246428011915
2020-04-01,development,elastic_net__forward_rank,amihud_illiquidity_30,0.0062192193091129
2020-04-01,development,elastic_net__forward_rank,market_btc_trend_30,0.0
2020-04-01,development,elastic_net__forward_rank,market_eth_trend_30,0.0
2020-04-01,development,elastic_net__forward_rank,market_breadth_30,0.0
2020-04-01,development,elastic_net__forward_rank,market_dispersion_7,0.0
2020-04-01,development,elastic_net__forward_rank,market_average_correlation_30,0.0
2020-04-01,development,elastic_net__forward_rank,market_realized_volatility_30,0.0
2020-04-01,development,elastic_net__forward_rank,market_drawdown,0.0022833938935457
2020-04-01,development,elastic_net__forward_rank,market_volatility_expansion_probability,0.0
2020-04-01,development,elastic_net__forward_rank,funding_rate,0.0055249463644912
2020-04-01,development,elastic_net__forward_rank,funding_rate_abs,0.0
2020-04-01,development,elastic_net__forward_rank,funding_rate_change_7,0.0019260451247882
2020-04-01,development,elastic_net__forward_rank,funding_coverage_flag,0.0
2020-04-01,development,random_forest__forward_rank,momentum_7,0.0293543923560782
2020-04-01,development,random_forest__forward_rank,momentum_14,0.0625222580390766
2020-04-01,development,random_forest__forward_rank,momentum_30,0.0128756218554362
2020-04-01,development,random_forest__forward_rank,momentum_90,0.0454688356783684
2020-04-01,development,random_forest__forward_rank,momentum_30_ex_7,0.0219685326955125
2020-04-01,development,random_forest__forward_rank,momentum_90_ex_7,0.0587801538750453
2020-04-01,development,random_forest__forward_rank,realized_volatility_30,0.1517481007853392
2020-04-01,development,random_forest__forward_rank,downside_volatility_30,0.0226011834261775
2020-04-01,development,random_forest__forward_rank,max_drawdown_90,0.0415468072900094
2020-04-01,development,random_forest__forward_rank,volatility_adjusted_momentum,0.0215763996898194
2020-04-01,development,random_forest__forward_rank,distance_ma_20,0.0479288948061384
2020-04-01,development,random_forest__forward_rank,distance_ma_100,0.0234092866703307
2020-04-01,development,random_forest__forward_rank,breakout_strength_20,0.0398529579058869
2020-04-01,development,random_forest__forward_rank,reversal_7,0.0270466879787647
2020-04-01,development,random_forest__forward_rank,asset_age_days,0.0618810310787497
2020-04-01,development,random_forest__forward_rank,recent_listing_flag,0.0
2020-04-01,development,random_forest__forward_rank,log_dollar_volume_30,0.0413002555003442
2020-04-01,development,random_forest__forward_rank,volume_growth_7_30,0.0413046413044567
2020-04-01,development,random_forest__forward_rank,amihud_illiquidity_30,0.038843228265888
2020-04-01,development,random_forest__forward_rank,market_btc_trend_30,0.060187385056424
2020-04-01,development,random_forest__forward_rank,market_eth_trend_30,0.0123883361195214
2020-04-01,development,random_forest__forward_rank,market_breadth_30,0.0073639259569146
2020-04-01,development,random_forest__forward_rank,market_dispersion_7,0.0444511537823293
2020-04-01,development,random_forest__forward_rank,market_average_correlation_30,0.0058008756209902
2020-04-01,development,random_forest__forward_rank,market_realized_volatility_30,0.0450279296324391
2020-04-01,development,random_forest__forward_rank,market_drawdown,0.027061240869574
2020-04-01,development,random_forest__forward_rank,market_volatility_expansion_probability,0.0
2020-04-01,development,random_forest__forward_rank,funding_rate,0.0010598351044794
2020-04-01,development,random_forest__forward_rank,funding_rate_abs,0.0007097857190427
2020-04-01,development,random_forest__forward_rank,funding_rate_change_7,0.0059402629368617
2020-04-01,development,random_forest__forward_rank,funding_coverage_flag,0.0
2020-04-01,development,gradient_boosting__forward_rank,momentum_7,0.0390799646123205
2020-04-01,development,gradient_boosting__forward_rank,momentum_14,0.082044075238918
2020-04-01,development,gradient_boosting__forward_rank,momentum_30,0.0217624590611676
2020-04-01,development,gradient_boosting__forward_rank,momentum_90,0.0232494454756399
2020-04-01,development,gradient_boosting__forward_rank,momentum_30_ex_7,0.0938205225014516
2020-04-01,development,gradient_boosting__forward_rank,momentum_90_ex_7,0.0660870931961031
2020-04-01,development,gradient_boosting__forward_rank,realized_volatility_30,0.1594253355453447
2020-04-01,development,gradient_boosting__forward_rank,downside_volatility_30,0.0363806533158569
2020-04-01,development,gradient_boosting__forward_rank,max_drawdown_90,0.015254430609468
2020-04-01,development,gradient_boosting__forward_rank,volatility_adjusted_momentum,0.0210877749274218
2020-04-01,development,gradient_boosting__forward_rank,distance_ma_20,0.0504043638663958
2020-04-01,development,gradient_boosting__forward_rank,distance_ma_100,0.1665529439325855
2020-04-01,development,gradient_boosting__forward_rank,breakout_strength_20,0.0162341020735982
2020-04-01,development,gradient_boosting__forward_rank,reversal_7,0.0056169489332703
2020-04-01,development,gradient_boosting__forward_rank,asset_age_days,0.032593058781734
2020-04-01,development,gradient_boosting__forward_rank,recent_listing_flag,0.0
2020-04-01,development,gradient_boosting__forward_rank,log_dollar_volume_30,0.0213687589439906
2020-04-01,development,gradient_boosting__forward_rank,volume_growth_7_30,0.0197748318912326
2020-04-01,development,gradient_boosting__forward_rank,amihud_illiquidity_30,0.0073131803236973
2020-04-01,development,gradient_boosting__forward_rank,market_btc_trend_30,0.0582548265215238
2020-04-01,development,gradient_boosting__forward_rank,market_eth_trend_30,0.0
2020-04-01,development,gradient_boosting__forward_rank,market_breadth_30,0.0
2020-04-01,development,gradient_boosting__forward_rank,market_dispersion_7,0.0390314792431233
2020-04-01,development,gradient_boosting__forward_rank,market_average_correlation_30,0.0
2020-04-01,development,gradient_boosting__forward_rank,market_realized_volatility_30,0.0124168882851797
2020-04-01,development,gradient_boosting__forward_rank,market_drawdown,0.0
2020-04-01,development,gradient_boosting__forward_rank,market_volatility_expansion_probability,0.0
2020-04-01,development,gradient_boosting__forward_rank,funding_rate,0.0
2020-04-01,development,gradient_boosting__forward_rank,funding_rate_abs,0.0
2020-04-01,development,gradient_boosting__forward_rank,funding_rate_change_7,0.0122468627199759
2020-04-01,development,gradient_boosting__forward_rank,funding_coverage_flag,0.0
2020-04-01,development,boosted_tree__forward_rank,momentum_7,0.0255144108086824
2020-04-01,development,boosted_tree__forward_rank,momentum_14,0.0332245528697967
2020-04-01,development,boosted_tree__forward_rank,momentum_30,0.0362410061061382
2020-04-01,development,boosted_tree__forward_rank,momentum_90,0.0360518842935562
2020-04-01,development,boosted_tree__forward_rank,momentum_30_ex_7,0.0312541387975215
2020-04-01,development,boosted_tree__forward_rank,momentum_90_ex_7,0.0353637970983982
2020-04-01,development,boosted_tree__forward_rank,realized_volatility_30,0.0352145805954933
2020-04-01,development,boosted_tree__forward_rank,downside_volatility_30,0.0300990771502256
2020-04-01,development,boosted_tree__forward_rank,max_drawdown_90,0.0343499220907688
2020-04-01,development,boosted_tree__forward_rank,volatility_adjusted_momentum,0.0384461283683776
2020-04-01,development,boosted_tree__forward_rank,distance_ma_20,0.0435997657477855
2020-04-01,development,boosted_tree__forward_rank,distance_ma_100,0.0456861443817615
2020-04-01,development,boosted_tree__forward_rank,breakout_strength_20,0.0382292494177818
2020-04-01,development,boosted_tree__forward_rank,reversal_7,0.0396739058196544
2020-04-01,development,boosted_tree__forward_rank,asset_age_days,0.0327700302004814
2020-04-01,development,boosted_tree__forward_rank,recent_listing_flag,0.0
2020-04-01,development,boosted_tree__forward_rank,log_dollar_volume_30,0.0366361774504184
2020-04-01,development,boosted_tree__forward_rank,volume_growth_7_30,0.0351553782820701
2020-04-01,development,boosted_tree__forward_rank,amihud_illiquidity_30,0.0358555167913436
2020-04-01,development,boosted_tree__forward_rank,market_btc_trend_30,0.0559195950627327
2020-04-01,development,boosted_tree__forward_rank,market_eth_trend_30,0.0322251096367836
2020-04-01,development,boosted_tree__forward_rank,market_breadth_30,0.0281273704022169
2020-04-01,development,boosted_tree__forward_rank,market_dispersion_7,0.0436371229588985
2020-04-01,development,boosted_tree__forward_rank,market_average_correlation_30,0.0372631065547466
2020-04-01,development,boosted_tree__forward_rank,market_realized_volatility_30,0.0454231612384319
2020-04-01,development,boosted_tree__forward_rank,market_drawdown,0.0371833592653274
2020-04-01,development,boosted_tree__forward_rank,market_volatility_expansion_probability,0.0
