name,candidate,model,target,feature_set,category,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Average Holdings,Best Month,Worst Month
pure_momentum,pure_momentum,baseline,momentum_90_ex_7,price_only,baseline,development,25,0.32917046341090006,0.7982197645219211,1.0866391105130058,0.3429369340514433,1.0034487111903898,-0.9598571361856341,0.5259515570934256,0.07243367935409459,1.0,0.314,5.1164936562860435,0.9626533713463976,-0.7179951076438669
pure_momentum,pure_momentum,baseline,momentum_90_ex_7,price_only,baseline,holdout,25,-0.5747825366484802,-0.6615609601538057,-0.9472543916369454,-0.698706057406162,0.8014336696936143,-0.8226385481503786,0.45794392523364486,0.07177570093457945,1.0,0.096,5.114018691588785,0.2197749032299079,-0.3217487396289409
elastic_net__forward_rank,elastic_net__forward_rank,elastic_net,forward_rank,all_features,model,development,25,0.36871518054379715,0.801841169336457,1.0258051706979587,0.4442880202630001,0.7035058433213833,-0.8299012436246492,0.544405997693195,0.07531718569780853,1.0,0.3265,5.168973471741638,0.6096246300154926,-0.3214095871426039
elastic_net__forward_rank,elastic_net__forward_rank,elastic_net,forward_rank,all_features,model,holdout,25,-0.12619619359379108,-0.03763054086511321,-0.05157731469966494,-0.2575780501095975,0.482578927729399,-0.4899338027448207,0.5233644859813084,0.015700934579439253,1.0,0.021,5.003738317757009,0.3004755416874638,-0.2015288244310911
random_forest__forward_rank,random_forest__forward_rank,random_forest,forward_rank,all_features,model,development,25,1.1259760281626736,1.3750629026762389,1.8521756388496362,1.3943213267205787,0.7605334964072478,-0.8075441482423217,0.5461361014994233,0.10046136101499423,1.0,0.4355,5.2520184544405994,0.9392628232747167,-0.34041253173615116
random_forest__forward_rank,random_forest__forward_rank,random_forest,forward_rank,all_features,model,holdout,25,-0.21125881010394176,-0.16817963667039687,-0.2320262329367238,-0.3879137187077489,0.5407655200139801,-0.5446025750460826,0.5009345794392523,0.029906542056074768,1.0,0.04,5.007476635514019,0.2748536761831146,-0.2639006149524843
gradient_boosting__forward_rank,gradient_boosting__forward_rank,gradient_boosting,forward_rank,all_features,model,development,25,0.8470336839966972,1.184817819685936,1.5904583574031086,1.0050717011525172,0.7732792339477347,-0.8427594598727657,0.5426758938869666,0.12422145328719723,1.0,0.5385,5.3898500576701265,0.7057452224452614,-0.3366853349052925
gradient_boosting__forward_rank,gradient_boosting__forward_rank,gradient_boosting,forward_rank,all_features,model,holdout,25,-0.19958850225621172,-0.14946802135630236,-0.20525830548267643,-0.3554382082517862,0.5340071529034176,-0.5615279888954052,0.5046728971962616,0.044859813084112146,1.0,0.06,5.018691588785047,0.2945033703676685,-0.2639006149524843
boosted_tree__forward_rank,boosted_tree__forward_rank,boosted_tree,forward_rank,all_features,model,development,25,0.8405228145816932,1.1930086104365405,1.5880221129023384,1.0355089404634448,0.7498904191256976,-0.811700200488385,0.5438292964244521,0.10761245674740486,1.0,0.4665,5.286620530565167,0.7016574871565413,-0.3158811849792146
boosted_tree__forward_rank,boosted_tree__forward_rank,boosted_tree,forward_rank,all_features,model,holdout,25,-0.18964228295918928,-0.12917902294568015,-0.17987829949422757,-0.3319462501809795,0.5319997547322647,-0.5713041881202,0.49906542056074765,0.03514018691588785,1.0,0.047,5.005607476635514,0.2833401922421046,-0.2568427832660255
