candidate,target,model,feature_set,refit_date,split,parameters,cpcv_brier,train_rows,max_train_label_end
risk_adjusted_sign__logistic__price_only,risk_adjusted_sign,logistic,price_only,2021-01-01,development,"{""C"": 0.1}",0.29292119147228124,1448,2020-12-31
risk_adjusted_sign__logistic__price_only,risk_adjusted_sign,logistic,price_only,2022-01-01,development,"{""C"": 0.1}",0.2596746120747605,2178,2021-12-31
risk_adjusted_sign__logistic__price_only,risk_adjusted_sign,logistic,price_only,2023-01-01,development,"{""C"": 0.1}",0.2515487938442314,2908,2022-12-31
risk_adjusted_sign__logistic__price_only,risk_adjusted_sign,logistic,price_only,2024-01-01,development,"{""C"": 0.1}",0.2495571752051201,3638,2023-12-31
risk_adjusted_sign__logistic__price_only,risk_adjusted_sign,logistic,price_only,2025-01-01,holdout,"{""C"": 0.1}",0.25157033661128,4370,2024-12-31
risk_adjusted_sign__elastic_net__price_only,risk_adjusted_sign,elastic_net,price_only,2021-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.2894980590744008,1448,2020-12-31
risk_adjusted_sign__elastic_net__price_only,risk_adjusted_sign,elastic_net,price_only,2022-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.2593579188202829,2178,2021-12-31
risk_adjusted_sign__elastic_net__price_only,risk_adjusted_sign,elastic_net,price_only,2023-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.2514411964240753,2908,2022-12-31
risk_adjusted_sign__elastic_net__price_only,risk_adjusted_sign,elastic_net,price_only,2024-01-01,development,"{""C"": 1.0, ""l1_ratio"": 0.75}",0.24966103894340086,3638,2023-12-31
risk_adjusted_sign__elastic_net__price_only,risk_adjusted_sign,elastic_net,price_only,2025-01-01,holdout,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.2513656635007397,4370,2024-12-31
risk_adjusted_sign__logistic__derivatives_only,risk_adjusted_sign,logistic,derivatives_only,2021-01-01,development,"{""C"": 0.1}",0.25766553596694075,1448,2020-12-31
risk_adjusted_sign__logistic__derivatives_only,risk_adjusted_sign,logistic,derivatives_only,2022-01-01,development,"{""C"": 0.1}",0.2549846165062983,2178,2021-12-31
risk_adjusted_sign__logistic__derivatives_only,risk_adjusted_sign,logistic,derivatives_only,2023-01-01,development,"{""C"": 0.1}",0.2629142486280916,2908,2022-12-31
risk_adjusted_sign__logistic__derivatives_only,risk_adjusted_sign,logistic,derivatives_only,2024-01-01,development,"{""C"": 0.1}",0.2671835213124437,3638,2023-12-31
risk_adjusted_sign__logistic__derivatives_only,risk_adjusted_sign,logistic,derivatives_only,2025-01-01,holdout,"{""C"": 0.1}",0.2596154128811393,4370,2024-12-31
risk_adjusted_sign__elastic_net__derivatives_only,risk_adjusted_sign,elastic_net,derivatives_only,2021-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.25759292118894817,1448,2020-12-31
risk_adjusted_sign__elastic_net__derivatives_only,risk_adjusted_sign,elastic_net,derivatives_only,2022-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.2544328874482628,2178,2021-12-31
risk_adjusted_sign__elastic_net__derivatives_only,risk_adjusted_sign,elastic_net,derivatives_only,2023-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.26092051858252735,2908,2022-12-31
risk_adjusted_sign__elastic_net__derivatives_only,risk_adjusted_sign,elastic_net,derivatives_only,2024-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.2657955197910037,3638,2023-12-31
risk_adjusted_sign__elastic_net__derivatives_only,risk_adjusted_sign,elastic_net,derivatives_only,2025-01-01,holdout,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.2588232503831579,4370,2024-12-31
risk_adjusted_sign__random_forest__derivatives_only,risk_adjusted_sign,random_forest,derivatives_only,2021-01-01,development,"{""max_depth"": 4, ""min_samples_leaf"": 20}",0.2683819283845087,1448,2020-12-31
risk_adjusted_sign__random_forest__derivatives_only,risk_adjusted_sign,random_forest,derivatives_only,2022-01-01,development,"{""max_depth"": 4, ""min_samples_leaf"": 20}",0.26863405829665676,2178,2021-12-31
risk_adjusted_sign__random_forest__derivatives_only,risk_adjusted_sign,random_forest,derivatives_only,2023-01-01,development,"{""max_depth"": 4, ""min_samples_leaf"": 20}",0.26168306989886425,2908,2022-12-31
risk_adjusted_sign__random_forest__derivatives_only,risk_adjusted_sign,random_forest,derivatives_only,2024-01-01,development,"{""max_depth"": 4, ""min_samples_leaf"": 20}",0.25964856942921666,3638,2023-12-31
risk_adjusted_sign__random_forest__derivatives_only,risk_adjusted_sign,random_forest,derivatives_only,2025-01-01,holdout,"{""max_depth"": 4, ""min_samples_leaf"": 20}",0.2560115681437413,4370,2024-12-31
