strategy,category,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month
price_only_trend,strategy,development,10,0.42132411664093583,0.9335732684108949,0.9221396079809535,0.8465692539431283,0.5242488137222879,-0.49768417017096156,0.24777549623545517,0.030116358658453114,0.487337440109514,0.044000000000000004,0.5126625598904859,10.992470910335387,-0.12210398185153926
price_only_trend,strategy,holdout,10,-0.05789254503652386,-0.0808383649929657,-0.06742615354444648,-0.18448721586173483,0.27367574083154195,-0.313802475505467,0.17843866171003717,0.03903345724907063,0.3420074349442379,0.021,0.6579925650557621,14.247211895910782,-0.14086321443507888
price_only_trend,strategy,development,25,0.3979693371659436,0.9018353029006535,0.8920075401915393,0.799642345524543,0.5244150130302079,-0.49768417017096167,0.24777549623545517,0.030116358658453114,0.487337440109514,0.11000000000000001,0.5126625598904859,10.992470910335387,-0.12743436132837072
price_only_trend,strategy,holdout,25,-0.07775975619998676,-0.15908660853631526,-0.13331642886627967,-0.24081565886195455,0.27340024198830076,-0.3229015777772236,0.17843866171003717,0.03903345724907063,0.3420074349442379,0.0525,0.6579925650557621,14.247211895910782,-0.1434625344038668
price_only_trend,strategy,development,50,0.35981869149180645,0.8488191089980847,0.8419891948631134,0.7229860081107333,0.52479355156331,-0.49768417017096167,0.2464065708418891,0.030116358658453114,0.487337440109514,0.22000000000000003,0.5126625598904859,10.992470910335387,-0.1362643697998871
price_only_trend,strategy,holdout,50,-0.11000836616072562,-0.2895855573970453,-0.24427435005793813,-0.32563362359762527,0.27319161812422227,-0.33782864602661344,0.17843866171003717,0.03903345724907063,0.3420074349442379,0.105,0.6579925650557621,14.247211895910782,-0.14778598364310658
price_only_trend,strategy,development,100,0.2863422237931541,0.7424794507183334,0.740740008617536,0.5114031626045117,0.5259303000459324,-0.5599148474852,0.243668720054757,0.030116358658453114,0.487337440109514,0.44000000000000006,0.5126625598904859,10.992470910335387,-0.1537232768735226
price_only_trend,strategy,holdout,100,-0.1713842050218639,-0.5492879066962137,-0.46707350781983115,-0.46723104261692683,0.27371512217436905,-0.3668082584195467,0.17843866171003717,0.03903345724907063,0.3420074349442379,0.21,0.6579925650557621,14.247211895910782,-0.1564000669638107
funding_crowding_avoidance,strategy,development,10,0.4232053772005231,0.9477082280418699,0.9079645864401188,0.8503492828697886,0.5100501061017393,-0.49768417017096167,0.23408624229979466,0.03559206023271732,0.458590006844627,0.052,0.5414099931553731,12.991101984941821,-0.13841460499672986
funding_crowding_avoidance,strategy,holdout,10,-0.05789254503652386,-0.0808383649929657,-0.06742615354444648,-0.18448721586173483,0.27367574083154195,-0.313802475505467,0.17843866171003717,0.03903345724907063,0.3420074349442379,0.021,0.6579925650557621,14.247211895910782,-0.14086321443507888
