candidate,family,portfolio,mechanism,rebalance_days,development_score,cpcv_median_sharpe,cpcv_worst_fold_sharpe,cpcv_best_fold_sharpe,positive_fold_percentage,development_sharpe,development_cagr,development_max_drawdown,development_turnover,development_exposure,development_cash,drawdown_improvement_vs_frozen,exposure_score,turnover_score,simplicity_score,train_cpcv_sharpe_gap
frozen_dd_10_reduce_50_r14,Family E: Frozen macro allocation plus drawdown-control overlay,frozen,drawdown_brake,14,0.6347523977477038,0.5597247348743584,-0.6013929238342146,2.0445947850234396,0.7333333333333333,0.8838727140236847,0.24287322516042353,-0.49421197166901776,4.546586945690084,0.2929745889387145,0.7070254110612855,0.24667207705584937,0.7954118626764366,1.0,0.7979999999999999,0.32414797914932636
btc_macro_trend_vol_40_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,7,0.6117268342773622,1.220616253752503,-0.5761946690675248,2.341162609616725,0.7333333333333333,1.1434525197154641,0.25986640338627653,-0.3675994739268045,5.310650057047862,0.1706469595000711,0.8293530404999289,0.37328457479806265,0.4622661815028836,1.0,0.81,-0.0771637340370388
btc_macro_trend_vol_30_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,7,0.6074156441493247,1.2759827117815459,-0.5737933361836856,2.315477834374755,0.7333333333333333,1.2114197856908198,0.21510217608615512,-0.28251914893067887,4.23045777670756,0.1303550503835475,0.8696449496164524,0.45836489979418826,0.35311927945832167,1.0,0.81,-0.06456292609072611
btc_macro_trend_dd_10_reduce_50_r7,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,7,0.6022937117263863,1.1578004879473522,-0.6053954741723417,1.8251188926248292,0.8,1.1458512982569895,0.26812461771704754,-0.34287846112714104,6.001494768310911,0.17438963627304435,0.8256103637269556,0.3980055875977261,0.4767404991620239,1.0,0.792,-0.011949189690362738
btc_macro_trend_vol_50_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,7,0.6005598506210023,1.126976242302025,-0.5687550897221737,2.315101732124411,0.7333333333333333,1.0626483908588926,0.2824199336003095,-0.45686366827993796,6.08879783994691,0.20173721432490183,0.7982627856750981,0.28402038044492917,0.5466913891008919,1.0,0.81,-0.06432785144313247
btc_macro_trend_vol_20_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,7,0.5970515330003209,1.2851710223674293,-0.5711147561450249,2.3268756025054955,0.8,1.2320629299841241,0.14752636710694556,-0.19296215372207604,2.873412585809929,0.08754512885861496,0.912454871141385,0.5479218950027911,0.2371513242615552,1.0,0.81,-0.05310809238330516
btc_macro_trend_static_70_m2_r7,Family A: BTC-only macro trend with drawdown control,btc,portfolio_insurance,7,0.5955697306990765,1.1389097958461436,-0.5520850070337618,1.9813335790282538,0.7333333333333333,1.0267009278384864,0.27407143714292337,-0.4272182919660372,6.41402287944922,0.17749095517508748,0.8225090448249125,0.3136657567588299,0.48955354939052115,1.0,0.7020000000000001,-0.11220886800765717
btc_macro_trend_static_75_m2_r7,Family A: BTC-only macro trend with drawdown control,btc,portfolio_insurance,7,0.5946817039328124,1.1389097958461436,-0.508608895896438,1.8613697468219625,0.7333333333333333,1.015061823977001,0.2505549668999816,-0.37082499274557756,6.2516362446934055,0.1648224810500898,0.8351775189499102,0.37005905597928956,0.4545876150454858,1.0,0.7020000000000001,-0.12384797186914254
btc_macro_trend_static_85_m2_r7,Family A: BTC-only macro trend with drawdown control,btc,portfolio_insurance,7,0.5933223928572157,1.14042530184802,-0.3909492767892725,1.7208200694157838,0.9333333333333333,1.069184157751066,0.21203147600305172,-0.24375767341826582,5.671591536300033,0.1352632164753119,0.8647367835246881,0.4971263753066013,0.36863064248969696,1.0,0.7020000000000001,-0.07124114409695403
btc_macro_trend_static_80_m2_r7,Family A: BTC-only macro trend with drawdown control,btc,portfolio_insurance,7,0.5932222996957623,1.1389097958461436,-0.4637858122794832,1.7504991596343404,0.8,1.0221430374777225,0.22992184994005305,-0.31028532666379005,6.027657549043417,0.15158044598156678,0.8484195540184332,0.4305987220610771,0.41309972250481286,1.0,0.7020000000000001,-0.1167667583684211
btc_macro_trend_static_70_m1_r7,Family A: BTC-only macro trend with drawdown control,btc,portfolio_insurance,7,0.584443837459586,1.1178594621745996,-0.387882101343263,2.039451503190695,0.9333333333333333,1.1937116000801102,0.18586542287396957,-0.19991768775087604,4.272352403101306,0.11234492949964645,0.8876550705003535,0.5409663609739911,0.304331596198118,1.0,0.7020000000000001,0.0758521379055106
btc_macro_trend_static_75_m1_r7,Family A: BTC-only macro trend with drawdown control,btc,portfolio_insurance,7,0.5806720783789671,1.1117289846467362,-0.37774882391272013,2.0300707734454835,0.9333333333333333,1.2069670410246232,0.16481144902360012,-0.1702259047749477,3.8381410148543242,0.09881719377335953,0.9011828062266405,0.5706581439499194,0.26768626271611007,1.0,0.7020000000000001,0.09523805637788696
btc_macro_trend_static_80_m1_r7,Family A: BTC-only macro trend with drawdown control,btc,portfolio_insurance,7,0.5764593182029458,1.104148976132832,-0.36630541852297516,2.0204638270342605,0.9333333333333333,1.22109966121772,0.14114186973375187,-0.1391923087236847,3.3372211288903144,0.08399558841475238,0.9160044115852476,0.6016917400011824,0.2275359609882721,1.0,0.7020000000000001,0.11695068508488804
btc_macro_trend_static_85_m1_r7,Family A: BTC-only macro trend with drawdown control,btc,portfolio_insurance,7,0.5740997245285206,1.115650831662248,-0.35346979610719526,2.010707261381466,0.9333333333333333,1.2362477304902966,0.11417134487627911,-0.1067392090726802,2.748184352779543,0.06748848943676722,0.9325115105632328,0.6341448396521869,0.1828198193435675,1.0,0.7020000000000001,0.12059689882804858
frozen_vol_30_r14,Family F: Frozen macro allocation plus volatility-managed exposure overlay,frozen,vol_target,14,0.5730265554166837,0.5996067864320282,-0.36490818255294355,2.2742963401738012,0.7333333333333333,0.7857579024410486,0.15143341783621467,-0.4320545330315243,4.2443571203452555,0.2213441689551759,0.7786558310448242,0.3088295156933428,0.60300254619457,1.0,0.88,0.18615111600902035
balanced_macro_trend_vol_50_r7,Family C: 50/50 BTC/ETH macro trend with drawdown control,balanced,vol_target,7,0.5697016661109777,0.7232414634837943,-0.4563850779872455,2.295044375524789,0.6666666666666666,0.993520463357802,0.2631885660626352,-0.3920307296060901,6.937725846897097,0.21140190148687024,0.7885980985131298,0.34885331911877704,0.5683993338376969,1.0,0.792,0.2702789998740077
balanced_macro_trend_vol_40_r7,Family C: 50/50 BTC/ETH macro trend with drawdown control,balanced,vol_target,7,0.5682766301963698,0.7711356156207592,-0.4138856577120553,2.28908030590011,0.8,1.0561707081777494,0.23594226418886133,-0.31659010521978137,6.011574391794471,0.17541216805133414,0.8245878319486659,0.42429394350508576,0.4727728117000447,1.0,0.792,0.2850350925569902
balanced_macro_trend_vol_30_r7,Family C: 50/50 BTC/ETH macro trend with drawdown control,balanced,vol_target,7,0.5667077999111318,0.8524543124499508,-0.4096998901539234,2.3013249327128364,0.9333333333333333,1.0814228095214755,0.18545472480651348,-0.24223874429499515,4.6329925244415255,0.13275971298547845,0.8672402870145215,0.498645304429872,0.3597012353453954,1.0,0.792,0.22896849707152467
balanced_macro_trend_vol_20_r7,Family C: 50/50 BTC/ETH macro trend with drawdown control,balanced,vol_target,7,0.5583681963155204,0.8803044788941169,-0.4050190372859314,2.31349523218535,0.9333333333333333,1.097025763226687,0.12719957920864,-0.1647233461460489,3.131906361499783,0.08895085279763157,0.9110491472023684,0.5761607025788182,0.24100482681695953,1.0,0.792,0.2167212843325702
eth_macro_trend_static_70_m2_r14,Family B: ETH-only macro trend with drawdown control,eth,portfolio_insurance,14,0.5536883248792416,0.6446302145865584,-0.4779017667906839,1.855354224063967,0.6,0.9450695072767727,0.28096158341267974,-0.2906011645341243,4.748615216049703,0.21976657688589132,0.7802334231141087,0.4502828841907428,0.602889058515841,1.0,0.7020000000000001,0.3004392926902143
btc_macro_trend_tipp_70_m1_r7,Family A: BTC-only macro trend with drawdown control,btc,portfolio_insurance,7,0.5536039962967594,1.088453285394688,-0.48468529948002986,2.089645425521578,0.7333333333333333,1.0347694561107188,0.09763637336639319,-0.1629428110410548,2.194510558159758,0.06582822014271932,0.9341717798572807,0.5779412376838123,0.17832230969514218,1.0,0.6120000000000001,-0.0536838292839692
frozen_vol_20_r14,Family F: Frozen macro allocation plus volatility-managed exposure overlay,frozen,vol_target,14,0.5529020644082282,0.6011396460366621,-0.3682955118170069,2.283833889891086,0.7333333333333333,0.7857579024410487,0.10383609682195027,-0.30821182738720865,2.8295714135635044,0.1475627793034506,0.8524372206965494,0.4326722213376585,0.4020016974630468,1.0,0.88,0.18461825640438656
eth_macro_trend_vol_50_r14,Family B: ETH-only macro trend with drawdown control,eth,vol_target,14,0.5526950464812744,0.5729420370742807,-0.3048677697821609,2.138401671809456,0.7333333333333333,1.114134427405689,0.27947864187915306,-0.2208302455833735,3.815896610387876,0.18443539296908887,0.8155646070309112,0.5200538031414936,0.5059644737601209,1.0,0.81,0.5411923903314083
eth_macro_trend_static_75_m2_r14,Family B: ETH-only macro trend with drawdown control,eth,portfolio_insurance,14,0.5518887699485947,0.6446302145865584,-0.4573096466902614,1.802092551583804,0.7333333333333333,0.9346476798816516,0.2652611782853802,-0.2906011645341242,4.694119547940712,0.20870302211868458,0.7912969778813155,0.4502828841907429,0.5725382371491187,1.0,0.7020000000000001,0.2900174652950932
eth_macro_trend_vol_40_r14,Family B: ETH-only macro trend with drawdown control,eth,vol_target,14,0.5512547906069348,0.5925318671486753,-0.22563462414961902,2.156219831596091,0.8666666666666667,1.1239159947143234,0.23163575707771566,-0.17941312831130585,3.194144869239297,0.1499931487918346,0.8500068512081654,0.5614709204135613,0.4113589631179789,1.0,0.81,0.531384127565648
frozen_vol_40_r14,Family F: Frozen macro allocation plus volatility-managed exposure overlay,frozen,vol_target,14,0.550434848798099,0.5813825181950137,-0.4280769111289365,2.256925393395294,0.7333333333333333,0.7688526242575925,0.1872699225375667,-0.5378598211859469,5.433127595789271,0.2915970205813459,0.7084029794186542,0.20302422753892024,0.7903956346370062,1.0,0.88,0.18747010606257875
eth_macro_trend_static_80_m2_r14,Family B: ETH-only macro trend with drawdown control,eth,portfolio_insurance,14,0.5502186690784021,0.6446302145865584,-0.4318316147970472,1.7302596553342695,0.7333333333333333,0.9171886302475656,0.24757552731169308,-0.2906011645341242,4.63650426546744,0.1970427417957239,0.8029572582042761,0.4502828841907429,0.5405504093112641,1.0,0.7020000000000001,0.27255841566100714
btc_macro_trend_tipp_75_m1_r7,Family A: BTC-only macro trend with drawdown control,btc,portfolio_insurance,7,0.550125232912524,1.0858405389463603,-0.4865669281034956,2.0870393420388056,0.7333333333333333,1.032880140361022,0.08091109328538804,-0.13639426867286764,1.826150679191208,0.05452827899754387,0.9454717210024561,0.6044897800519995,0.1477118572165828,1.0,0.6120000000000001,-0.05296039858533841
eth_macro_trend_static_70_m3_r14,Family B: ETH-only macro trend with drawdown control,eth,portfolio_insurance,14,0.5499832751361892,0.6446302145865584,-0.5943720509714053,1.9036139937774157,0.5333333333333333,0.9237337325569814,0.287180739928115,-0.2911051682508331,4.802385908012833,0.23173445771546028,0.7682655422845397,0.449778880474034,0.6357207315937493,1.0,0.7020000000000001,0.279103517970423
