candidate,family,portfolio,mechanism,split,positive_invested_week_percentage,average_return_when_invested,missed_upside_while_in_cash,avoided_downside_while_in_cash,conditional_sharpe_when_invested
btc_macro_trend_vol_20_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,development,0.46846846846846846,0.0012169547550172255,18.38949042258217,17.142671552786716,2.1335838270038705
btc_macro_trend_vol_20_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,holdout,0.4,-0.0001907725774866832,4.536140371935993,4.944703034959351,-0.6508245979822237
btc_macro_trend_vol_30_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,development,0.46846846846846846,0.0017661630115292687,18.38949042258217,17.142671552786716,2.093472603951896
btc_macro_trend_vol_30_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,holdout,0.42857142857142855,-6.044228581806787e-05,4.412911909256386,4.890345937170723,-0.13868021968941555
btc_macro_trend_vol_40_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,development,0.46846846846846846,0.0021145741643521323,18.35642422075734,17.044029491051088,1.9430971330139157
btc_macro_trend_vol_40_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,holdout,0.42857142857142855,-1.8066238578017198e-05,4.412911909256386,4.890345937170723,-0.03280071276688324
btc_macro_trend_vol_50_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,development,0.4690265486725664,0.0025029452151465598,17.905891047122346,16.626960628029483,1.8832262713003094
btc_macro_trend_vol_50_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,holdout,0.42857142857142855,-1.2043386938345299e-05,4.412911909256386,4.890345937170723,-0.02146184803012446
btc_macro_trend_dd_10_reduce_50_r7,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,development,0.48214285714285715,0.0021285869755437647,17.989042470506458,16.667663562056184,1.9202110816052305
btc_macro_trend_dd_10_reduce_50_r7,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,holdout,0.42857142857142855,-1.2043386938345299e-05,4.412911909256386,4.890345937170723,-0.02146184803012446
btc_macro_trend_dd_10_cash_r7,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,development,0.3333333333333333,-0.0022562528976041406,27.048498191199776,22.9370084530671,-3.0741858890463014
btc_macro_trend_dd_10_cash_r7,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,holdout,0.0,0.0,5.4369360268442195,5.672695893422421,0.0
btc_macro_trend_dd_15_reduce_50_r7,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,development,0.4778761061946903,0.0016968646327444104,17.753736672703873,16.515360788338537,1.2688299632454167
btc_macro_trend_dd_15_reduce_50_r7,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,holdout,0.42857142857142855,-1.2043386938345299e-05,4.412911909256386,4.890345937170723,-0.02146184803012446
btc_macro_trend_dd_15_cash_r7,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,development,0.38461538461538464,-0.006548196842665815,26.480703154166136,22.111246125076523,-2.199231750268807
btc_macro_trend_dd_15_cash_r7,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,holdout,0.0,0.0,5.4369360268442195,5.672695893422421,0.0
btc_macro_trend_dd_20_reduce_50_r7,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,development,0.49557522123893805,0.002123709694753717,17.325405546057357,16.43477587461369,1.483850373781613
btc_macro_trend_dd_20_reduce_50_r7,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,holdout,0.42857142857142855,-1.2043386938345299e-05,4.412911909256386,4.890345937170723,-0.02146184803012446
btc_macro_trend_dd_20_cash_r7,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,development,0.38461538461538464,-0.006548196842665815,26.480703154166136,22.111246125076523,-2.199231750268807
btc_macro_trend_dd_20_cash_r7,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,holdout,0.0,0.0,5.4369360268442195,5.672695893422421,0.0
btc_macro_trend_dd_25_reduce_50_r7,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,development,0.49557522123893805,0.0022592555650645945,17.325405546057357,16.43477587461369,1.5689653608301473
btc_macro_trend_dd_25_reduce_50_r7,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,holdout,0.42857142857142855,-1.2043386938345299e-05,4.412911909256386,4.890345937170723,-0.02146184803012446
btc_macro_trend_dd_25_cash_r7,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,development,0.38461538461538464,-0.006548196842665815,26.480703154166136,22.111246125076523,-2.199231750268807
