candidate,family,portfolio,mechanism,rebalance_days,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,Allocation Changes,worst_drawdown_start,worst_drawdown_trough,worst_drawdown_recovery
btc_macro_trend_vol_20_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,7,development,0,0.15578031931607272,1.2918919197423027,0.7900958950675956,0.8170393308216473,0.11753823032024767,-0.1906644067665798,0.1654210264075735,0.007872363248794326,0.08754512885861496,0.0,0.912454871141385,2.873412585809929,-0.12417326065015977,0.1431786591635622,0.2999501743896363,111,2019-08-19,2020-03-12,2020-08-01
btc_macro_trend_vol_20_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,7,holdout,0,0.0028947480218628474,0.08498835968066736,0.06304259588547015,0.07857508154274327,0.04686332173553632,-0.036840534747497045,0.08178438661710037,0.009716123792307713,0.05834053064027387,0.0,0.9416594693597261,3.546385184192315,-0.011935220961862059,0.02458450264318679,0.1691449814126394,20,2025-05-22,2025-06-05,
btc_macro_trend_vol_20_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,7,development,10,0.15247225654571617,1.2680231689194328,0.8017989399441451,0.7958501737676767,0.11748466516796993,-0.19158412169955197,0.16492277030393623,0.007872363248794326,0.08754512885861496,0.01579983304033021,0.912454871141385,2.873412585809929,-0.12462399481422048,0.1425081858801991,0.2999501743896363,111,2019-08-19,2020-03-12,2020-08-10
btc_macro_trend_vol_20_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,7,holdout,10,-0.0006537907137932342,0.009321541182310246,0.006808407905971608,-0.01762034173181291,0.046821834583164246,-0.03710431521386659,0.08178438661710037,0.009716123792307713,0.05834053064027387,0.005227274600261549,0.9416594693597261,3.546385184192315,-0.012180377615792715,0.02369338621665018,0.1691449814126394,20,2025-05-22,2025-06-05,
btc_macro_trend_vol_20_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,7,development,25,0.14752636710694556,1.2320629299841241,0.7800755869762691,0.7645352431100464,0.11741539740090784,-0.19296215372207604,0.16492277030393623,0.007872363248794326,0.08754512885861496,0.039499582600825534,0.912454871141385,2.873412585809929,-0.1252999004976676,0.1415029996581254,0.2999501743896363,111,2019-08-19,2020-03-12,2020-08-17
btc_macro_trend_vol_20_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,7,holdout,25,-0.005955213421978134,-0.10433038344178103,-0.07710205830031448,-0.15074145833476382,0.046804449057882516,-0.03950614175930889,0.08178438661710037,0.009716123792307713,0.05834053064027387,0.013068186500653873,0.9416594693597261,3.546385184192315,-0.012548095139448656,0.022357667269570003,0.1691449814126394,20,2025-05-22,2026-04-19,
btc_macro_trend_vol_20_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,7,development,50,0.13932625932222065,1.1717391187456327,0.7442333830403811,0.7130485510992849,0.11732955304049453,-0.19539519308667785,0.16442451420029897,0.007872363248794326,0.08754512885861496,0.07899916520165107,0.912454871141385,2.873412585809929,-0.12642588846969594,0.13982908518598958,0.2999501743896363,111,2019-07-09,2020-03-12,2020-08-17
btc_macro_trend_vol_20_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,7,holdout,50,-0.014734165387202847,-0.29318821990104044,-0.21981076990406967,-0.30718834751654905,0.04689509381417743,-0.047964597310804824,0.08178438661710037,0.009716123792307713,0.05834053064027387,0.026136373001307747,0.9416594693597261,3.546385184192315,-0.013160911126236297,0.020134016188392723,0.1691449814126394,20,2025-05-22,2026-04-19,
btc_macro_trend_vol_20_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,7,development,100,0.12308629852070618,1.0498293518438535,0.6753850647120332,0.612956927445886,0.11726911991669058,-0.20080741893821352,0.1604384653712008,0.007872363248794326,0.08754512885861496,0.15799833040330213,0.912454871141385,2.873412585809929,-0.12867590878731372,0.13648648651883244,0.2999501743896363,111,2019-07-09,2020-03-12,2020-10-19
btc_macro_trend_vol_20_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,7,holdout,100,-0.03208109269183956,-0.6624778486464749,-0.4974832189315605,-0.49600209872918105,0.04752010208756747,-0.06467934868428038,0.07992565055762081,0.009716123792307713,0.05834053064027387,0.05227274600261549,0.9416594693597261,3.546385184192315,-0.015976734257818648,0.015696256781134066,0.1691449814126394,20,2025-05-22,2026-04-19,
btc_macro_trend_vol_30_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,7,development,0,0.22798388720733542,1.2711550181223323,0.7675826669348501,0.8158257084422296,0.17392213243084942,-0.27945170745189807,0.1654210264075735,0.011590295278650851,0.1303550503835475,0.0,0.8696449496164524,4.23045777670756,-0.1897096719296577,0.22063466567491363,0.2999501743896363,111,2019-08-19,2020-03-12,2020-08-17
btc_macro_trend_vol_30_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,7,holdout,0,0.0038760049869182023,0.08996457588701891,0.06639391500842833,0.07050545958038568,0.07019613379787355,-0.054974536865461276,0.09107806691449814,0.014545392364264862,0.0877547264595207,0.0,0.9122452735404794,5.309068212956675,-0.017959954182846793,0.03655578912621049,0.1821561338289963,21,2025-05-22,2025-06-05,
btc_macro_trend_vol_30_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,7,development,10,0.22281628115103858,1.24731908590065,0.7788095253462334,0.793844755847223,0.17385409722061762,-0.2806799182205847,0.16492277030393623,0.011590295278650851,0.1303550503835475,0.02326172262425226,0.8696449496164524,4.23045777670756,-0.19032395011576175,0.21956069200743267,0.2999501743896363,111,2019-08-19,2020-03-12,2020-08-17
btc_macro_trend_vol_30_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,7,holdout,10,-0.0014361615283279283,0.014343712771720321,0.010489873978386775,-0.025940059095469325,0.07014203428982853,-0.05536462052928659,0.09107806691449814,0.014545392364264862,0.0877547264595207,0.007825421091974497,0.9122452735404794,5.309068212956675,-0.018325093868062803,0.03520146553373538,0.1821561338289963,21,2025-05-22,2025-06-05,
btc_macro_trend_vol_30_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,7,development,25,0.21510217608615512,1.2114197856908198,0.7574221595338156,0.7613720234550696,0.17376787918335004,-0.28251914893067887,0.16492277030393623,0.011590295278650851,0.1303550503835475,0.05815430656063064,0.8696449496164524,4.23045777670756,-0.19124497150942954,0.21795099067477852,0.2999501743896363,111,2019-08-19,2020-03-12,2020-10-19
btc_macro_trend_vol_30_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,7,holdout,25,-0.009356482407530842,-0.0992125679590193,-0.07329880337369155,-0.1595058243705034,0.07012725574477036,-0.05865918968449335,0.09107806691449814,0.014545392364264862,0.0877547264595207,0.01956355272993624,0.9122452735404794,5.309068212956675,-0.018872764395169495,0.03317216318408489,0.1821561338289963,21,2025-05-22,2026-04-19,
btc_macro_trend_vol_30_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,7,development,50,0.20234423004416402,1.1512279674467172,0.722158365826286,0.7080134368195012,0.17366647455750478,-0.2857915111796798,0.16442451420029897,0.011590295278650851,0.1303550503835475,0.11630861312126128,0.8696449496164524,4.23045777670756,-0.1927789514709074,0.21527151058149707,0.2999501743896363,111,2019-07-09,2020-03-12,2020-10-19
btc_macro_trend_vol_30_r7,Family A: BTC-only macro trend with drawdown control,btc,vol_target,7,holdout,50,-0.02243013114985426,-0.28785286483812444,-0.21452628255835499,-0.3157820537849879,0.07027957032884068,-0.0710304175965828,0.08921933085501858,0.014545392364264862,0.0877547264595207,0.03912710545987248,0.9122452735404794,5.309068212956675,-0.019785444605100788,0.02979580940365656,0.1821561338289963,21,2025-05-22,2026-04-19,
