candidate,architecture,fold,test_groups,fold_sharpe
expansion_first__btc_eth_only__equal_weight__none,expansion_first,0,"0,1",1.777572707467179
expansion_first__btc_eth_only__equal_weight__none,expansion_first,1,"0,2",0.2897691506142978
expansion_first__btc_eth_only__equal_weight__none,expansion_first,2,"0,3",-0.3015094784959527
expansion_first__btc_eth_only__equal_weight__none,expansion_first,3,"0,4",0.6344418711373561
expansion_first__btc_eth_only__equal_weight__none,expansion_first,4,"0,5",0.6849275781581877
expansion_first__btc_eth_only__equal_weight__none,expansion_first,5,"1,2",1.9212126921761044
expansion_first__btc_eth_only__equal_weight__none,expansion_first,6,"1,3",1.387975613247021
expansion_first__btc_eth_only__equal_weight__none,expansion_first,7,"1,4",2.4543699385772566
expansion_first__btc_eth_only__equal_weight__none,expansion_first,8,"1,5",2.479720920410214
expansion_first__btc_eth_only__equal_weight__none,expansion_first,9,"2,3",-0.14964988880779925
expansion_first__btc_eth_only__equal_weight__none,expansion_first,10,"2,4",0.8082381541611751
expansion_first__btc_eth_only__equal_weight__none,expansion_first,11,"2,5",0.8558769210594454
expansion_first__btc_eth_only__equal_weight__none,expansion_first,12,"3,4",0.1315908587174714
expansion_first__btc_eth_only__equal_weight__none,expansion_first,13,"3,5",0.19224029004151527
expansion_first__btc_eth_only__equal_weight__none,expansion_first,14,"4,5",1.4149589735291748
expansion_first__btc_eth_only__equal_weight__vol_target,expansion_first,0,"0,1",1.371619311124731
expansion_first__btc_eth_only__equal_weight__vol_target,expansion_first,1,"0,2",-0.14556389342386153
expansion_first__btc_eth_only__equal_weight__vol_target,expansion_first,2,"0,3",-0.5902943931732424
expansion_first__btc_eth_only__equal_weight__vol_target,expansion_first,3,"0,4",0.42225323664004855
expansion_first__btc_eth_only__equal_weight__vol_target,expansion_first,4,"0,5",0.41787422509301747
expansion_first__btc_eth_only__equal_weight__vol_target,expansion_first,5,"1,2",1.9760763896144733
expansion_first__btc_eth_only__equal_weight__vol_target,expansion_first,6,"1,3",1.3717133404082607
expansion_first__btc_eth_only__equal_weight__vol_target,expansion_first,7,"1,4",2.435825093194898
expansion_first__btc_eth_only__equal_weight__vol_target,expansion_first,8,"1,5",2.505164495875522
expansion_first__btc_eth_only__equal_weight__vol_target,expansion_first,9,"2,3",-0.2499668306671999
expansion_first__btc_eth_only__equal_weight__vol_target,expansion_first,10,"2,4",0.9010837820494844
expansion_first__btc_eth_only__equal_weight__vol_target,expansion_first,11,"2,5",0.9202618016517904
expansion_first__btc_eth_only__equal_weight__vol_target,expansion_first,12,"3,4",0.36543659027332076
expansion_first__btc_eth_only__equal_weight__vol_target,expansion_first,13,"3,5",0.359591379662691
expansion_first__btc_eth_only__equal_weight__vol_target,expansion_first,14,"4,5",1.4564252357821723
expansion_first__btc_eth_only__equal_weight__drawdown_brake,expansion_first,0,"0,1",1.387667993932358
expansion_first__btc_eth_only__equal_weight__drawdown_brake,expansion_first,1,"0,2",-1.083915050138633
expansion_first__btc_eth_only__equal_weight__drawdown_brake,expansion_first,2,"0,3",-1.339400662616257
expansion_first__btc_eth_only__equal_weight__drawdown_brake,expansion_first,3,"0,4",-1.339400662616257
expansion_first__btc_eth_only__equal_weight__drawdown_brake,expansion_first,4,"0,5",-1.3805142134944874
