config,model,feature,importance,method,target
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,equity_realized_vol_21d,-1.206260466138757,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,vix_level,0.9614473819887608,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,eth_btc_relative_strength_30d,-0.6666187115224371,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,dow_vol_level,0.5853736769703458,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,falling_vix_after_high_vix,0.5824256075255309,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,downside_to_upside_volatility_ratio,-0.5293124605318615,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,volatility_of_volatility,0.4747345441686093,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,eth_btc_relative_strength_14d,0.45615527137060974,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,tvl_percentile,0.4043897515345988,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,equity_momentum_21d,-0.35361110398562556,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,risk_appetite_recovery_score,-0.3328689374045603,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,jump_intensity,0.29379842405390844,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,distance_from_90d_lows,-0.28745437152305325,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,recovery_from_drawdown,-0.2744617835368324,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,upside_semivariance,-0.266646800084812,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,top20_above_30dma_pct,0.22591058911276307,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,volume_confirmation_of_price_trend,-0.20868692583246873,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,vix_change_5d,-0.16500103375272956,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,funding_rate_btc_eth_mean,0.15470315774021529,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,vix_change_21d,0.12027907889340878,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,tvl_acceleration,-0.10654776920901782,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,dispersion_acceleration,-0.09745650706408532,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,market_dollar_volume_growth_30d,-0.07202371146108404,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,stablecoin_supply_acceleration,0.06107657778424609,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,basis_close_btc_eth_mean,0.053978082626344084,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,top20_30d_high_pct,0.03774796697831163,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,stablecoin_supply_percentile,0.02087355441491015,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,combined_crypto_liquidity_impulse,-0.008116914743282121,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,open_interest_growth_7d,0.0,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,long_short_ratio_btc_eth_mean,0.0,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__logistic_regression,logistic_regression,taker_imbalance_btc_eth_mean,0.0,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,equity_realized_vol_21d,-0.9748279108083926,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,vix_level,0.811296376440069,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,eth_btc_relative_strength_30d,-0.5665218465140615,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,dow_vol_level,0.4753876551885841,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,falling_vix_after_high_vix,0.4717799779046451,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,downside_to_upside_volatility_ratio,-0.41182746378818685,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,volatility_of_volatility,0.37740970139124574,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,tvl_percentile,0.3692968320346454,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,eth_btc_relative_strength_14d,0.3573278166132802,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,risk_appetite_recovery_score,-0.3074863302806195,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,equity_momentum_21d,-0.30024860488549454,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,distance_from_90d_lows,-0.26452895532026344,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,jump_intensity,0.19918280638830727,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,recovery_from_drawdown,-0.18330624412512544,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,upside_semivariance,-0.16325710344649938,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,top20_above_30dma_pct,0.16181557865802892,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,volume_confirmation_of_price_trend,-0.12707895522040613,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,funding_rate_btc_eth_mean,0.11696403968741412,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,vix_change_5d,-0.11667624054669881,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,dispersion_acceleration,-0.08783783133825344,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,tvl_acceleration,-0.07764171745528567,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,vix_change_21d,0.04634527926921879,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,stablecoin_supply_acceleration,0.040096677771781594,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,basis_close_btc_eth_mean,0.03564926726466991,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,market_dollar_volume_growth_30d,-0.03514500751565889,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,top20_30d_high_pct,0.0,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,stablecoin_supply_percentile,0.0,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,combined_crypto_liquidity_impulse,0.0,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,open_interest_growth_7d,0.0,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,long_short_ratio_btc_eth_mean,0.0,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,taker_imbalance_btc_eth_mean,0.0,coefficient,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,vix_level,0.08560492868633127,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,dow_vol_level,0.08190399736282684,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,vix_change_21d,0.07040481999417443,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,recovery_from_drawdown,0.06204015376279267,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,equity_realized_vol_21d,0.04980470468415912,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,tvl_percentile,0.0452019894946075,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,upside_semivariance,0.0415646627528626,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,basis_close_btc_eth_mean,0.040894706010142466,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,volatility_of_volatility,0.04023019415259159,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,eth_btc_relative_strength_30d,0.039409052350633356,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,downside_to_upside_volatility_ratio,0.03850960770207351,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,distance_from_90d_lows,0.03773926521284387,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,dispersion_acceleration,0.03524828977225773,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,risk_appetite_recovery_score,0.03413623514661722,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,tvl_acceleration,0.031216256735868364,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,funding_rate_btc_eth_mean,0.02972471575897032,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,equity_momentum_21d,0.028995283358715693,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,volume_confirmation_of_price_trend,0.028724705024185254,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,stablecoin_supply_acceleration,0.027397270829859044,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,eth_btc_relative_strength_14d,0.026678793046196844,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,market_dollar_volume_growth_30d,0.02536291026926758,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,vix_change_5d,0.025275685884089242,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,stablecoin_supply_percentile,0.020293828403908754,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,combined_crypto_liquidity_impulse,0.019446960574540817,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,top20_above_30dma_pct,0.0174916608209809,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,jump_intensity,0.009278409278058196,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,top20_30d_high_pct,0.006432327913940194,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,falling_vix_after_high_vix,0.0009885850165047842,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,open_interest_growth_7d,0.0,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,long_short_ratio_btc_eth_mean,0.0,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__random_forest,random_forest,taker_imbalance_btc_eth_mean,0.0,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,distance_from_90d_lows,0.1590515766743928,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,vix_level,0.14245613541370697,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,upside_semivariance,0.07389625309065442,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,downside_to_upside_volatility_ratio,0.07187154007633488,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,vix_change_21d,0.06688602137864444,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,equity_realized_vol_21d,0.06139378870062649,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,stablecoin_supply_percentile,0.04436294570734972,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,dispersion_acceleration,0.04352708187013667,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,dow_vol_level,0.039914573893513945,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,eth_btc_relative_strength_30d,0.03854349772456191,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,volatility_of_volatility,0.0347870112030601,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,basis_close_btc_eth_mean,0.03283296804899633,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,market_dollar_volume_growth_30d,0.03248511773086091,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,recovery_from_drawdown,0.0322121508926753,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,funding_rate_btc_eth_mean,0.025603628376134877,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,vix_change_5d,0.025547553025838353,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,eth_btc_relative_strength_14d,0.018997524093010202,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,equity_momentum_21d,0.017601840404015103,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,jump_intensity,0.016031622367014862,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,tvl_percentile,0.012926967677740032,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,risk_appetite_recovery_score,0.009070201650731599,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,top20_30d_high_pct,0.0,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,volume_confirmation_of_price_trend,0.0,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,combined_crypto_liquidity_impulse,0.0,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,tvl_acceleration,0.0,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,top20_above_30dma_pct,0.0,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,stablecoin_supply_acceleration,0.0,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,falling_vix_after_high_vix,0.0,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,open_interest_growth_7d,0.0,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,long_short_ratio_btc_eth_mean,0.0,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__gradient_boosting,gradient_boosting,taker_imbalance_btc_eth_mean,0.0,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__xgboost,xgboost,dow_vol_level,0.050752267241477966,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__xgboost,xgboost,vix_level,0.0449826680123806,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__xgboost,xgboost,upside_semivariance,0.04476236552000046,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__xgboost,xgboost,vix_change_21d,0.04462120309472084,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__xgboost,xgboost,distance_from_90d_lows,0.0442451648414135,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__xgboost,xgboost,top20_above_30dma_pct,0.04362935572862625,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__xgboost,xgboost,downside_to_upside_volatility_ratio,0.04315660521388054,model_importance,target_a_btc_30d_gt_15
target_a_btc_30d_gt_15__xgboost,xgboost,eth_btc_relative_strength_30d,0.04024672135710716,model_importance,target_a_btc_30d_gt_15
