candidate,architecture,portfolio_version,construction,risk_layer,median_fold_sharpe,worst_fold_sharpe,positive_fold_fraction,development_sharpe,development_cagr,development_max_drawdown,development_turnover,development_exposure,selection_score
expansion_first__btc_eth_only__confidence_weight__vol_target_macro_gate,expansion_first,btc_eth_only,confidence_weight,vol_target_macro_gate,1.4328480090017297,0.05585992155941879,1.0,1.150144235550319,0.21990874013413308,-0.20899280189182612,7.719720790594891,0.1675848249960531,1.6468129893915844
expansion_first__btc_eth_cash__volatility_adjusted_weight__vol_target_macro_gate,expansion_first,btc_eth_cash,volatility_adjusted_weight,vol_target_macro_gate,1.4259950856534103,-0.16316811439122803,0.8666666666666667,1.1672801861553712,0.1919868947548511,-0.17795415608675502,5.791857316456382,0.12536161223712575,1.5585363903889367
expansion_first__btc_eth_cash__equal_weight__vol_target_macro_gate,expansion_first,btc_eth_cash,equal_weight,vol_target_macro_gate,1.3879399341791316,-0.0959530752581422,0.8666666666666667,1.1453535058482807,0.18641506376406358,-0.18312605041977104,5.725349911823243,0.12519734909271765,1.5372849986979293
expansion_first__btc_eth_cash__probability_weight__vol_target_macro_gate,expansion_first,btc_eth_cash,probability_weight,vol_target_macro_gate,1.3862203114917837,-0.12053903042059072,0.8666666666666667,1.1460248289186197,0.18991512227500484,-0.1792071546569569,5.756875572252044,0.12452360381232586,1.5294188872199694
hybrid__btc_eth_only__confidence_weight__vol_target,hybrid,btc_eth_only,confidence_weight,vol_target,1.3781875800282464,-0.2916497329432102,0.9333333333333333,1.1194552909889148,0.29329324329349515,-0.29117297771225814,9.924720726781697,0.19693669439452552,1.4919418134591105
hybrid__btc_eth_only__confidence_weight__none,hybrid,btc_eth_only,confidence_weight,none,1.4372059390740735,-0.5824659552456858,0.8666666666666667,1.2616067219905147,0.48170964799787264,-0.4072310071054508,12.21354131373065,0.2968070668971857,1.4542457179094528
expansion_first__btc_eth_cash__confidence_weight__vol_target_macro_gate,expansion_first,btc_eth_cash,confidence_weight,vol_target_macro_gate,1.3305385415820001,-0.20121521657328803,0.8666666666666667,1.1021543824839501,0.18482943393547546,-0.17322522757256864,5.987409956463126,0.12396652757266087,1.4535680707720116
hybrid__btc_eth_only__confidence_weight__macro_gate,hybrid,btc_eth_only,confidence_weight,macro_gate,1.3989305894914756,-0.48149115630423955,0.8666666666666667,1.2359171150800066,0.42103084969627647,-0.4158481987868302,11.31681092497098,0.2703675317358685,1.451891133748749
hybrid__btc_eth_only__confidence_weight__vol_target_macro_gate,hybrid,btc_eth_only,confidence_weight,vol_target_macro_gate,1.2902014575471432,-0.14038080127148245,0.9333333333333333,1.1074668202447915,0.25183982676662686,-0.27260090609492715,8.925599529870828,0.1753038577012072,1.4417729238959394
hybrid__btc_eth_cash__equal_weight__vol_target_macro_gate,hybrid,btc_eth_cash,equal_weight,vol_target_macro_gate,1.2614571904687633,-0.22529395435433927,0.8666666666666667,0.9865341501873133,0.1626249434074929,-0.2807905632944391,5.9079116702738075,0.11214408929676795,1.3784670352135118
hybrid__btc_eth_cash__equal_weight__macro_gate,hybrid,btc_eth_cash,equal_weight,macro_gate,1.2614571904687633,-0.2809311340381375,0.8666666666666667,1.041000288882222,0.21608832638246533,-0.30263516320741146,6.286511557566431,0.14121647255539085,1.3645577402925622
hybrid__btc_eth_cash__equal_weight__none,hybrid,btc_eth_cash,equal_weight,none,1.2425964197456603,-0.2608664521585965,0.8666666666666667,1.0843368270338072,0.23248184129103322,-0.30104726405292115,6.318643451068072,0.1476313579358999,1.3507131400393444
hybrid__btc_eth_cash__equal_weight__vol_target,hybrid,btc_eth_cash,equal_weight,vol_target,1.2292209790389892,-0.20792907483533046,0.8666666666666667,1.0309434564217366,0.17728029261535005,-0.27949938055573165,5.966869070854561,0.11834427760188843,1.3505720436634898
hybrid__btc_eth_cash__probability_weight__none,hybrid,btc_eth_cash,probability_weight,none,1.2546122552038483,-0.3133910553131884,0.8666666666666667,1.0919559538852095,0.23845928014487328,-0.29371480120668036,6.465035023888711,0.1476313579358999,1.3495978247088847
hybrid__btc_eth_cash__volatility_adjusted_weight__none,hybrid,btc_eth_cash,volatility_adjusted_weight,none,1.2440570772641946,-0.36184292839191123,0.8666666666666667,1.1069249741910911,0.23968000370746556,-0.2897451577723108,6.508832280359088,0.1476313579358999,1.3269296784995501
hybrid__btc_eth_cash__probability_weight__vol_target_macro_gate,hybrid,btc_eth_cash,probability_weight,vol_target_macro_gate,1.216925950663715,-0.28742603317353094,0.8666666666666667,0.9800317735063242,0.16295588920302495,-0.2763725142073038,5.978257359612697,0.11168453090085573,1.3184027757036656
hybrid__btc_eth_cash__probability_weight__vol_target,hybrid,btc_eth_cash,probability_weight,vol_target,1.2103219717998266,-0.26952070604424655,0.8666666666666667,1.0350145009244396,0.18030563953401613,-0.27508511552884995,6.027554252243517,0.11797110463664548,1.3162751286220984
hybrid__btc_eth_cash__volatility_adjusted_weight__vol_target_macro_gate,hybrid,btc_eth_cash,volatility_adjusted_weight,vol_target_macro_gate,1.2270386544385252,-0.3395277079921371,0.8666666666666667,0.9996315153570979,0.16453400635095883,-0.2733683432686237,6.011632675287687,0.11216895453286548,1.3154900607738242
hybrid__btc_eth_cash__probability_weight__macro_gate,hybrid,btc_eth_cash,probability_weight,macro_gate,1.216925950663715,-0.3340379214340525,0.8666666666666667,1.042881972311283,0.22008233770896224,-0.29526385365774444,6.4329031303870705,0.14121647255539085,1.3067498036385352
hybrid__btc_eth_cash__volatility_adjusted_weight__macro_gate,hybrid,btc_eth_cash,volatility_adjusted_weight,macro_gate,1.2270386544385252,-0.38168141194058725,0.8666666666666667,1.059120664755067,0.22160815850867177,-0.291251865102779,6.4767003868574475,0.14121647255539085,1.3049516347867118
hybrid__btc_eth_cash__confidence_weight__none,hybrid,btc_eth_cash,confidence_weight,none,1.243174607455922,-0.45033676847301357,0.8666666666666667,1.0731611578553868,0.2361543088459963,-0.2835374259912016,6.750933828416515,0.1476313579358999,1.303923748671002
hybrid__btc_eth_cash__volatility_adjusted_weight__vol_target,hybrid,btc_eth_cash,volatility_adjusted_weight,vol_target,1.199450796819052,-0.3225728374790663,0.8666666666666667,1.0528123581962006,0.1816267939366929,-0.2721286997177901,6.058555828602128,0.11845855290153662,1.2921409207826187
expansion_first__btc_eth_only__confidence_weight__vol_target_drawdown_brake_macro_gate,expansion_first,btc_eth_only,confidence_weight,vol_target_drawdown_brake_macro_gate,1.4788859864014303,-1.2498006508092125,0.6,1.1096775210985006,0.1531997177563964,-0.10420194658063309,2.7333999552256567,0.07565833459830627,1.2864358236991271
hybrid__btc_eth_cash__confidence_weight__vol_target,hybrid,btc_eth_cash,confidence_weight,vol_target,1.2027433796060398,-0.42099949557220184,0.8666666666666667,1.0043571181585156,0.17537286634741744,-0.2690239147944583,6.219262150101436,0.11767599949486665,1.2708268390463227
expansion_first__btc_eth_cash__probability_weight__macro_gate,expansion_first,btc_eth_cash,probability_weight,macro_gate,1.1586772025023548,-0.39688632182223643,0.8666666666666667,1.1059440316151388,0.260154559519858,-0.31719803411846326,7.62999155976101,0.18179375923345256,1.232788955380129
expansion_first__btc_eth_only__confidence_weight__macro_gate,expansion_first,btc_eth_only,confidence_weight,macro_gate,1.2436279194151705,-0.49965158501319856,0.8,1.0531390809695285,0.3593810936563848,-0.4634982460716638,13.03453548845344,0.32232964601865627,1.2269882487391988
hybrid__btc_eth_cash__confidence_weight__vol_target_macro_gate,hybrid,btc_eth_cash,confidence_weight,vol_target_macro_gate,1.1584369565005699,-0.4368352374763935,0.8666666666666667,0.9440417146714115,0.15696873825436386,-0.2697091329216831,6.152329738442444,0.11138351890752564,1.2225614804648048
expansion_first__btc_eth_cash__volatility_adjusted_weight__macro_gate,expansion_first,btc_eth_cash,volatility_adjusted_weight,macro_gate,1.152473903000409,-0.43782792039570123,0.8666666666666667,1.1164496342342256,0.26034773689880186,-0.31415577326193955,7.684343930506165,0.18179375923345256,1.216350256234817
hybrid__btc_eth_cash__confidence_weight__macro_gate,hybrid,btc_eth_cash,confidence_weight,macro_gate,1.1584369565005699,-0.4687956636767037,0.8666666666666667,1.020578840371256,0.21670626351086675,-0.28431975900278683,6.6953028998813835,0.14121647255539085,1.2145713739147272
expansion_first__btc_eth_cash__equal_weight__macro_gate,expansion_first,btc_eth_cash,equal_weight,macro_gate,1.1234210387251424,-0.3596726583321364,0.8666666666666667,1.0929718419362664,0.25264354481372164,-0.32553974279307263,7.415277512396406,0.18179375923345256,1.2068362074754417
expansion_first__btc_eth_cash__confidence_weight__macro_gate,expansion_first,btc_eth_cash,confidence_weight,macro_gate,1.1382967205665324,-0.49574076362489966,0.8666666666666667,1.0908260489099102,0.25924566260318427,-0.30641621655783846,8.119535052845507,0.18179375923345256,1.1876948629936408
hybrid__btc_eth_only__confidence_weight__vol_target_drawdown_brake_macro_gate,hybrid,btc_eth_only,confidence_weight,vol_target_drawdown_brake_macro_gate,1.2138029134902204,-0.8768250393757107,0.8666666666666667,1.0222976804607444,0.18024827972568902,-0.16268596065301932,6.029498830561362,0.11575030786608757,1.167929986979626
hybrid__btc_eth_cash__equal_weight__drawdown_brake,hybrid,btc_eth_cash,equal_weight,drawdown_brake,1.202360699373936,-0.985390918633615,0.8,0.9560095398057185,0.18855928694833035,-0.2562306774145131,5.597804127122883,0.13014514101789124,1.1160129697155323
hybrid__btc_eth_only__confidence_weight__drawdown_brake,hybrid,btc_eth_only,confidence_weight,drawdown_brake,1.2796111368021355,-1.294868049011899,0.8,1.243264302460654,0.39316766885761645,-0.29153815386943094,8.774960327646454,0.20666738352981065,1.1158941245491607
expansion_first__btc_eth_cash__equal_weight__vol_target_drawdown_brake_macro_gate,expansion_first,btc_eth_cash,equal_weight,vol_target_drawdown_brake_macro_gate,1.18704513634059,-0.9721969372520947,0.8,0.953917543356154,0.11538981589806241,-0.1767137082677518,3.807813730375365,0.08325548978879915,1.1039959020275663
hybrid__btc_eth_cash__volatility_adjusted_weight__drawdown_brake,hybrid,btc_eth_cash,volatility_adjusted_weight,drawdown_brake,1.1694175092752908,-0.9521723668917432,0.8,0.9994561950180082,0.2016420077432377,-0.23952459758658762,5.4902491186607545,0.12729782494280614,1.091374417552355
expansion_first__btc_eth_cash__probability_weight__vol_target_drawdown_brake_macro_gate,expansion_first,btc_eth_cash,probability_weight,vol_target_drawdown_brake_macro_gate,1.19455278997789,-1.0007281686733438,0.7333333333333333,0.9552448523857964,0.10847920437114333,-0.17014877037833398,3.775001479137504,0.07865043339227903,1.0910374144762207
