config,target,split,bin,observations,mean_probability,event_rate
btc_30d_gt_15__random_forest,btc_30d_gt_15,development_cpcv,1,27,0.22296157746222642,0.2222222222222222
btc_30d_gt_15__random_forest,btc_30d_gt_15,development_cpcv,2,26,0.28042993994990845,0.38461538461538464
btc_30d_gt_15__random_forest,btc_30d_gt_15,development_cpcv,3,26,0.32363188168342377,0.34615384615384615
btc_30d_gt_15__random_forest,btc_30d_gt_15,development_cpcv,4,26,0.3632520202589359,0.2692307692307692
btc_30d_gt_15__random_forest,btc_30d_gt_15,development_cpcv,5,26,0.3933752186681051,0.3076923076923077
btc_30d_gt_15__random_forest,btc_30d_gt_15,development_cpcv,6,26,0.41907642782640353,0.23076923076923078
btc_30d_gt_15__random_forest,btc_30d_gt_15,development_cpcv,7,26,0.44959026580708206,0.23076923076923078
btc_30d_gt_15__random_forest,btc_30d_gt_15,development_cpcv,8,26,0.4875319207310644,0.2692307692307692
btc_30d_gt_15__random_forest,btc_30d_gt_15,development_cpcv,9,26,0.5266137675775541,0.2692307692307692
btc_30d_gt_15__random_forest,btc_30d_gt_15,development_cpcv,10,26,0.5893356785201518,0.3076923076923077
btc_30d_gt_15__random_forest,btc_30d_gt_15,holdout,1,8,0.25804278231910277,0.0
btc_30d_gt_15__random_forest,btc_30d_gt_15,holdout,2,7,0.3017035837795755,0.0
btc_30d_gt_15__random_forest,btc_30d_gt_15,holdout,3,7,0.34028199329005115,0.0
btc_30d_gt_15__random_forest,btc_30d_gt_15,holdout,4,7,0.3855244654487205,0.0
btc_30d_gt_15__random_forest,btc_30d_gt_15,holdout,5,8,0.40392261287943254,0.125
btc_30d_gt_15__random_forest,btc_30d_gt_15,holdout,6,7,0.4301379856224497,0.0
btc_30d_gt_15__random_forest,btc_30d_gt_15,holdout,7,7,0.4572085016148048,0.0
btc_30d_gt_15__random_forest,btc_30d_gt_15,holdout,8,7,0.5011154456315964,0.2857142857142857
btc_30d_gt_15__random_forest,btc_30d_gt_15,holdout,9,7,0.556275365983032,0.14285714285714285
btc_30d_gt_15__random_forest,btc_30d_gt_15,holdout,10,8,0.6327747104363167,0.125
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,development_cpcv,1,27,0.29805156169757047,0.18518518518518517
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,development_cpcv,2,26,0.37205415103529454,0.23076923076923078
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,development_cpcv,3,26,0.39857165331614053,0.15384615384615385
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,development_cpcv,4,26,0.42760849736745593,0.38461538461538464
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,development_cpcv,5,26,0.4551470568710275,0.38461538461538464
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,development_cpcv,6,26,0.4884691001653451,0.3076923076923077
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,development_cpcv,7,26,0.5285153927390884,0.2692307692307692
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,development_cpcv,8,26,0.5896576330835283,0.46153846153846156
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,development_cpcv,9,26,0.6919503129329823,0.4230769230769231
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,development_cpcv,10,26,0.8703575256351075,0.46153846153846156
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,holdout,1,8,0.31574762503353804,0.125
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,holdout,2,7,0.3658627016595998,0.14285714285714285
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,holdout,3,7,0.39019899164137406,0.0
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,holdout,4,7,0.4107683047403328,0.14285714285714285
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,holdout,5,8,0.4266773660776082,0.125
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,holdout,6,7,0.44842947570138814,0.14285714285714285
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,holdout,7,7,0.47346763192042285,0.5714285714285714
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,holdout,8,7,0.50110086905879,0.2857142857142857
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,holdout,9,7,0.5233057008439718,0.2857142857142857
eth_leads_btc_30d_gt_5__elastic_net_logistic,eth_leads_btc_30d_gt_5,holdout,10,8,0.6268386233841932,0.375
