config,model,feature,importance,method
btc_30d_gt_15__logistic_regression,logistic_regression,equity_realized_vol_21d,-0.9070463939180132,coefficient
btc_30d_gt_15__logistic_regression,logistic_regression,vix_level,0.6379946315558593,coefficient
btc_30d_gt_15__logistic_regression,logistic_regression,dow_vol_level,0.5265095072433525,coefficient
btc_30d_gt_15__logistic_regression,logistic_regression,cross_sectional_dispersion,-0.33920150127952636,coefficient
btc_30d_gt_15__logistic_regression,logistic_regression,equity_momentum_21d,-0.3252538673015144,coefficient
btc_30d_gt_15__logistic_regression,logistic_regression,stablecoin_supply_change_7d,0.31957129415666613,coefficient
btc_30d_gt_15__logistic_regression,logistic_regression,volatility_expansion_probability,0.25139955467389835,coefficient
btc_30d_gt_15__logistic_regression,logistic_regression,vix_change_5d,-0.23037152835244293,coefficient
btc_30d_gt_15__logistic_regression,logistic_regression,vix_change_21d,-0.15346241081989484,coefficient
btc_30d_gt_15__logistic_regression,logistic_regression,volatility_4h_7d,0.08527504469271502,coefficient
btc_30d_gt_15__logistic_regression,logistic_regression,tvl_growth_30d,-0.016788474400903124,coefficient
btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,equity_realized_vol_21d,-0.7238239752464305,coefficient
btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,vix_level,0.5018745883652929,coefficient
btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,dow_vol_level,0.4954181017346376,coefficient
btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,stablecoin_supply_change_7d,0.30278770590111576,coefficient
btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,cross_sectional_dispersion,-0.279189996606161,coefficient
btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,equity_momentum_21d,-0.2289021008339815,coefficient
btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,volatility_expansion_probability,0.20874972662540592,coefficient
btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,vix_change_5d,-0.18332924789369826,coefficient
btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,vix_change_21d,-0.05165074183360389,coefficient
btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,volatility_4h_7d,0.018648878451157244,coefficient
btc_30d_gt_15__elastic_net_logistic,elastic_net_logistic,tvl_growth_30d,0.0,coefficient
btc_30d_gt_15__random_forest,random_forest,tvl_growth_30d,0.1279053020717331,model_importance
btc_30d_gt_15__random_forest,random_forest,dow_vol_level,0.12584063075264038,model_importance
btc_30d_gt_15__random_forest,random_forest,vix_level,0.12390927546340891,model_importance
btc_30d_gt_15__random_forest,random_forest,cross_sectional_dispersion,0.105890720511819,model_importance
btc_30d_gt_15__random_forest,random_forest,volatility_expansion_probability,0.09331214339411334,model_importance
btc_30d_gt_15__random_forest,random_forest,vix_change_21d,0.09097640420257182,model_importance
btc_30d_gt_15__random_forest,random_forest,volatility_4h_7d,0.08888648384705741,model_importance
btc_30d_gt_15__random_forest,random_forest,stablecoin_supply_change_7d,0.06936764106948685,model_importance
btc_30d_gt_15__random_forest,random_forest,equity_realized_vol_21d,0.0648911101033547,model_importance
btc_30d_gt_15__random_forest,random_forest,equity_momentum_21d,0.0629254946707468,model_importance
btc_30d_gt_15__random_forest,random_forest,vix_change_5d,0.04609479391306762,model_importance
btc_30d_gt_15__gradient_boosting,gradient_boosting,tvl_growth_30d,0.1640742422011808,model_importance
btc_30d_gt_15__gradient_boosting,gradient_boosting,vix_level,0.1418783014323352,model_importance
btc_30d_gt_15__gradient_boosting,gradient_boosting,volatility_4h_7d,0.12848927749491598,model_importance
btc_30d_gt_15__gradient_boosting,gradient_boosting,equity_realized_vol_21d,0.11944664566047858,model_importance
btc_30d_gt_15__gradient_boosting,gradient_boosting,cross_sectional_dispersion,0.10650651738703691,model_importance
btc_30d_gt_15__gradient_boosting,gradient_boosting,dow_vol_level,0.07325666654904756,model_importance
btc_30d_gt_15__gradient_boosting,gradient_boosting,volatility_expansion_probability,0.0711098850777103,model_importance
btc_30d_gt_15__gradient_boosting,gradient_boosting,equity_momentum_21d,0.06926484831227815,model_importance
btc_30d_gt_15__gradient_boosting,gradient_boosting,vix_change_21d,0.06843041623969637,model_importance
btc_30d_gt_15__gradient_boosting,gradient_boosting,stablecoin_supply_change_7d,0.030708455470286753,model_importance
btc_30d_gt_15__gradient_boosting,gradient_boosting,vix_change_5d,0.026834744175033457,model_importance
btc_30d_gt_15__xgboost,xgboost,dow_vol_level,0.11057308316230774,model_importance
btc_30d_gt_15__xgboost,xgboost,vix_level,0.0983249619603157,model_importance
btc_30d_gt_15__xgboost,xgboost,tvl_growth_30d,0.09694827347993851,model_importance
btc_30d_gt_15__xgboost,xgboost,volatility_4h_7d,0.09607988595962524,model_importance
btc_30d_gt_15__xgboost,xgboost,cross_sectional_dispersion,0.09264043718576431,model_importance
btc_30d_gt_15__xgboost,xgboost,volatility_expansion_probability,0.08943971246480942,model_importance
btc_30d_gt_15__xgboost,xgboost,equity_realized_vol_21d,0.08786524832248688,model_importance
btc_30d_gt_15__xgboost,xgboost,vix_change_21d,0.08749394118785858,model_importance
btc_30d_gt_15__xgboost,xgboost,vix_change_5d,0.08450350910425186,model_importance
btc_30d_gt_15__xgboost,xgboost,stablecoin_supply_change_7d,0.08270138502120972,model_importance
btc_30d_gt_15__xgboost,xgboost,equity_momentum_21d,0.07342959195375443,model_importance
eth_30d_gt_20__logistic_regression,logistic_regression,dow_vol_level,0.5630422663917126,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,equity_realized_vol_21d,-0.4774432190293566,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,cross_sectional_dispersion,-0.4200399134959631,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,volatility_4h_7d,0.35337998145431226,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,vix_change_5d,-0.26422799275658565,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,equity_momentum_21d,-0.255456027702116,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,stablecoin_supply_change_7d,0.17559247441692336,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,vix_change_21d,-0.11962996568708138,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,vix_level,0.07666910521383366,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,tvl_growth_30d,0.04949149828624312,coefficient
eth_30d_gt_20__logistic_regression,logistic_regression,volatility_expansion_probability,0.039340079110994255,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,dow_vol_level,0.5171637176132348,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,cross_sectional_dispersion,-0.35934388101188736,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,equity_realized_vol_21d,-0.3279032713432957,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,volatility_4h_7d,0.2853560578337572,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,vix_change_5d,-0.22563093087120006,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,stablecoin_supply_change_7d,0.16835349055864934,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,equity_momentum_21d,-0.14560678031087235,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,tvl_growth_30d,0.04202955357806877,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,vix_change_21d,-0.01098696329370119,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,volatility_expansion_probability,0.003130699412322745,coefficient
eth_30d_gt_20__elastic_net_logistic,elastic_net_logistic,vix_level,0.0,coefficient
eth_30d_gt_20__random_forest,random_forest,volatility_expansion_probability,0.14101559682491202,model_importance
eth_30d_gt_20__random_forest,random_forest,dow_vol_level,0.12177481410040186,model_importance
eth_30d_gt_20__random_forest,random_forest,vix_level,0.10551926814381937,model_importance
eth_30d_gt_20__random_forest,random_forest,volatility_4h_7d,0.10206268451070301,model_importance
eth_30d_gt_20__random_forest,random_forest,stablecoin_supply_change_7d,0.09667120114482194,model_importance
eth_30d_gt_20__random_forest,random_forest,vix_change_5d,0.09522003533460303,model_importance
eth_30d_gt_20__random_forest,random_forest,equity_realized_vol_21d,0.07971735716868186,model_importance
eth_30d_gt_20__random_forest,random_forest,vix_change_21d,0.07140327137730901,model_importance
eth_30d_gt_20__random_forest,random_forest,cross_sectional_dispersion,0.06883667405758313,model_importance
eth_30d_gt_20__random_forest,random_forest,tvl_growth_30d,0.0603930215214902,model_importance
eth_30d_gt_20__random_forest,random_forest,equity_momentum_21d,0.05738607581567467,model_importance
