candidate,overlay_type,fold,test_groups,fold_sharpe
expansion_sizing_t40_7d,expansion_probability_sizing,0,"0,1",1.587949770147983
expansion_sizing_t40_7d,expansion_probability_sizing,1,"0,2",-0.11841796174428604
expansion_sizing_t40_7d,expansion_probability_sizing,2,"0,3",1.220567625977597
expansion_sizing_t40_7d,expansion_probability_sizing,3,"0,4",1.0161061968843454
expansion_sizing_t40_7d,expansion_probability_sizing,4,"0,5",0.9324808333275744
expansion_sizing_t40_7d,expansion_probability_sizing,5,"1,2",0.19176071934932415
expansion_sizing_t40_7d,expansion_probability_sizing,6,"1,3",1.5159862937664506
expansion_sizing_t40_7d,expansion_probability_sizing,7,"1,4",1.4042689932752954
expansion_sizing_t40_7d,expansion_probability_sizing,8,"1,5",1.3108700607830712
expansion_sizing_t40_7d,expansion_probability_sizing,9,"2,3",-0.2509862886589549
expansion_sizing_t40_7d,expansion_probability_sizing,10,"2,4",-1.0948374833252856
expansion_sizing_t40_7d,expansion_probability_sizing,11,"2,5",-1.1158852624089566
expansion_sizing_t40_7d,expansion_probability_sizing,12,"3,4",0.9092033186241086
expansion_sizing_t40_7d,expansion_probability_sizing,13,"3,5",0.822172021959509
expansion_sizing_t40_7d,expansion_probability_sizing,14,"4,5",0.48058022358496416
expansion_filter_t40_7d,expansion_threshold_filter,0,"0,1",0.30242336823218213
expansion_filter_t40_7d,expansion_threshold_filter,1,"0,2",-0.1715354220729058
expansion_filter_t40_7d,expansion_threshold_filter,2,"0,3",0.5274973979077817
expansion_filter_t40_7d,expansion_threshold_filter,3,"0,4",0.2549907069015303
expansion_filter_t40_7d,expansion_threshold_filter,4,"0,5",0.13687224281208094
expansion_filter_t40_7d,expansion_threshold_filter,5,"1,2",-0.3649773844168893
expansion_filter_t40_7d,expansion_threshold_filter,6,"1,3",0.6351005865529357
expansion_filter_t40_7d,expansion_threshold_filter,7,"1,4",0.4143098164120636
expansion_filter_t40_7d,expansion_threshold_filter,8,"1,5",0.1479569298327198
expansion_filter_t40_7d,expansion_threshold_filter,9,"2,3",0.11009764312017084
expansion_filter_t40_7d,expansion_threshold_filter,10,"2,4",-0.5816324599401146
expansion_filter_t40_7d,expansion_threshold_filter,11,"2,5",-0.7572531649785373
expansion_filter_t40_7d,expansion_threshold_filter,12,"3,4",0.6208963945133231
expansion_filter_t40_7d,expansion_threshold_filter,13,"3,5",0.48778336222984586
expansion_filter_t40_7d,expansion_threshold_filter,14,"4,5",-0.022791927920573052
