name,family,benchmark_group,split,cost_bps,selected_development_candidate,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,expansion_threshold,leadership_threshold,rebalance_days
expansion_sizing_t40_7d,Macro gate plus expansion probability sizing.,expansion_probability_sizing,development,10,False,0.2146471270520165,0.6468262059582236,0.6176655360521167,0.28575365117804635,0.5260251285362857,-0.75116145031608,0.3399014778325123,0.030103995621237,0.5268199233716475,0.05500000000000001,0.4731800766283525,10.987958401751504,-0.4209279355517853,0.4637745727822431,1.2873563218390804,0.4,0.4,7
expansion_sizing_t40_7d,Macro gate plus expansion probability sizing.,expansion_probability_sizing,holdout,10,False,0.27471796156163375,0.9986879604601505,1.227886909505608,1.4022074474411435,0.2818840202712875,-0.19591820173467223,0.23048327137546468,0.031598513011152414,0.3187732342007435,0.017,0.6812267657992566,11.533457249070633,-0.07544016561272882,0.246415793598165,0.8847583643122676,0.4,0.4,7
expansion_sizing_t40_7d,Macro gate plus expansion probability sizing.,expansion_probability_sizing,development,25,False,0.19481047590815193,0.615523217329603,0.5889323839990535,0.2571275568538009,0.5259994934582851,-0.7576413757118938,0.33880678708264916,0.030103995621237,0.5268199233716475,0.1375,0.4731800766283525,10.987958401751504,-0.4213540234092905,0.4632441187512819,1.2873563218390804,0.4,0.4,7
expansion_sizing_t40_7d,Macro gate plus expansion probability sizing.,expansion_probability_sizing,holdout,25,False,0.2528276115219432,0.9369686823005681,1.1563003847466053,1.2631844714493645,0.2819880711153559,-0.20015098129875797,0.23048327137546468,0.031598513011152414,0.3187732342007435,0.0425,0.6812267657992566,11.533457249070633,-0.07823750178835176,0.2445206579453003,0.8847583643122676,0.4,0.4,7
expansion_sizing_t40_7d,Macro gate plus expansion probability sizing.,expansion_probability_sizing,development,50,False,0.1624306990312281,0.5632850756833965,0.5402018920720859,0.21147651959384195,0.5260125242326567,-0.7680791198152381,0.33825944170771755,0.030103995621237,0.5268199233716475,0.275,0.4731800766283525,10.987958401751504,-0.4220638213823893,0.46236002869967874,1.2873563218390804,0.4,0.4,7
expansion_sizing_t40_7d,Macro gate plus expansion probability sizing.,expansion_probability_sizing,holdout,50,False,0.21713331147081094,0.8338589715518681,1.0335150931245367,1.0481218589503443,0.2822783663965365,-0.20716418574483508,0.22676579925650558,0.031598513011152414,0.3187732342007435,0.085,0.6812267657992566,11.533457249070633,-0.08288620878603448,0.24136530232033437,0.8847583643122676,0.4,0.4,7
expansion_sizing_t40_7d,Macro gate plus expansion probability sizing.,expansion_probability_sizing,development,100,False,0.10015169906275423,0.4586343097160172,0.44199040883473484,0.12685582406869556,0.5262476168943708,-0.789492321681026,0.3366174055829228,0.030103995621237,0.5268199233716475,0.55,0.4731800766283525,10.987958401751504,-0.4234821106183029,0.46059184859647306,1.2873563218390804,0.4,0.4,7
expansion_sizing_t40_7d,Macro gate plus expansion probability sizing.,expansion_probability_sizing,holdout,100,False,0.14861542353175983,0.6273066792917145,0.7840694181587856,0.672357391605164,0.2832953448703244,-0.22103634969634267,0.22676579925650558,0.031598513011152414,0.3187732342007435,0.17,0.6812267657992566,11.533457249070633,-0.09213306274782218,0.23506660530718304,0.8847583643122676,0.4,0.4,7
expansion_filter_t40_7d,Macro gate plus expansion threshold filter.,expansion_threshold_filter,development,10,False,0.002994600425336502,0.21917892594644706,0.16634371203867102,0.0052434858325585715,0.38471309991889924,-0.5711087091609971,0.2731253420908593,0.02654625068418172,0.32471264367816094,0.0485,0.6752873563218391,9.689381499726327,-0.38062021751761155,0.364449648879128,1.0421455938697317,0.4,0.4,7
expansion_filter_t40_7d,Macro gate plus expansion threshold filter.,expansion_threshold_filter,holdout,10,False,0.34241639953142844,1.6007244466123547,2.1852088382715107,4.8679370882531705,0.19542844147689353,-0.07034117190168998,0.15427509293680297,0.020446096654275093,0.16589219330855018,0.011000000000000001,0.8341078066914498,7.462825278810409,-0.03909226933262355,0.23744072364745716,0.5724907063197026,0.4,0.4,7
