target,description,split,observations,positive_events,prevalence
btc_30d_gt_15,BTC 30-day forward return > +15%,development,261,74,0.2835249042145594
btc_30d_gt_15,BTC 30-day forward return > +15%,holdout,73,5,0.0684931506849315
eth_30d_gt_20,ETH 30-day forward return > +20%,development,261,73,0.2796934865900383
eth_30d_gt_20,ETH 30-day forward return > +20%,holdout,73,11,0.1506849315068493
btc_eth_50_50_30d_gt_15,50/50 BTC/ETH 30-day forward return > +15%,development,261,82,0.31417624521072796
btc_eth_50_50_30d_gt_15,50/50 BTC/ETH 30-day forward return > +15%,holdout,73,10,0.136986301369863
top10_30d_gt_20,Top-10 crypto basket 30-day forward return > +20%,development,261,68,0.26053639846743293
top10_30d_gt_20,Top-10 crypto basket 30-day forward return > +20%,holdout,73,5,0.0684931506849315
eth_leads_btc_30d_gt_5,ETH outperforms BTC over the next 30 days by at least +5%,development,261,85,0.32567049808429116
eth_leads_btc_30d_gt_5,ETH outperforms BTC over the next 30 days by at least +5%,holdout,73,16,0.2191780821917808
