config,target,split,bin,observations,mean_probability,event_rate
target_a_btc_eth_upside__logistic_regression,target_a_btc_eth_upside,development_cpcv,1,29,0.11124186921106713,0.13793103448275862
target_a_btc_eth_upside__logistic_regression,target_a_btc_eth_upside,development_cpcv,2,29,0.18475068488383475,0.27586206896551724
target_a_btc_eth_upside__logistic_regression,target_a_btc_eth_upside,development_cpcv,3,28,0.24585046049203862,0.17857142857142858
target_a_btc_eth_upside__logistic_regression,target_a_btc_eth_upside,development_cpcv,4,29,0.3008536538973744,0.27586206896551724
target_a_btc_eth_upside__logistic_regression,target_a_btc_eth_upside,development_cpcv,5,29,0.3574569620155275,0.3448275862068966
target_a_btc_eth_upside__logistic_regression,target_a_btc_eth_upside,development_cpcv,6,28,0.4344160980528073,0.32142857142857145
target_a_btc_eth_upside__logistic_regression,target_a_btc_eth_upside,development_cpcv,7,29,0.517924623611584,0.3448275862068966
target_a_btc_eth_upside__logistic_regression,target_a_btc_eth_upside,development_cpcv,8,28,0.5966964949907324,0.39285714285714285
target_a_btc_eth_upside__logistic_regression,target_a_btc_eth_upside,development_cpcv,9,29,0.7186506436134588,0.3448275862068966
target_a_btc_eth_upside__logistic_regression,target_a_btc_eth_upside,development_cpcv,10,29,0.8704556715582328,0.3103448275862069
target_a_btc_eth_upside__logistic_regression,target_a_btc_eth_upside,holdout,1,8,0.16916546933458584,0.0
target_a_btc_eth_upside__logistic_regression,target_a_btc_eth_upside,holdout,2,7,0.2532459131021713,0.0
target_a_btc_eth_upside__logistic_regression,target_a_btc_eth_upside,holdout,3,7,0.3250352222345483,0.14285714285714285
target_a_btc_eth_upside__logistic_regression,target_a_btc_eth_upside,holdout,4,7,0.3573756373308244,0.42857142857142855
target_a_btc_eth_upside__logistic_regression,target_a_btc_eth_upside,holdout,5,8,0.41066299261501205,0.0
target_a_btc_eth_upside__logistic_regression,target_a_btc_eth_upside,holdout,6,7,0.4654936887530608,0.0
target_a_btc_eth_upside__logistic_regression,target_a_btc_eth_upside,holdout,7,7,0.5422687949933686,0.14285714285714285
target_a_btc_eth_upside__logistic_regression,target_a_btc_eth_upside,holdout,8,7,0.6304179758300857,0.14285714285714285
target_a_btc_eth_upside__logistic_regression,target_a_btc_eth_upside,holdout,9,7,0.6738636009845819,0.0
target_a_btc_eth_upside__logistic_regression,target_a_btc_eth_upside,holdout,10,8,0.7808962014946317,0.5
target_a_btc_eth_upside__elastic_net_logistic,target_a_btc_eth_upside,development_cpcv,1,29,0.1384378603391566,0.10344827586206896
target_a_btc_eth_upside__elastic_net_logistic,target_a_btc_eth_upside,development_cpcv,2,29,0.22356334724904672,0.27586206896551724
target_a_btc_eth_upside__elastic_net_logistic,target_a_btc_eth_upside,development_cpcv,3,28,0.27837799066204144,0.2857142857142857
target_a_btc_eth_upside__elastic_net_logistic,target_a_btc_eth_upside,development_cpcv,4,29,0.3294660843506913,0.20689655172413793
target_a_btc_eth_upside__elastic_net_logistic,target_a_btc_eth_upside,development_cpcv,5,29,0.38344566916684397,0.3793103448275862
target_a_btc_eth_upside__elastic_net_logistic,target_a_btc_eth_upside,development_cpcv,6,28,0.456757085903803,0.25
target_a_btc_eth_upside__elastic_net_logistic,target_a_btc_eth_upside,development_cpcv,7,29,0.5198072216069475,0.3448275862068966
target_a_btc_eth_upside__elastic_net_logistic,target_a_btc_eth_upside,development_cpcv,8,28,0.5894059644318281,0.42857142857142855
target_a_btc_eth_upside__elastic_net_logistic,target_a_btc_eth_upside,development_cpcv,9,29,0.6991797611548395,0.3103448275862069
target_a_btc_eth_upside__elastic_net_logistic,target_a_btc_eth_upside,development_cpcv,10,29,0.8437856709593532,0.3448275862068966
target_a_btc_eth_upside__elastic_net_logistic,target_a_btc_eth_upside,holdout,1,8,0.2037276844920522,0.0
target_a_btc_eth_upside__elastic_net_logistic,target_a_btc_eth_upside,holdout,2,7,0.2897189203060864,0.14285714285714285
target_a_btc_eth_upside__elastic_net_logistic,target_a_btc_eth_upside,holdout,3,7,0.35345019366976593,0.0
target_a_btc_eth_upside__elastic_net_logistic,target_a_btc_eth_upside,holdout,4,7,0.38076482509216864,0.2857142857142857
target_a_btc_eth_upside__elastic_net_logistic,target_a_btc_eth_upside,holdout,5,8,0.4287445996433009,0.125
target_a_btc_eth_upside__elastic_net_logistic,target_a_btc_eth_upside,holdout,6,7,0.4865197651623898,0.0
target_a_btc_eth_upside__elastic_net_logistic,target_a_btc_eth_upside,holdout,7,7,0.5427671014751548,0.14285714285714285
target_a_btc_eth_upside__elastic_net_logistic,target_a_btc_eth_upside,holdout,8,7,0.6209029704999135,0.14285714285714285
target_a_btc_eth_upside__elastic_net_logistic,target_a_btc_eth_upside,holdout,9,7,0.6646353306063738,0.0
target_a_btc_eth_upside__elastic_net_logistic,target_a_btc_eth_upside,holdout,10,8,0.7646513700305907,0.5
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,development_cpcv,1,29,0.29949042172236207,0.1724137931034483
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,development_cpcv,2,29,0.3572693083650561,0.27586206896551724
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,development_cpcv,3,28,0.3940996539768364,0.35714285714285715
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,development_cpcv,4,29,0.4221001635817909,0.20689655172413793
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,development_cpcv,5,29,0.44583454122661864,0.2413793103448276
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,development_cpcv,6,28,0.4653595872653416,0.2857142857142857
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,development_cpcv,7,29,0.49152443910069954,0.27586206896551724
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,development_cpcv,8,28,0.5169286141272755,0.39285714285714285
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,development_cpcv,9,29,0.5493664813987721,0.5172413793103449
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,development_cpcv,10,29,0.6034453523635503,0.20689655172413793
target_a_btc_eth_upside__random_forest,target_a_btc_eth_upside,holdout,1,8,0.35067910374644945,0.0
