config,model,feature,importance,method,target
target_a_btc_eth_upside__logistic_regression,logistic_regression,eth_btc_relative_strength_30d,-0.7860405874450952,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__logistic_regression,logistic_regression,top20_above_30dma_pct,0.6392360472385188,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__logistic_regression,logistic_regression,volume_confirmation_of_price_trend,-0.49539950953500334,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__logistic_regression,logistic_regression,risk_appetite_recovery_score,-0.47391974348102917,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__logistic_regression,logistic_regression,tvl_percentile,0.4368441837950706,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__logistic_regression,logistic_regression,eth_btc_relative_strength_14d,0.3806489809559506,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__logistic_regression,logistic_regression,volatility_of_volatility,0.379205129400927,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__logistic_regression,logistic_regression,downside_to_upside_volatility_ratio,-0.3350098782146272,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__logistic_regression,logistic_regression,top20_30d_high_pct,-0.33232211151375535,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__logistic_regression,logistic_regression,dispersion_acceleration,-0.26253870291326703,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__logistic_regression,logistic_regression,distance_from_90d_lows,-0.24888991763083312,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__logistic_regression,logistic_regression,market_dollar_volume_growth_30d,0.1783598051026155,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__logistic_regression,logistic_regression,stablecoin_supply_acceleration,-0.1319994996085183,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__logistic_regression,logistic_regression,recovery_from_drawdown,0.10235649312348134,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__logistic_regression,logistic_regression,combined_crypto_liquidity_impulse,0.07044799415647357,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__logistic_regression,logistic_regression,stablecoin_supply_percentile,-0.06567136287516478,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__logistic_regression,logistic_regression,tvl_acceleration,0.05397340722862462,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__logistic_regression,logistic_regression,falling_vix_after_high_vix,-0.03715062848979848,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__logistic_regression,logistic_regression,upside_semivariance,-0.03308743795076255,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__logistic_regression,logistic_regression,jump_intensity,0.027610899251874387,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__elastic_net_logistic,elastic_net_logistic,eth_btc_relative_strength_30d,-0.6960319822486596,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__elastic_net_logistic,elastic_net_logistic,top20_above_30dma_pct,0.5259198768635374,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__elastic_net_logistic,elastic_net_logistic,risk_appetite_recovery_score,-0.43457846412349843,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__elastic_net_logistic,elastic_net_logistic,tvl_percentile,0.35094349918820866,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__elastic_net_logistic,elastic_net_logistic,volume_confirmation_of_price_trend,-0.3439913594072515,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__elastic_net_logistic,elastic_net_logistic,volatility_of_volatility,0.3365091291753763,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__elastic_net_logistic,elastic_net_logistic,eth_btc_relative_strength_14d,0.3092062247173538,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__elastic_net_logistic,elastic_net_logistic,top20_30d_high_pct,-0.28052568336015904,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__elastic_net_logistic,elastic_net_logistic,downside_to_upside_volatility_ratio,-0.27621910982384645,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__elastic_net_logistic,elastic_net_logistic,dispersion_acceleration,-0.2180594774491048,coefficient,target_a_btc_eth_upside
target_a_btc_eth_upside__elastic_net_logistic,elastic_net_logistic,distance_from_90d_lows,-0.19182362151070492,coefficient,target_a_btc_eth_upside
