candidate,allocation_type,fold,test_groups,fold_sharpe
balanced_logistic_regression_m0_5,balanced_btc_eth,0,"0,1",1.9465674097190093
balanced_logistic_regression_m0_5,balanced_btc_eth,1,"0,2",0.36819610099082367
balanced_logistic_regression_m0_5,balanced_btc_eth,2,"0,3",-0.11508028214246899
balanced_logistic_regression_m0_5,balanced_btc_eth,3,"0,4",0.7257885748214569
balanced_logistic_regression_m0_5,balanced_btc_eth,4,"0,5",0.6771952746882404
balanced_logistic_regression_m0_5,balanced_btc_eth,5,"1,2",1.6390379163918674
balanced_logistic_regression_m0_5,balanced_btc_eth,6,"1,3",1.0914294756951615
balanced_logistic_regression_m0_5,balanced_btc_eth,7,"1,4",1.9938473615754375
balanced_logistic_regression_m0_5,balanced_btc_eth,8,"1,5",1.989525900144076
balanced_logistic_regression_m0_5,balanced_btc_eth,9,"2,3",-0.49226739256043267
balanced_logistic_regression_m0_5,balanced_btc_eth,10,"2,4",0.2615223798977077
balanced_logistic_regression_m0_5,balanced_btc_eth,11,"2,5",0.18003877708551552
balanced_logistic_regression_m0_5,balanced_btc_eth,12,"3,4",-0.2613043049989912
balanced_logistic_regression_m0_5,balanced_btc_eth,13,"3,5",-0.35003532126871334
balanced_logistic_regression_m0_5,balanced_btc_eth,14,"4,5",0.6388077679056371
dynamic_tilt_logistic_regression_m0_5,dynamic_btc_eth_tilt,0,"0,1",2.013907290901835
dynamic_tilt_logistic_regression_m0_5,dynamic_btc_eth_tilt,1,"0,2",0.4695086533561562
dynamic_tilt_logistic_regression_m0_5,dynamic_btc_eth_tilt,2,"0,3",-0.04837246656089626
dynamic_tilt_logistic_regression_m0_5,dynamic_btc_eth_tilt,3,"0,4",0.833429150439846
dynamic_tilt_logistic_regression_m0_5,dynamic_btc_eth_tilt,4,"0,5",0.7718985863951456
dynamic_tilt_logistic_regression_m0_5,dynamic_btc_eth_tilt,5,"1,2",1.6428877429246898
dynamic_tilt_logistic_regression_m0_5,dynamic_btc_eth_tilt,6,"1,3",1.113091247973307
dynamic_tilt_logistic_regression_m0_5,dynamic_btc_eth_tilt,7,"1,4",1.9872888467103051
dynamic_tilt_logistic_regression_m0_5,dynamic_btc_eth_tilt,8,"1,5",1.9653309568803994
dynamic_tilt_logistic_regression_m0_5,dynamic_btc_eth_tilt,9,"2,3",-0.5170077748460439
dynamic_tilt_logistic_regression_m0_5,dynamic_btc_eth_tilt,10,"2,4",0.2743800463009669
dynamic_tilt_logistic_regression_m0_5,dynamic_btc_eth_tilt,11,"2,5",0.17478047099913704
dynamic_tilt_logistic_regression_m0_5,dynamic_btc_eth_tilt,12,"3,4",-0.282215007744456
dynamic_tilt_logistic_regression_m0_5,dynamic_btc_eth_tilt,13,"3,5",-0.39065123745202346
dynamic_tilt_logistic_regression_m0_5,dynamic_btc_eth_tilt,14,"4,5",0.6265774999799394
balanced_logistic_regression_m1_0,balanced_btc_eth,0,"0,1",1.6737323305959033
balanced_logistic_regression_m1_0,balanced_btc_eth,1,"0,2",0.22898245722640045
balanced_logistic_regression_m1_0,balanced_btc_eth,2,"0,3",-0.2878441406534174
balanced_logistic_regression_m1_0,balanced_btc_eth,3,"0,4",0.5163029588019304
balanced_logistic_regression_m1_0,balanced_btc_eth,4,"0,5",0.44435759018957127
balanced_logistic_regression_m1_0,balanced_btc_eth,5,"1,2",1.8188626838279518
balanced_logistic_regression_m1_0,balanced_btc_eth,6,"1,3",1.1069923995402036
balanced_logistic_regression_m1_0,balanced_btc_eth,7,"1,4",2.2387786956936866
balanced_logistic_regression_m1_0,balanced_btc_eth,8,"1,5",2.2096141650461774
balanced_logistic_regression_m1_0,balanced_btc_eth,9,"2,3",-0.6480037344780499
balanced_logistic_regression_m1_0,balanced_btc_eth,10,"2,4",0.4085635886848677
balanced_logistic_regression_m1_0,balanced_btc_eth,11,"2,5",0.3000218569114242
balanced_logistic_regression_m1_0,balanced_btc_eth,12,"3,4",-0.37706120309939867
balanced_logistic_regression_m1_0,balanced_btc_eth,13,"3,5",-0.4971702438094704
balanced_logistic_regression_m1_0,balanced_btc_eth,14,"4,5",0.9216622109920862
dynamic_tilt_logistic_regression_m1_0,dynamic_btc_eth_tilt,0,"0,1",1.7640463160869533
dynamic_tilt_logistic_regression_m1_0,dynamic_btc_eth_tilt,1,"0,2",0.3439701997180008
dynamic_tilt_logistic_regression_m1_0,dynamic_btc_eth_tilt,2,"0,3",-0.19109674793836362
dynamic_tilt_logistic_regression_m1_0,dynamic_btc_eth_tilt,3,"0,4",0.6436005440332782
dynamic_tilt_logistic_regression_m1_0,dynamic_btc_eth_tilt,4,"0,5",0.5586953843018184
dynamic_tilt_logistic_regression_m1_0,dynamic_btc_eth_tilt,5,"1,2",1.8009186281390472
dynamic_tilt_logistic_regression_m1_0,dynamic_btc_eth_tilt,6,"1,3",1.1353421905467533
dynamic_tilt_logistic_regression_m1_0,dynamic_btc_eth_tilt,7,"1,4",2.203802763995949
dynamic_tilt_logistic_regression_m1_0,dynamic_btc_eth_tilt,8,"1,5",2.156841931836976
dynamic_tilt_logistic_regression_m1_0,dynamic_btc_eth_tilt,9,"2,3",-0.6606140138966771
dynamic_tilt_logistic_regression_m1_0,dynamic_btc_eth_tilt,10,"2,4",0.42896890791783476
dynamic_tilt_logistic_regression_m1_0,dynamic_btc_eth_tilt,11,"2,5",0.29654352364872466
dynamic_tilt_logistic_regression_m1_0,dynamic_btc_eth_tilt,12,"3,4",-0.37659620009650474
dynamic_tilt_logistic_regression_m1_0,dynamic_btc_eth_tilt,13,"3,5",-0.5247643775304063
dynamic_tilt_logistic_regression_m1_0,dynamic_btc_eth_tilt,14,"4,5",0.9222228467088366
balanced_logistic_regression_m1_5,balanced_btc_eth,0,"0,1",1.6737323305959033
balanced_logistic_regression_m1_5,balanced_btc_eth,1,"0,2",0.22898245722640045
balanced_logistic_regression_m1_5,balanced_btc_eth,2,"0,3",-0.2878441406534174
balanced_logistic_regression_m1_5,balanced_btc_eth,3,"0,4",0.5163029588019304
balanced_logistic_regression_m1_5,balanced_btc_eth,4,"0,5",0.44435759018957127
balanced_logistic_regression_m1_5,balanced_btc_eth,5,"1,2",1.8188626838279518
balanced_logistic_regression_m1_5,balanced_btc_eth,6,"1,3",1.1069923995402036
balanced_logistic_regression_m1_5,balanced_btc_eth,7,"1,4",2.2387786956936866
balanced_logistic_regression_m1_5,balanced_btc_eth,8,"1,5",2.2096141650461774
balanced_logistic_regression_m1_5,balanced_btc_eth,9,"2,3",-0.6480037344780499
balanced_logistic_regression_m1_5,balanced_btc_eth,10,"2,4",0.4085635886848677
balanced_logistic_regression_m1_5,balanced_btc_eth,11,"2,5",0.3000218569114242
balanced_logistic_regression_m1_5,balanced_btc_eth,12,"3,4",-0.37706120309939867
balanced_logistic_regression_m1_5,balanced_btc_eth,13,"3,5",-0.4971702438094704
balanced_logistic_regression_m1_5,balanced_btc_eth,14,"4,5",0.9216622109920862
dynamic_tilt_logistic_regression_m1_5,dynamic_btc_eth_tilt,0,"0,1",1.7640463160869533
dynamic_tilt_logistic_regression_m1_5,dynamic_btc_eth_tilt,1,"0,2",0.3439701997180008
dynamic_tilt_logistic_regression_m1_5,dynamic_btc_eth_tilt,2,"0,3",-0.19109674793836362
dynamic_tilt_logistic_regression_m1_5,dynamic_btc_eth_tilt,3,"0,4",0.6436005440332782
dynamic_tilt_logistic_regression_m1_5,dynamic_btc_eth_tilt,4,"0,5",0.5586953843018184
dynamic_tilt_logistic_regression_m1_5,dynamic_btc_eth_tilt,5,"1,2",1.8009186281390472
dynamic_tilt_logistic_regression_m1_5,dynamic_btc_eth_tilt,6,"1,3",1.1353421905467533
dynamic_tilt_logistic_regression_m1_5,dynamic_btc_eth_tilt,7,"1,4",2.203802763995949
dynamic_tilt_logistic_regression_m1_5,dynamic_btc_eth_tilt,8,"1,5",2.156841931836976
dynamic_tilt_logistic_regression_m1_5,dynamic_btc_eth_tilt,9,"2,3",-0.6606140138966771
dynamic_tilt_logistic_regression_m1_5,dynamic_btc_eth_tilt,10,"2,4",0.42896890791783476
dynamic_tilt_logistic_regression_m1_5,dynamic_btc_eth_tilt,11,"2,5",0.29654352364872466
dynamic_tilt_logistic_regression_m1_5,dynamic_btc_eth_tilt,12,"3,4",-0.37659620009650474
dynamic_tilt_logistic_regression_m1_5,dynamic_btc_eth_tilt,13,"3,5",-0.5247643775304063
dynamic_tilt_logistic_regression_m1_5,dynamic_btc_eth_tilt,14,"4,5",0.9222228467088366
balanced_logistic_regression_m2_0,balanced_btc_eth,0,"0,1",1.6737323305959033
balanced_logistic_regression_m2_0,balanced_btc_eth,1,"0,2",0.22898245722640045
balanced_logistic_regression_m2_0,balanced_btc_eth,2,"0,3",-0.2878441406534174
balanced_logistic_regression_m2_0,balanced_btc_eth,3,"0,4",0.5163029588019304
balanced_logistic_regression_m2_0,balanced_btc_eth,4,"0,5",0.44435759018957127
balanced_logistic_regression_m2_0,balanced_btc_eth,5,"1,2",1.8188626838279518
balanced_logistic_regression_m2_0,balanced_btc_eth,6,"1,3",1.1069923995402036
balanced_logistic_regression_m2_0,balanced_btc_eth,7,"1,4",2.2387786956936866
balanced_logistic_regression_m2_0,balanced_btc_eth,8,"1,5",2.2096141650461774
balanced_logistic_regression_m2_0,balanced_btc_eth,9,"2,3",-0.6480037344780499
balanced_logistic_regression_m2_0,balanced_btc_eth,10,"2,4",0.4085635886848677
balanced_logistic_regression_m2_0,balanced_btc_eth,11,"2,5",0.3000218569114242
balanced_logistic_regression_m2_0,balanced_btc_eth,12,"3,4",-0.37706120309939867
balanced_logistic_regression_m2_0,balanced_btc_eth,13,"3,5",-0.4971702438094704
balanced_logistic_regression_m2_0,balanced_btc_eth,14,"4,5",0.9216622109920862
dynamic_tilt_logistic_regression_m2_0,dynamic_btc_eth_tilt,0,"0,1",1.7640463160869533
dynamic_tilt_logistic_regression_m2_0,dynamic_btc_eth_tilt,1,"0,2",0.3439701997180008
dynamic_tilt_logistic_regression_m2_0,dynamic_btc_eth_tilt,2,"0,3",-0.19109674793836362
dynamic_tilt_logistic_regression_m2_0,dynamic_btc_eth_tilt,3,"0,4",0.6436005440332782
dynamic_tilt_logistic_regression_m2_0,dynamic_btc_eth_tilt,4,"0,5",0.5586953843018184
dynamic_tilt_logistic_regression_m2_0,dynamic_btc_eth_tilt,5,"1,2",1.8009186281390472
dynamic_tilt_logistic_regression_m2_0,dynamic_btc_eth_tilt,6,"1,3",1.1353421905467533
dynamic_tilt_logistic_regression_m2_0,dynamic_btc_eth_tilt,7,"1,4",2.203802763995949
dynamic_tilt_logistic_regression_m2_0,dynamic_btc_eth_tilt,8,"1,5",2.156841931836976
dynamic_tilt_logistic_regression_m2_0,dynamic_btc_eth_tilt,9,"2,3",-0.6606140138966771
dynamic_tilt_logistic_regression_m2_0,dynamic_btc_eth_tilt,10,"2,4",0.42896890791783476
dynamic_tilt_logistic_regression_m2_0,dynamic_btc_eth_tilt,11,"2,5",0.29654352364872466
dynamic_tilt_logistic_regression_m2_0,dynamic_btc_eth_tilt,12,"3,4",-0.37659620009650474
dynamic_tilt_logistic_regression_m2_0,dynamic_btc_eth_tilt,13,"3,5",-0.5247643775304063
dynamic_tilt_logistic_regression_m2_0,dynamic_btc_eth_tilt,14,"4,5",0.9222228467088366
balanced_elastic_net_logistic_m0_5,balanced_btc_eth,0,"0,1",1.9465674097190093
balanced_elastic_net_logistic_m0_5,balanced_btc_eth,1,"0,2",0.36819610099082367
balanced_elastic_net_logistic_m0_5,balanced_btc_eth,2,"0,3",-0.11508028214246899
balanced_elastic_net_logistic_m0_5,balanced_btc_eth,3,"0,4",0.7257885748214569
balanced_elastic_net_logistic_m0_5,balanced_btc_eth,4,"0,5",0.6771952746882404
balanced_elastic_net_logistic_m0_5,balanced_btc_eth,5,"1,2",1.6390379163918674
balanced_elastic_net_logistic_m0_5,balanced_btc_eth,6,"1,3",1.0914294756951615
balanced_elastic_net_logistic_m0_5,balanced_btc_eth,7,"1,4",1.9938473615754375
balanced_elastic_net_logistic_m0_5,balanced_btc_eth,8,"1,5",1.989525900144076
balanced_elastic_net_logistic_m0_5,balanced_btc_eth,9,"2,3",-0.49226739256043267
balanced_elastic_net_logistic_m0_5,balanced_btc_eth,10,"2,4",0.2615223798977077
balanced_elastic_net_logistic_m0_5,balanced_btc_eth,11,"2,5",0.18003877708551552
balanced_elastic_net_logistic_m0_5,balanced_btc_eth,12,"3,4",-0.2613043049989912
balanced_elastic_net_logistic_m0_5,balanced_btc_eth,13,"3,5",-0.35003532126871334
balanced_elastic_net_logistic_m0_5,balanced_btc_eth,14,"4,5",0.6388077679056371
dynamic_tilt_elastic_net_logistic_m0_5,dynamic_btc_eth_tilt,0,"0,1",2.00853122524612
dynamic_tilt_elastic_net_logistic_m0_5,dynamic_btc_eth_tilt,1,"0,2",0.4695086533561562
dynamic_tilt_elastic_net_logistic_m0_5,dynamic_btc_eth_tilt,2,"0,3",-0.03255253031618662
dynamic_tilt_elastic_net_logistic_m0_5,dynamic_btc_eth_tilt,3,"0,4",0.833429150439846
dynamic_tilt_elastic_net_logistic_m0_5,dynamic_btc_eth_tilt,4,"0,5",0.7718985863951456
dynamic_tilt_elastic_net_logistic_m0_5,dynamic_btc_eth_tilt,5,"1,2",1.6376695803887351
dynamic_tilt_elastic_net_logistic_m0_5,dynamic_btc_eth_tilt,6,"1,3",1.124301204496623
dynamic_tilt_elastic_net_logistic_m0_5,dynamic_btc_eth_tilt,7,"1,4",1.9814169772533161
dynamic_tilt_elastic_net_logistic_m0_5,dynamic_btc_eth_tilt,8,"1,5",1.959278526051666
dynamic_tilt_elastic_net_logistic_m0_5,dynamic_btc_eth_tilt,9,"2,3",-0.5020405188027329
dynamic_tilt_elastic_net_logistic_m0_5,dynamic_btc_eth_tilt,10,"2,4",0.2743800463009669
dynamic_tilt_elastic_net_logistic_m0_5,dynamic_btc_eth_tilt,11,"2,5",0.17478047099913704
dynamic_tilt_elastic_net_logistic_m0_5,dynamic_btc_eth_tilt,12,"3,4",-0.26536427115004
dynamic_tilt_elastic_net_logistic_m0_5,dynamic_btc_eth_tilt,13,"3,5",-0.3735198553997135
dynamic_tilt_elastic_net_logistic_m0_5,dynamic_btc_eth_tilt,14,"4,5",0.6265774999799394
balanced_elastic_net_logistic_m1_0,balanced_btc_eth,0,"0,1",1.623797184525042
balanced_elastic_net_logistic_m1_0,balanced_btc_eth,1,"0,2",0.22898245722640045
balanced_elastic_net_logistic_m1_0,balanced_btc_eth,2,"0,3",-0.2735559544094529
balanced_elastic_net_logistic_m1_0,balanced_btc_eth,3,"0,4",0.5163029588019304
balanced_elastic_net_logistic_m1_0,balanced_btc_eth,4,"0,5",0.44435759018957127
balanced_elastic_net_logistic_m1_0,balanced_btc_eth,5,"1,2",1.7914640262159633
balanced_elastic_net_logistic_m1_0,balanced_btc_eth,6,"1,3",1.045046257505695
balanced_elastic_net_logistic_m1_0,balanced_btc_eth,7,"1,4",2.2545263852861592
balanced_elastic_net_logistic_m1_0,balanced_btc_eth,8,"1,5",2.229697308975445
balanced_elastic_net_logistic_m1_0,balanced_btc_eth,9,"2,3",-0.6286168381722502
balanced_elastic_net_logistic_m1_0,balanced_btc_eth,10,"2,4",0.4085635886848677
balanced_elastic_net_logistic_m1_0,balanced_btc_eth,11,"2,5",0.3000218569114242
balanced_elastic_net_logistic_m1_0,balanced_btc_eth,12,"3,4",-0.35658996597602394
balanced_elastic_net_logistic_m1_0,balanced_btc_eth,13,"3,5",-0.4755260493063587
