candidate,allocation_type,expansion_model,leadership_model,top20_model,multiplier,threshold,description,median_fold_sharpe,worst_fold_sharpe,positive_fold_fraction,development_sharpe,development_cagr,development_max_drawdown,development_turnover,development_exposure,selection_score
balanced_gradient_boosting_m1_0,balanced_btc_eth,target_a_btc_eth_upside__gradient_boosting,,,1.0,0.4,Balanced BTC/ETH expansion probability exposure multiplier.,0.7239775984304216,-0.5642017747409843,0.8,0.8002335449605712,0.23245018212558022,-0.5148204249205484,8.638515196811161,0.3287244643746886,0.7429271547451756
balanced_gradient_boosting_m1_5,balanced_btc_eth,target_a_btc_eth_upside__gradient_boosting,,,1.5,0.4,Balanced BTC/ETH expansion probability exposure multiplier.,0.7239775984304216,-0.5642017747409843,0.8,0.8002335449605712,0.23245018212558022,-0.5148204249205484,8.638515196811161,0.3287244643746886,0.7429271547451756
balanced_gradient_boosting_m2_0,balanced_btc_eth,target_a_btc_eth_upside__gradient_boosting,,,2.0,0.4,Balanced BTC/ETH expansion probability exposure multiplier.,0.7239775984304216,-0.5642017747409843,0.8,0.8002335449605712,0.23245018212558022,-0.5148204249205484,8.638515196811161,0.3287244643746886,0.7429271547451756
dynamic_tilt_gradient_boosting_m1_0,dynamic_btc_eth_tilt,target_a_btc_eth_upside__gradient_boosting,target_b_eth_leadership__gradient_boosting,,1.0,0.4,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,0.7402430828623877,-0.6428306346728949,0.8,0.7544162196291496,0.20990992037082634,-0.5256366495525642,10.248006975585449,0.3287244643746886,0.739535424194164
dynamic_tilt_gradient_boosting_m1_5,dynamic_btc_eth_tilt,target_a_btc_eth_upside__gradient_boosting,target_b_eth_leadership__gradient_boosting,,1.5,0.4,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,0.7402430828623877,-0.6428306346728949,0.8,0.7544162196291496,0.20990992037082634,-0.5256366495525642,10.248006975585449,0.3287244643746886,0.739535424194164
dynamic_tilt_gradient_boosting_m2_0,dynamic_btc_eth_tilt,target_a_btc_eth_upside__gradient_boosting,target_b_eth_leadership__gradient_boosting,,2.0,0.4,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,0.7402430828623877,-0.6428306346728949,0.8,0.7544162196291496,0.20990992037082634,-0.5256366495525642,10.248006975585449,0.3287244643746886,0.739535424194164
balanced_xgboost_m1_0,balanced_btc_eth,target_a_btc_eth_upside__xgboost,,,1.0,0.4,Balanced BTC/ETH expansion probability exposure multiplier.,0.7239775984304216,-0.6070941559126022,0.8,0.7888533810125089,0.22786911102263518,-0.5148204249205488,8.365719980069755,0.3278525161933234,0.7322040594522711
balanced_xgboost_m1_5,balanced_btc_eth,target_a_btc_eth_upside__xgboost,,,1.5,0.4,Balanced BTC/ETH expansion probability exposure multiplier.,0.7239775984304216,-0.6070941559126022,0.8,0.7888533810125089,0.22786911102263518,-0.5148204249205488,8.365719980069755,0.3278525161933234,0.7322040594522711
balanced_xgboost_m2_0,balanced_btc_eth,target_a_btc_eth_upside__xgboost,,,2.0,0.4,Balanced BTC/ETH expansion probability exposure multiplier.,0.7239775984304216,-0.6070941559126022,0.8,0.7888533810125089,0.22786911102263518,-0.5148204249205488,8.365719980069755,0.3278525161933234,0.7322040594522711
dynamic_tilt_xgboost_m1_0,dynamic_btc_eth_tilt,target_a_btc_eth_upside__xgboost,target_b_eth_leadership__xgboost,,1.0,0.4,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,0.6837892489158923,-0.7167452311388266,0.8,0.6953493295204156,0.18715774812299424,-0.5348279283968944,10.338938714499252,0.3278525161933234,0.6646029411311857
dynamic_tilt_xgboost_m1_5,dynamic_btc_eth_tilt,target_a_btc_eth_upside__xgboost,target_b_eth_leadership__xgboost,,1.5,0.4,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,0.6837892489158923,-0.7167452311388266,0.8,0.6953493295204156,0.18715774812299424,-0.5348279283968944,10.338938714499252,0.3278525161933234,0.6646029411311857
dynamic_tilt_xgboost_m2_0,dynamic_btc_eth_tilt,target_a_btc_eth_upside__xgboost,target_b_eth_leadership__xgboost,,2.0,0.4,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,0.6837892489158923,-0.7167452311388266,0.8,0.6953493295204156,0.18715774812299424,-0.5348279283968944,10.338938714499252,0.3278525161933234,0.6646029411311857
