date,macro_regime,favourable_feature_count,favourable_features,blocking_features,target_btc_weight,target_eth_weight,target_cash_weight,target_exposure,allocation,reason
2019-01-04,risk_off,2,"dow_vol_level, vix_level","equity_realized_vol_21d, equity_momentum_21d, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2019-01-11,risk_off,2,"dow_vol_level, vix_change_5d","equity_realized_vol_21d, equity_momentum_21d, vix_level, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2019-01-18,risk_off,1,equity_realized_vol_21d,"equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 1/6 macro features were favourable
2019-01-25,risk_on,4,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_change_21d","vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_on; only 4/6 macro features were favourable
2019-02-01,neutral,3,"equity_momentum_21d, vix_change_5d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level",0.0,0.0,1.0,0.0,cash,cash because macro regime is neutral; only 3/6 macro features were favourable
2019-02-08,risk_off,2,"equity_momentum_21d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2019-02-15,risk_off,2,"equity_momentum_21d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2019-02-22,neutral,3,"equity_momentum_21d, vix_change_5d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level",0.0,0.0,1.0,0.0,cash,cash because macro regime is neutral; only 3/6 macro features were favourable
2019-03-01,risk_off,2,"equity_momentum_21d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2019-03-08,risk_off,0,,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 0/6 macro features were favourable
2019-03-15,risk_off,2,"vix_change_5d, vix_change_21d","equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2019-03-22,risk_off,2,"equity_momentum_21d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2019-03-29,risk_on,4,"equity_realized_vol_21d, equity_momentum_21d, vix_change_5d, vix_change_21d","dow_vol_level, vix_level",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_on; only 4/6 macro features were favourable
2019-04-05,risk_off,2,"equity_realized_vol_21d, equity_momentum_21d","dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2019-04-12,risk_off,1,vix_change_21d,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 1/6 macro features were favourable
2019-04-19,risk_off,2,"equity_momentum_21d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2019-04-26,risk_off,2,"equity_momentum_21d, vix_change_21d","equity_realized_vol_21d, dow_vol_level, vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 2/6 macro features were favourable
2019-05-03,risk_off,0,,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 0/6 macro features were favourable
2019-05-10,risk_off,1,dow_vol_level,"equity_realized_vol_21d, equity_momentum_21d, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 1/6 macro features were favourable
2019-05-17,risk_off,1,vix_change_5d,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 1/6 macro features were favourable
2019-05-24,risk_off,1,equity_realized_vol_21d,"equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d, vix_change_21d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 1/6 macro features were favourable
2019-05-31,risk_off,1,vix_change_21d,"equity_realized_vol_21d, equity_momentum_21d, dow_vol_level, vix_level, vix_change_5d",0.0,0.0,1.0,0.0,cash,cash because macro regime is risk_off; only 1/6 macro features were favourable
