fold,fold_sharpe,test_groups,n_test_weeks
0,1.6932464777707228,"0,1",88
1,-0.12360265451492912,"0,2",88
2,1.2123475353804767,"0,3",88
3,1.0102176638326972,"0,4",87
4,0.9380139359464245,"0,5",87
5,0.23844066413381756,"1,2",88
6,1.617050481558081,"1,3",88
7,1.550447668067502,"1,4",87
8,1.4542238499819322,"1,5",87
9,-0.32407006936599747,"2,3",88
10,-1.1474745641209614,"2,4",87
11,-1.1458483342471588,"2,5",87
12,0.879757709912453,"3,4",87
13,0.7992797279857359,"3,5",87
14,0.4498421707858982,"4,5",86
