feature,feature_name,state,weeks,frequency,average_forward_btc_7d,average_forward_eth_7d,average_forward_btc_eth_50_50_7d,hit_rate_btc_eth_50_50_7d,average_target_btc_weight,average_target_eth_weight,average_target_cash_weight,average_target_exposure,exposure_contribution
dow_vol_level,Dow volatility level,unfavourable,228,0.5846153846153846,0.006348223754547756,0.006370763250288707,0.00635949350241823,0.5131578947368421,0.08881578947368421,0.08881578947368421,0.8223684210526315,0.17763157894736842,0.10384615384615385
dow_vol_level,Dow volatility level,favourable,162,0.4153846153846154,0.017092860971131944,0.020644676266780036,0.01886876861895599,0.5617283950617284,0.35802469135802467,0.35802469135802467,0.2839506172839506,0.7160493827160493,0.29743589743589743
equity_momentum_21d,21-day equity momentum,unfavourable,198,0.5076923076923077,0.00467932235299227,0.0014295401141238688,0.003054431233558069,0.5151515151515151,0.16161616161616163,0.16161616161616163,0.6767676767676768,0.32323232323232326,0.1641025641025641
equity_momentum_21d,21-day equity momentum,favourable,192,0.49230769230769234,0.017126373781594994,0.02348427817995573,0.020305325980775363,0.5520833333333334,0.24088541666666666,0.24088541666666666,0.5182291666666666,0.4817708333333333,0.23717948717948717
equity_realized_vol_21d,21-day equity realized volatility,unfavourable,221,0.5666666666666667,0.012043991014765188,0.016916423444409648,0.014480207229587417,0.5475113122171946,0.0746606334841629,0.0746606334841629,0.8506787330316742,0.1493212669683258,0.08461538461538462
equity_realized_vol_21d,21-day equity realized volatility,favourable,169,0.43333333333333335,0.009233208558327656,0.006325370741205802,0.007779289649766731,0.514792899408284,0.36538461538461536,0.36538461538461536,0.2692307692307692,0.7307692307692307,0.31666666666666665
vix_change_21d,21-day VIX change,unfavourable,186,0.47692307692307695,0.00907932097878719,0.007366712673565311,0.008223016826176252,0.4946236559139785,0.13306451612903225,0.13306451612903225,0.7338709677419355,0.2661290322580645,0.12692307692307692
vix_change_21d,21-day VIX change,favourable,204,0.5230769230769231,0.012420377180055652,0.01684922293473278,0.014634800057394218,0.5686274509803921,0.2622549019607843,0.2622549019607843,0.47549019607843135,0.5245098039215687,0.2743589743589744
vix_change_5d,5-day VIX change,unfavourable,217,0.5564102564102564,0.011484467004441482,0.010873854176864853,0.011179160590653167,0.5023041474654378,0.12788018433179724,0.12788018433179724,0.7442396313364056,0.2557603686635945,0.1423076923076923
vix_change_5d,5-day VIX change,favourable,173,0.44358974358974357,0.009996794200267948,0.014114730120410951,0.01205576216033945,0.5722543352601156,0.29190751445086704,0.29190751445086704,0.4161849710982659,0.5838150289017341,0.258974358974359
vix_level,VIX level,unfavourable,230,0.5897435897435898,0.007098895525791622,0.008248831508590826,0.007673863517191226,0.5260869565217391,0.08695652173913043,0.08695652173913043,0.8260869565217391,0.17391304347826086,0.10256410256410256
vix_level,VIX level,favourable,160,0.41025641025641024,0.01615276996374646,0.01813511498479127,0.017143942474268863,0.54375,0.3640625,0.3640625,0.271875,0.728125,0.2987179487179487
