date,window,rolling_sharpe,rolling_max_drawdown,rolling_exposure,rolling_annual_turnover
2019-02-02,3_month,,0.0,0.0,0.0
2019-02-03,3_month,,0.0,0.0,0.0
2019-02-04,3_month,,0.0,0.0,0.0
2019-02-05,3_month,,0.0,0.0,0.0
2019-02-06,3_month,,0.0,0.0,0.0
2019-02-07,3_month,,0.0,0.0,0.0
2019-02-08,3_month,,0.0,0.0,0.0
2019-02-09,3_month,,0.0,0.0,0.0
2019-02-10,3_month,,0.0,0.0,0.0
2019-02-11,3_month,,0.0,0.0,0.0
2019-02-12,3_month,,0.0,0.0,0.0
2019-02-13,3_month,,0.0,0.0,0.0
2019-02-14,3_month,,0.0,0.0,0.0
2019-02-15,3_month,,0.0,0.0,0.0
2019-02-16,3_month,,0.0,0.0,0.0
2019-02-17,3_month,,0.0,0.0,0.0
2019-02-18,3_month,,0.0,0.0,0.0
2019-02-19,3_month,,0.0,0.0,0.0
2019-02-20,3_month,,0.0,0.0,0.0
2019-02-21,3_month,,0.0,0.0,0.0
2019-02-22,3_month,,0.0,0.0,0.0
2019-02-23,3_month,,0.0,0.0,0.0
2019-02-24,3_month,,0.0,0.0,0.0
2019-02-25,3_month,,0.0,0.0,0.0
2019-02-26,3_month,,0.0,0.0,0.0
2019-02-27,3_month,,0.0,0.0,0.0
2019-02-28,3_month,,0.0,0.0,0.0
2019-03-01,3_month,,0.0,0.0,0.0
2019-03-02,3_month,,0.0,0.0,0.0
2019-03-03,3_month,,0.0,0.0,0.0
2019-03-04,3_month,,0.0,0.0,0.0
2019-03-05,3_month,,0.0,0.0,0.0
2019-03-06,3_month,,0.0,0.0,0.0
2019-03-07,3_month,,0.0,0.0,0.0
2019-03-08,3_month,,0.0,0.0,0.0
2019-03-09,3_month,,0.0,0.0,0.0
2019-03-10,3_month,,0.0,0.0,0.0
2019-03-11,3_month,,0.0,0.0,0.0
2019-03-12,3_month,,0.0,0.0,0.0
2019-03-13,3_month,,0.0,0.0,0.0
2019-03-14,3_month,,0.0,0.0,0.0
2019-03-15,3_month,,0.0,0.0,0.0
