stress_period,split,selected_weeks,selected_cagr,selected_sharpe,selected_max_drawdown,selected_worst_week,selected_mean_weekly_return,btc_mean_weekly_return,btc_sharpe,btc_max_drawdown,btc_eth_50_50_mean_weekly_return,btc_eth_50_50_sharpe,btc_eth_50_50_max_drawdown
worst_btc_drawdown_weeks,development,27,-0.9946259455887059,-5.740162174094508,-0.9336186317245622,-0.4208675367726957,-0.08816281626603961,-0.140718781379679,-14.145947759264123,-0.9832794615443273,-0.14182759679333218,-10.708403069989668,-0.9846841180144965
worst_btc_drawdown_weeks,holdout,4,0.0,,0.0,0.0,0.0,-0.13857112599405716,-30.555745500593428,-0.373456014896261,-0.15965753915625336,-25.979284343027764,-0.42160150600363966
worst_btc_drawdown_weeks,full,36,-0.9816853655654946,-4.763738506435884,-0.9372136732078626,-0.4208675367726957,-0.06763012164155291,-0.14010378898708667,-15.864023504878368,-0.995575499202568,-0.1443318364337699,-12.312877454934094,-0.9966570673204584
high_vix_periods,development,53,-0.6060065736065372,-0.8714985943007753,-0.7055028817173525,-0.4208675367726957,-0.011954201659979999,-0.008143893708890428,-0.6149402889649322,-0.6329633931319624,-0.011687893772700351,-0.8072831341904976,-0.7005863423549432
high_vix_periods,holdout,7,0.5665419655568285,1.3300089611015384,-0.034851331000428254,-0.034851331000428254,0.009818484345073724,0.0005887662432740701,0.06023266986177274,-0.11738752081315584,-0.011706339249993274,-1.0664927512026594,-0.12241506703396599
high_vix_periods,full,60,-0.5371660948381773,-0.7171355732964211,-0.7055028817173525,-0.4208675367726957,-0.009414054959390399,-0.007125083381137903,-0.5556152491125491,-0.6329633931319624,-0.011690045745051192,-0.8328870488980678,-0.7005863423549432
rising_vix_periods,development,53,-0.8567437758098959,-2.6173591767045106,-0.8665658738244301,-0.4208675367726957,-0.031886066432623934,-0.026954322572558986,-1.8539758977270868,-0.8576010143494477,-0.0343278078553087,-2.1786896716916293,-0.907829413232969
rising_vix_periods,holdout,16,-0.28085880911229055,-2.9387633647884006,-0.09646949461715182,-0.034851331000428254,-0.006209749066270351,-0.03054433593014956,-3.8106226397859206,-0.43122731777191203,-0.0416275961736214,-4.434974673491533,-0.5412321029494772
rising_vix_periods,full,75,-0.764098553059291,-2.2946316071331547,-0.8790247173606619,-0.4208675367726957,-0.023874233413191916,-0.023113988442059554,-1.7326806738087934,-0.9127712343221481,-0.03252340009756702,-2.2916261208412374,-0.9546680201252022
negative_equity_momentum_periods,development,84,-0.7088970436489296,-1.898222785054541,-0.8777835129324156,-0.4208675367726957,-0.019951736349170558,-0.015361521433791674,-1.1531441461003842,-0.8452696305641249,-0.022884175222270448,-1.6403171425848044,-0.9062619768432868
negative_equity_momentum_periods,holdout,24,0.01753285960750217,0.1807435216193738,-0.10453707010109092,-0.034851331000428254,0.0006125487593169656,-0.009928616126607484,-1.1669644516234519,-0.41258947102127186,-0.017310698155511058,-1.7672130568360358,-0.537293657053885
negative_equity_momentum_periods,full,120,-0.584734100142724,-1.5733049988331573,-0.8833282424041742,-0.4208675367726957,-0.014185009895104505,-0.009774102072731857,-0.7848856409226281,-0.9012268823360506,-0.016902366543342283,-1.2671613712233294,-0.9607360271852691
crypto_bear_weeks,development,87,-0.6256873165090616,-1.227179480303906,-0.8152839867787467,-0.4208675367726957,-0.014497064453467526,-0.009463038716772785,-0.7171756114582015,-0.7809561957569825,-0.009180662131576629,-0.6005198265757513,-0.8180096493456274
crypto_bear_weeks,holdout,32,0.0561781379970645,0.43029276986168963,-0.08085631076448829,-0.034851331000428254,0.0012617661501507435,-0.014034184582649083,-1.7251431831545994,-0.41899702887847257,-0.018507187444850286,-1.9450930278072607,-0.5091067514863628
crypto_bear_weeks,full,136,-0.47503544238727635,-0.9859199156033505,-0.8371748871978154,-0.4208675367726957,-0.009499404093782755,-0.012373346858055906,-1.0515536601476283,-0.8926973136634828,-0.013953515142375007,-1.0341798649501788,-0.9316964498954174
