date,forward_btc_7d,forward_eth_7d,forward_btc_eth_50_50_7d,target_btc_weight,target_eth_weight,target_exposure,target_cash_weight,macro_regime,selected_forward_return_7d
2019-01-04,-0.0502899517670049,-0.17977232348489824,-0.11503113762595157,0.0,0.0,0.0,1.0,risk_off,0.0
2019-01-11,-0.0017882381688885118,-0.04396309667067788,-0.022875667419783197,0.0,0.0,0.0,1.0,risk_off,0.0
2019-01-18,-0.00822839212544546,-0.03406897709154988,-0.02114868460849767,0.0,0.0,0.0,1.0,risk_off,0.0
2019-01-25,-0.028951361600318526,-0.07279993050125966,-0.05087564605078909,0.0,0.0,0.0,1.0,risk_on,0.0
2019-02-01,0.05689370809948957,0.11730534994846797,0.08709952902397877,0.0,0.0,0.0,1.0,neutral,0.0
2019-02-08,-0.015460339323975725,0.020293501048218143,0.0024165808621212093,0.0,0.0,0.0,1.0,risk_off,0.0
2019-02-15,0.09980096989010323,0.2111449001397223,0.15547293501491277,0.0,0.0,0.0,1.0,risk_off,0.0
2019-02-22,-0.0350832912670368,-0.08170466883821947,-0.058393980052628136,0.0,0.0,0.0,1.0,neutral,0.0
2019-03-01,0.010957363327229963,-0.013301803133313528,-0.0011722199030417824,0.0,0.0,0.0,1.0,risk_off,0.0
2019-03-08,0.015231998840846694,0.022768124625524244,0.01900006173318547,0.0,0.0,0.0,1.0,risk_off,0.0
2019-03-15,0.016099353681162887,-0.004247217340363263,0.005926068170399812,0.0,0.0,0.0,1.0,risk_off,0.0
2019-03-22,0.02917533039205611,0.0534637446683337,0.041319537530194905,0.0,0.0,0.0,1.0,risk_off,0.0
2019-03-29,0.21975263510631815,0.15022687609075058,0.18498975559853437,0.0,0.0,0.0,1.0,risk_on,0.0
2019-04-05,0.00860348255227339,-0.009589124233780444,-0.0004928208407535273,0.0,0.0,0.0,1.0,risk_off,0.0
2019-04-12,0.04173327707353991,0.057907960046571505,0.04982061856005571,0.0,0.0,0.0,1.0,risk_off,0.0
2019-04-19,0.010538766382438114,-0.08509036144578308,-0.03727579753167248,0.0,0.0,0.0,1.0,risk_off,0.0
2019-04-26,0.08629683295383961,0.06400759734093087,0.07515221514738524,0.0,0.0,0.0,1.0,risk_off,0.0
2019-05-03,0.10404854582525647,0.028858740925859827,0.06645364337555815,0.0,0.0,0.0,1.0,risk_off,0.0
2019-05-10,0.15406859522416072,0.4128737493493726,0.28347117228676666,0.0,0.0,0.0,1.0,risk_off,0.0
2019-05-17,0.08288082270375208,0.01870650839132204,0.05079366554753706,0.0,0.0,0.0,1.0,risk_off,0.0
2019-05-24,0.0740916047593998,0.07646562462329709,0.07527861469134844,0.0,0.0,0.0,1.0,risk_off,0.0
2019-05-31,-0.06715020455873766,-0.07140724150802524,-0.06927872303338145,0.0,0.0,0.0,1.0,risk_off,0.0
2019-06-07,0.0838879122063323,0.05507094906942167,0.06947943063787698,0.0,0.0,0.0,1.0,risk_off,0.0
2019-06-14,0.17455028901734115,0.12146150036194614,0.14800589468964365,0.0,0.0,0.0,1.0,risk_on,0.0
2019-06-21,0.22055126743872444,0.05673517920842519,0.13864322332357482,0.0,0.0,0.0,1.0,neutral,0.0
2019-06-28,-0.11530865770529397,-0.07580774795049017,-0.09555820282789207,0.0,0.0,0.0,1.0,risk_off,0.0
2019-07-05,0.07168985108557036,-0.044700316554771025,0.013494767265399665,0.25,0.25,0.5,0.5,neutral,-0.008048298513941177
2019-07-12,-0.10656685849205838,-0.19623479717427728,-0.15140082783316783,0.0,0.0,0.0,1.0,risk_off,0.013456514124589036
2019-07-19,-0.06476306347216243,-0.008698409821954356,-0.03673073664705839,0.0,0.0,0.0,1.0,risk_off,0.0
2019-07-26,0.07122862377850159,-0.005484210045244686,0.03287220686662845,0.0,0.0,0.0,1.0,risk_off,0.0
2019-08-02,0.12887421308944047,-0.032535269518864096,0.04816947178528819,0.0,0.0,0.0,1.0,risk_off,0.0
2019-08-09,-0.13034101880557125,-0.12183536788106208,-0.12608819334331667,0.0,0.0,0.0,1.0,risk_off,0.0
2019-08-16,0.005614845415107261,0.04943747295543055,0.027526159185268906,0.25,0.25,0.5,0.5,neutral,0.0013455540525240117
2019-08-23,-0.07748266286797778,-0.1315328316668385,-0.10450774726740814,0.25,0.25,0.5,0.5,neutral,-0.04323830478257351
2019-08-30,0.07451479152885776,0.003442136498516435,0.0389784640136871,0.0,0.0,0.0,1.0,risk_off,0.000261768370103832
2019-09-06,0.004207314882514579,0.07020345398627859,0.03720538443439658,0.5,0.5,1.0,0.0,risk_on,0.028074983730880687
2019-09-13,-0.016773254071239085,0.20491848576954963,0.09407261584915527,0.5,0.5,1.0,0.0,risk_on,0.09619161419737243
2019-09-20,-0.19576755479373253,-0.20290785671696565,-0.1993377057553491,0.0,0.0,0.0,1.0,risk_off,-0.06841709261535356
2019-09-27,-0.004986604156807739,0.01012716496921584,0.0025702804062040507,0.0,0.0,0.0,1.0,risk_off,0.00707402473459795
2019-10-04,0.014915578342732605,0.029450299060096663,0.022182938701414634,0.0,0.0,0.0,1.0,risk_off,0.0
2019-10-11,-0.03771750317854328,-0.04415670650730408,-0.04093710484292368,0.0,0.0,0.0,1.0,risk_off,0.0
2019-10-18,0.08909136895511649,0.0507120527961098,0.06990171087561314,0.25,0.25,0.5,0.5,neutral,-0.03588498455915934
2019-10-25,0.06661914126137192,0.007438016528925617,0.03702857889514877,0.25,0.25,0.5,0.5,neutral,0.09170322828932753
2019-11-01,-0.04959914901084439,0.004867377631938785,-0.022365885689452802,0.0,0.0,0.0,1.0,risk_off,0.0021516840379460778
2019-11-08,-0.034420936135486246,-0.020354849243496287,-0.027387892689491267,0.0,0.0,0.0,1.0,risk_off,0.0
2019-11-15,-0.1420607125109039,-0.1691111111111111,-0.1555859118110075,0.0,0.0,0.0,1.0,risk_off,0.0
2019-11-22,0.06486448557626834,0.033498261567263876,0.04918137357176611,0.0,0.0,0.0,1.0,risk_off,0.0
2019-11-29,-0.027418446240671468,-0.03959371158698333,-0.0335060789138274,0.25,0.25,0.5,0.5,neutral,-0.023037276506861937
2019-12-06,-0.03573444995463293,-0.024587403166049016,-0.030160926560340973,0.0,0.0,0.0,1.0,risk_off,0.004025821752300818
2019-12-13,-0.009733442814473525,-0.1147099447513813,-0.06222169378292741,0.0,0.0,0.0,1.0,risk_off,0.0
2019-12-20,0.009308789996424593,-0.014821748966378001,-0.002756479484976704,0.0,0.0,0.0,1.0,risk_off,0.0
2019-12-27,0.012436007355191236,0.06382136352838685,0.038128685441789045,0.0,0.0,0.0,1.0,risk_off,0.0
