target,model,fold,auc
target_btc_eth_1w,logistic_C0.25,0,0.48099173553719005
target_btc_eth_1w,logistic_C0.25,1,0.49016563146997927
target_btc_eth_1w,logistic_C0.25,2,0.5452069716775598
target_btc_eth_1w,logistic_C0.25,3,0.49147727272727276
target_btc_eth_1w,logistic_C0.25,4,0.43429487179487186
target_btc_eth_1w,logistic_C0.25,5,0.5085271317829458
target_btc_eth_1w,logistic_C0.25,6,0.49513513513513513
target_btc_eth_1w,logistic_C0.25,7,0.5331088664421997
target_btc_eth_1w,logistic_C0.25,8,0.4824468085106383
target_btc_eth_1w,logistic_C0.25,9,0.5238600212089077
target_btc_eth_1w,logistic_C0.25,10,0.4994708994708995
target_btc_eth_1w,logistic_C0.25,11,0.5725026852846402
target_btc_eth_1w,logistic_C0.25,12,0.5144444444444445
target_btc_eth_1w,logistic_C0.25,13,0.47106544077879936
target_btc_eth_1w,logistic_C0.25,14,0.4599018003273322
target_btc_eth_1w,logistic_C1,0,0.4628099173553719
target_btc_eth_1w,logistic_C1,1,0.48447204968944096
target_btc_eth_1w,logistic_C1,2,0.5266884531590414
target_btc_eth_1w,logistic_C1,3,0.48863636363636365
target_btc_eth_1w,logistic_C1,4,0.42681623931623935
target_btc_eth_1w,logistic_C1,5,0.4935400516795866
target_btc_eth_1w,logistic_C1,6,0.47783783783783784
target_btc_eth_1w,logistic_C1,7,0.5123456790123457
target_btc_eth_1w,logistic_C1,8,0.4781914893617022
target_btc_eth_1w,logistic_C1,9,0.5222693531283139
target_btc_eth_1w,logistic_C1,10,0.4497354497354497
target_btc_eth_1w,logistic_C1,11,0.5767991407089151
target_btc_eth_1w,logistic_C1,12,0.5055555555555555
target_btc_eth_1w,logistic_C1,13,0.46457544618712815
target_btc_eth_1w,logistic_C1,14,0.45553737043098746
target_btc_eth_1w,elastic_net_C0.25_l1_0.5,0,0.5019283746556473
target_btc_eth_1w,elastic_net_C0.25_l1_0.5,1,0.48602484472049684
target_btc_eth_1w,elastic_net_C0.25_l1_0.5,2,0.5185185185185185
target_btc_eth_1w,elastic_net_C0.25_l1_0.5,3,0.5130681818181817
target_btc_eth_1w,elastic_net_C0.25_l1_0.5,4,0.41987179487179493
target_btc_eth_1w,elastic_net_C0.25_l1_0.5,5,0.5467700258397933
target_btc_eth_1w,elastic_net_C0.25_l1_0.5,6,0.5405405405405406
target_btc_eth_1w,elastic_net_C0.25_l1_0.5,7,0.5387205387205387
target_btc_eth_1w,elastic_net_C0.25_l1_0.5,8,0.47712765957446807
target_btc_eth_1w,elastic_net_C0.25_l1_0.5,9,0.4798515376458112
target_btc_eth_1w,elastic_net_C0.25_l1_0.5,10,0.5312169312169311
target_btc_eth_1w,elastic_net_C0.25_l1_0.5,11,0.5370569280343717
target_btc_eth_1w,elastic_net_C0.25_l1_0.5,12,0.49666666666666665
target_btc_eth_1w,elastic_net_C0.25_l1_0.5,13,0.4618712817739319
target_btc_eth_1w,elastic_net_C0.25_l1_0.5,14,0.45990180032733224
target_btc_eth_1w,elastic_net_C1_l1_0.5,0,0.4688705234159779
target_btc_eth_1w,elastic_net_C1_l1_0.5,1,0.494824016563147
target_btc_eth_1w,elastic_net_C1_l1_0.5,2,0.5272331154684096
target_btc_eth_1w,elastic_net_C1_l1_0.5,3,0.49715909090909094
target_btc_eth_1w,elastic_net_C1_l1_0.5,4,0.4294871794871795
target_btc_eth_1w,elastic_net_C1_l1_0.5,5,0.5219638242894057
target_btc_eth_1w,elastic_net_C1_l1_0.5,6,0.4994594594594594
target_btc_eth_1w,elastic_net_C1_l1_0.5,7,0.5168350168350169
target_btc_eth_1w,elastic_net_C1_l1_0.5,8,0.4829787234042553
target_btc_eth_1w,elastic_net_C1_l1_0.5,9,0.5153764581124072
target_btc_eth_1w,elastic_net_C1_l1_0.5,10,0.5005291005291006
target_btc_eth_1w,elastic_net_C1_l1_0.5,11,0.5639097744360902
target_btc_eth_1w,elastic_net_C1_l1_0.5,12,0.505
target_btc_eth_1w,elastic_net_C1_l1_0.5,13,0.4699837750135208
target_btc_eth_1w,elastic_net_C1_l1_0.5,14,0.45717403164211673
target_btc_eth_1w,gb_depth2,0,0.5118457300275482
target_btc_eth_1w,gb_depth2,1,0.5230331262939959
target_btc_eth_1w,gb_depth2,2,0.440359477124183
target_btc_eth_1w,gb_depth2,3,0.543465909090909
