target,selected_model,split,observations,mean_cpcv_auc,auc,precision,recall,brier
target_btc_eth_1w,gb_depth3,development,261,0.507032039994068,0.9624866658764963,0.8273809523809523,0.972027972027972,0.14186784141249426
target_btc_eth_1w,gb_depth3,holdout,76,0.507032039994068,0.5555555555555556,0.5,0.6944444444444444,0.2690390696605285
target_btc_eth_2w,logistic_C0.25,development,261,0.5502633986420907,0.6953300936351783,0.627906976744186,0.7552447552447552,0.22491347132311065
target_btc_eth_2w,logistic_C0.25,holdout,75,0.5502633986420907,0.5271428571428571,0.4666666666666667,0.6,0.2664840479758402
target_top10_basket_1w,gb_depth3,development,261,0.5658406802845819,0.9773912528149816,0.8597560975609756,0.986013986013986,0.13149152113454662
target_top10_basket_1w,gb_depth3,holdout,76,0.5658406802845819,0.4663894663894663,0.48333333333333334,0.7435897435897436,0.2916817950594263
target_csm_spread_1w,gb_depth3,development,261,0.5188735772583691,0.9956521739130435,0.9230769230769231,0.9863013698630136,0.12033251415787388
target_csm_spread_1w,gb_depth3,holdout,76,0.5188735772583691,0.5394736842105262,0.5813953488372093,0.6578947368421053,0.26222879406449023
target_reversal_spread_1w,gb_depth2,development,261,0.5168638192771822,0.9100486704653371,0.8734177215189873,0.5897435897435898,0.17063910629407775
target_reversal_spread_1w,gb_depth2,holdout,76,0.5168638192771822,0.6284626038781164,0.5925925925925926,0.42105263157894735,0.2463506168359851
