candidate,fold,test_groups,fold_sharpe,n_test_weeks
btc_eth_macro_gate_balanced,0,"0,1",1.6932464777707228,88
btc_eth_macro_gate_balanced,1,"0,2",-0.12360265451492912,88
btc_eth_macro_gate_balanced,2,"0,3",1.2123475353804767,88
btc_eth_macro_gate_balanced,3,"0,4",1.0102176638326972,87
btc_eth_macro_gate_balanced,4,"0,5",0.9380139359464245,87
btc_eth_macro_gate_balanced,5,"1,2",0.23844066413381756,88
btc_eth_macro_gate_balanced,6,"1,3",1.617050481558081,88
btc_eth_macro_gate_balanced,7,"1,4",1.550447668067502,87
btc_eth_macro_gate_balanced,8,"1,5",1.4542238499819322,87
btc_eth_macro_gate_balanced,9,"2,3",-0.32407006936599747,88
btc_eth_macro_gate_balanced,10,"2,4",-1.1474745641209614,87
btc_eth_macro_gate_balanced,11,"2,5",-1.1458483342471588,87
btc_eth_macro_gate_balanced,12,"3,4",0.879757709912453,87
btc_eth_macro_gate_balanced,13,"3,5",0.7992797279857359,87
btc_eth_macro_gate_balanced,14,"4,5",0.4498421707858982,86
gmm_macro_direct,0,"0,1",2.473648723047767,88
gmm_macro_direct,1,"0,2",0.22344977777441022,88
gmm_macro_direct,2,"0,3",1.2520362771899918,88
gmm_macro_direct,3,"0,4",2.404021986441778,87
gmm_macro_direct,4,"0,5",1.0045037609383456,87
gmm_macro_direct,5,"1,2",1.2063650456936907,88
gmm_macro_direct,6,"1,3",1.8778214746931485,88
gmm_macro_direct,7,"1,4",2.6058914057421925,87
gmm_macro_direct,8,"1,5",1.7253601666367855,87
gmm_macro_direct,9,"2,3",-0.4508098576636005,88
gmm_macro_direct,10,"2,4",0.4415871328878587,87
gmm_macro_direct,11,"2,5",-0.7514150414708688,87
gmm_macro_direct,12,"3,4",1.4328834708810456,87
gmm_macro_direct,13,"3,5",0.2010359535017369,87
gmm_macro_direct,14,"4,5",1.2021815384345522,86
gmm_macro_confirmation_filter,0,"0,1",1.9909046536052792,88
gmm_macro_confirmation_filter,1,"0,2",-0.27052607243916393,88
gmm_macro_confirmation_filter,2,"0,3",1.4196093268308467,88
gmm_macro_confirmation_filter,3,"0,4",1.4776370155269052,87
gmm_macro_confirmation_filter,4,"0,5",1.2163036919538743,87
gmm_macro_confirmation_filter,5,"1,2",0.23844066413381756,88
gmm_macro_confirmation_filter,6,"1,3",1.617050481558081,88
gmm_macro_confirmation_filter,7,"1,4",1.536490592295318,87
gmm_macro_confirmation_filter,8,"1,5",1.3899982975659448,87
gmm_macro_confirmation_filter,9,"2,3",-0.32407006936599747,88
gmm_macro_confirmation_filter,10,"2,4",-1.1634394385719917,87
gmm_macro_confirmation_filter,11,"2,5",-1.228845878007326,87
gmm_macro_confirmation_filter,12,"3,4",0.8649092599893952,87
gmm_macro_confirmation_filter,13,"3,5",0.7291933543629324,87
gmm_macro_confirmation_filter,14,"4,5",0.21352555173244328,86
gmm_macro_exposure_scaling,0,"0,1",2.0824274034514993,88
gmm_macro_exposure_scaling,1,"0,2",-0.3500185709974177,88
gmm_macro_exposure_scaling,2,"0,3",1.1928676699313026,88
gmm_macro_exposure_scaling,3,"0,4",1.5481951094655055,87
gmm_macro_exposure_scaling,4,"0,5",0.8312565599755865,87
gmm_macro_exposure_scaling,5,"1,2",0.6367377686275869,88
gmm_macro_exposure_scaling,6,"1,3",1.6765901400999574,88
gmm_macro_exposure_scaling,7,"1,4",1.7293185922526393,87
gmm_macro_exposure_scaling,8,"1,5",1.4232938795907621,87
gmm_macro_exposure_scaling,9,"2,3",-0.28304564008007715,88
gmm_macro_exposure_scaling,10,"2,4",-1.0505406231062786,87
gmm_macro_exposure_scaling,11,"2,5",-1.3289138210121039,87
gmm_macro_exposure_scaling,12,"3,4",0.7515065592786144,87
gmm_macro_exposure_scaling,13,"3,5",0.4402878222510074,87
gmm_macro_exposure_scaling,14,"4,5",-0.08889547824666953,86
kmeans_macro_direct,0,"0,1",2.4166095639941703,88
kmeans_macro_direct,1,"0,2",0.38522699917200176,88
kmeans_macro_direct,2,"0,3",1.4122929091533984,88
kmeans_macro_direct,3,"0,4",2.3006199824993514,87
kmeans_macro_direct,4,"0,5",1.338927972727874,87
kmeans_macro_direct,5,"1,2",1.177313872733447,88
kmeans_macro_direct,6,"1,3",1.9236672081494335,88
kmeans_macro_direct,7,"1,4",2.5472099951922713,87
kmeans_macro_direct,8,"1,5",1.8746797650080251,87
kmeans_macro_direct,9,"2,3",-0.28999099971418685,88
kmeans_macro_direct,10,"2,4",0.4324448878851071,87
kmeans_macro_direct,11,"2,5",-0.41911942837269267,87
kmeans_macro_direct,12,"3,4",1.567477011952084,87
kmeans_macro_direct,13,"3,5",0.6410577626020668,87
kmeans_macro_direct,14,"4,5",1.4950089054272753,86
kmeans_macro_confirmation_filter,0,"0,1",1.5968854736686608,88
kmeans_macro_confirmation_filter,1,"0,2",-0.22789615706987015,88
kmeans_macro_confirmation_filter,2,"0,3",1.112865223586916,88
kmeans_macro_confirmation_filter,3,"0,4",0.880666953878766,87
kmeans_macro_confirmation_filter,4,"0,5",0.8120328405807679,87
kmeans_macro_confirmation_filter,5,"1,2",0.23844066413381756,88
kmeans_macro_confirmation_filter,6,"1,3",1.617050481558081,88
kmeans_macro_confirmation_filter,7,"1,4",1.550447668067502,87
kmeans_macro_confirmation_filter,8,"1,5",1.4542238499819322,87
kmeans_macro_confirmation_filter,9,"2,3",-0.32407006936599747,88
kmeans_macro_confirmation_filter,10,"2,4",-1.1474745641209614,87
kmeans_macro_confirmation_filter,11,"2,5",-1.1458483342471588,87
kmeans_macro_confirmation_filter,12,"3,4",0.879757709912453,87
kmeans_macro_confirmation_filter,13,"3,5",0.7992797279857359,87
kmeans_macro_confirmation_filter,14,"4,5",0.4498421707858982,86
kmeans_macro_exposure_scaling,0,"0,1",1.8579253175256993,88
kmeans_macro_exposure_scaling,1,"0,2",0.02862783910454629,88
kmeans_macro_exposure_scaling,2,"0,3",1.349688131936862,88
kmeans_macro_exposure_scaling,3,"0,4",1.2077200433924844,87
kmeans_macro_exposure_scaling,4,"0,5",1.0733692469957146,87
kmeans_macro_exposure_scaling,5,"1,2",0.5985977954010462,88
kmeans_macro_exposure_scaling,6,"1,3",1.6882863694316774,88
kmeans_macro_exposure_scaling,7,"1,4",1.5749283020047893,87
kmeans_macro_exposure_scaling,8,"1,5",1.4739831990850418,87
kmeans_macro_exposure_scaling,9,"2,3",-0.11558069098295869,88
kmeans_macro_exposure_scaling,10,"2,4",-1.0038383911897906,87
kmeans_macro_exposure_scaling,11,"2,5",-0.9744614111032578,87
kmeans_macro_exposure_scaling,12,"3,4",0.9430683799321649,87
kmeans_macro_exposure_scaling,13,"3,5",0.8380576298867423,87
kmeans_macro_exposure_scaling,14,"4,5",0.46669347835636626,86
markov_fallback_macro_direct,0,"0,1",2.4402878055695685,88
markov_fallback_macro_direct,1,"0,2",0.17679502569369188,88
markov_fallback_macro_direct,2,"0,3",1.3875154860133085,88
markov_fallback_macro_direct,3,"0,4",2.2760227125158345,87
markov_fallback_macro_direct,4,"0,5",1.3152191276736023,87
markov_fallback_macro_direct,5,"1,2",1.0536089978703242,88
markov_fallback_macro_direct,6,"1,3",1.9654610227018867,88
markov_fallback_macro_direct,7,"1,4",2.5894780242387525,87
markov_fallback_macro_direct,8,"1,5",1.9164354229090532,87
markov_fallback_macro_direct,9,"2,3",-0.24737372763095836,88
