candidate,family,model_name,overlay,median_fold_sharpe,worst_fold_sharpe,best_fold_sharpe,positive_fold_fraction,development_sharpe,development_cagr,development_max_drawdown,development_turnover,development_exposure,selection_score
gmm_macro_crypto_direct,GMM direct BTC/ETH/cash allocation,gmm_macro_crypto,direct,1.7053170313597694,-0.26643942381369806,2.6517966405782367,0.9333333333333333,1.6393081759005463,0.9753009950417222,-0.5188015987745442,2.697044334975369,0.5944170771756979,2.1053738420730115
gmm_macro_crypto_exposure_scaling,Current strategy + GMM exposure scaling,gmm_macro_crypto,exposure_scaling,1.4419729810518507,0.005821440491932085,2.2998080969257098,1.0,1.3664249773087696,0.4927348804606051,-0.23836422500341192,6.293103448275862,0.3113026819923372,1.9434283411748337
gmm_macro_crypto_confirmation_filter,Current strategy + GMM confirmation filter,gmm_macro_crypto,confirmation_filter,1.396453576388993,-0.05437021394881856,2.283530788435371,0.9333333333333333,1.241729250235005,0.5267458317842499,-0.41289697606565434,9.589490968801313,0.43103448275862066,1.849527689568455
markov_fallback_macro_crypto_direct,Fallback Markov direct BTC/ETH/cash allocation,markov_fallback_macro_crypto,direct,1.5268148142635898,-0.5233189411657191,2.1820176315194733,0.8666666666666667,1.1978173901593623,0.5594484144192027,-0.5365587288206879,1.3984674329501916,0.5795019157088123,1.8293184123054933
kmeans_macro_crypto_direct,KMEANS direct BTC/ETH/cash allocation,kmeans_macro_crypto,direct,1.5268148142635898,-0.5326325822911189,2.724090907732578,0.8666666666666667,1.2886265906956516,0.6135603141336798,-0.5365587288206883,1.3984674329501916,0.5814176245210728,1.8269900020241434
kmeans_macro_direct,KMEANS direct BTC/ETH/cash allocation,kmeans_macro,direct,1.4122929091533984,-0.41911942837269267,2.5472099951922713,0.8666666666666667,1.3309870994624973,0.8427735754507,-0.6606244035078339,3.995621237000547,0.8697318007662835,1.7408463853935585
markov_fallback_macro_direct,Fallback Markov direct BTC/ETH/cash allocation,markov_fallback_macro,direct,1.3875154860133085,-0.5526060799090265,2.5894780242387525,0.8666666666666667,1.278930163389981,0.8123588076674046,-0.7495485270823232,3.396278051450465,0.8773946360153256,1.6826972993693852
gmm_macro_direct,GMM direct BTC/ETH/cash allocation,gmm_macro,direct,1.2063650456936907,-0.7514150414708688,2.6058914057421925,0.8666666666666667,1.23313887242231,0.6687415914053727,-0.6556585764072047,4.794745484400656,0.7691570881226054,1.4518446186593068
kmeans_macro_exposure_scaling,Current strategy + KMEANS exposure scaling,kmeans_macro,exposure_scaling,0.9430683799321649,-1.0038383911897906,1.8579253175256993,0.8,0.8296900080856736,0.2734555071669602,-0.6013890993832114,11.787082649151614,0.4003831417624521,1.092108782134717
kmeans_macro_crypto_exposure_scaling,Current strategy + KMEANS exposure scaling,kmeans_macro_crypto,exposure_scaling,0.9236491303245418,-1.081827389715895,1.9880892391973886,0.8,0.831356203683321,0.24412718142264267,-0.5370764390234055,6.992337164750958,0.3132183908045977,1.053192282895568
markov_fallback_macro_crypto_exposure_scaling,Current strategy + Fallback Markov exposure scaling,markov_fallback_macro_crypto,exposure_scaling,0.9236491303245418,-1.081827389715895,1.5953186664652004,0.8,0.7028581495649878,0.19932455887060763,-0.5351758349106226,7.292008757525998,0.31417624521072796,1.053192282895568
kmeans_macro_crypto_confirmation_filter,Current strategy + KMEANS confirmation filter,kmeans_macro_crypto,confirmation_filter,0.879757709912453,-1.1474745641209614,2.357033552970879,0.8,0.8111269799660156,0.2998647898900044,-0.7408840487248674,10.888067870826491,0.4837164750957854,0.9928890688822126
markov_fallback_macro_exposure_scaling,Current strategy + Fallback Markov exposure scaling,markov_fallback_macro,exposure_scaling,0.8984119315667476,-1.1603424954844213,1.8598189503932527,0.7333333333333333,0.6929236665206591,0.21824454848634156,-0.7061934096032786,11.38752052545156,0.40325670498084293,0.9749929743623089
btc_eth_macro_gate_balanced,Current selected strategy,current,current,0.879757709912453,-1.1474745641209614,1.6932464777707228,0.7333333333333333,0.6281168905695268,0.20002605127253803,-0.7408840487248671,11.087848932676518,0.49808429118773945,0.9595557355488793
markov_fallback_macro_crypto_confirmation_filter,Current strategy + Fallback Markov confirmation filter,markov_fallback_macro_crypto,confirmation_filter,0.879757709912453,-1.1474745641209614,1.776330791337654,0.7333333333333333,0.6371372335419824,0.20553532599032898,-0.7408840487248671,11.187739463601533,0.48659003831417624,0.9595557355488793
gmm_macro_confirmation_filter,Current strategy + GMM confirmation filter,gmm_macro,confirmation_filter,0.8649092599893952,-1.228845878007326,1.9909046536052792,0.7333333333333333,0.6382192330449821,0.1992200953149672,-0.7408840487248676,10.888067870826491,0.45689655172413796,0.9243644571542304
kmeans_macro_confirmation_filter,Current strategy + KMEANS confirmation filter,kmeans_macro,confirmation_filter,0.8120328405807679,-1.1474745641209614,1.617050481558081,0.7333333333333333,0.5897026774679395,0.1761241684363748,-0.7408840487248674,11.287629994526545,0.4904214559386973,0.8918308662171941
markov_fallback_macro_confirmation_filter,Current strategy + Fallback Markov confirmation filter,markov_fallback_macro,confirmation_filter,0.8120328405807679,-1.1474745641209614,1.617050481558081,0.7333333333333333,0.5897026774679395,0.1761241684363748,-0.7408840487248674,11.287629994526545,0.4904214559386973,0.8918308662171941
gmm_macro_exposure_scaling,Current strategy + GMM exposure scaling,gmm_macro,exposure_scaling,0.7515065592786144,-1.3289138210121039,2.0824274034514993,0.6666666666666666,0.7136126712531956,0.17840114376809546,-0.5901031527922846,9.589490968801313,0.30842911877394635,0.7526114373589218
