model,split,from_regime,to_regime,count,probability
gmm_macro,development,neutral,neutral,594,0.8932330827067669
gmm_macro,development,neutral,risk_off,9,0.013533834586466165
gmm_macro,development,neutral,risk_on,62,0.09323308270676692
gmm_macro,development,risk_off,neutral,10,0.11494252873563218
gmm_macro,development,risk_off,risk_off,71,0.8160919540229885
gmm_macro,development,risk_off,risk_on,6,0.06896551724137931
gmm_macro,development,risk_on,neutral,61,0.056797020484171325
gmm_macro,development,risk_on,risk_off,7,0.006517690875232775
gmm_macro,development,risk_on,risk_on,1006,0.9366852886405959
gmm_macro,holdout,neutral,neutral,117,0.8181818181818182
gmm_macro,holdout,neutral,risk_off,5,0.03496503496503497
gmm_macro,holdout,neutral,risk_on,21,0.14685314685314685
gmm_macro,holdout,risk_off,neutral,6,0.1935483870967742
gmm_macro,holdout,risk_off,risk_off,25,0.8064516129032258
gmm_macro,holdout,risk_on,neutral,20,0.05509641873278237
gmm_macro,holdout,risk_on,risk_off,1,0.0027548209366391185
gmm_macro,holdout,risk_on,risk_on,342,0.9421487603305785
gmm_macro,full,neutral,neutral,736,0.8699763593380615
gmm_macro,full,neutral,risk_off,14,0.016548463356973995
gmm_macro,full,neutral,risk_on,96,0.11347517730496454
gmm_macro,full,risk_off,neutral,16,0.13559322033898305
gmm_macro,full,risk_off,risk_off,96,0.8135593220338984
gmm_macro,full,risk_off,risk_on,6,0.05084745762711865
gmm_macro,full,risk_on,neutral,94,0.053257790368271954
gmm_macro,full,risk_on,risk_off,8,0.004532577903682719
gmm_macro,full,risk_on,risk_on,1663,0.9422096317280453
kmeans_macro,development,neutral,neutral,378,0.8915094339622641
kmeans_macro,development,neutral,risk_off,1,0.0023584905660377358
kmeans_macro,development,neutral,risk_on,45,0.10613207547169812
kmeans_macro,development,risk_off,neutral,1,0.041666666666666664
kmeans_macro,development,risk_off,risk_off,23,0.9583333333333334
kmeans_macro,development,risk_on,neutral,45,0.03265602322206096
kmeans_macro,development,risk_on,risk_on,1333,0.967343976777939
kmeans_macro,holdout,neutral,neutral,59,0.8194444444444444
kmeans_macro,holdout,neutral,risk_off,1,0.013888888888888888
kmeans_macro,holdout,neutral,risk_on,12,0.16666666666666666
kmeans_macro,holdout,risk_off,neutral,1,0.5
kmeans_macro,holdout,risk_off,risk_off,1,0.5
kmeans_macro,holdout,risk_on,neutral,12,0.02591792656587473
kmeans_macro,holdout,risk_on,risk_on,451,0.9740820734341252
kmeans_macro,full,neutral,neutral,441,0.8715415019762845
kmeans_macro,full,neutral,risk_off,2,0.003952569169960474
kmeans_macro,full,neutral,risk_on,63,0.12450592885375494
kmeans_macro,full,risk_off,neutral,2,0.07692307692307693
kmeans_macro,full,risk_off,risk_off,24,0.9230769230769231
kmeans_macro,full,risk_on,neutral,63,0.02867546654528903
kmeans_macro,full,risk_on,risk_on,2134,0.9713245334547109
markov_fallback_macro,development,neutral,neutral,383,0.9551122194513716
markov_fallback_macro,development,neutral,risk_off,1,0.0024937655860349127
markov_fallback_macro,development,neutral,risk_on,17,0.04239401496259352
markov_fallback_macro,development,risk_off,neutral,1,0.041666666666666664
markov_fallback_macro,development,risk_off,risk_off,23,0.9583333333333334
markov_fallback_macro,development,risk_on,neutral,17,0.012134189864382585
markov_fallback_macro,development,risk_on,risk_on,1384,0.9878658101356174
markov_fallback_macro,holdout,neutral,neutral,60,0.8823529411764706
markov_fallback_macro,holdout,neutral,risk_off,1,0.014705882352941176
markov_fallback_macro,holdout,neutral,risk_on,7,0.10294117647058823
markov_fallback_macro,holdout,risk_off,neutral,1,1.0
markov_fallback_macro,holdout,risk_on,neutral,7,0.014957264957264958
markov_fallback_macro,holdout,risk_on,risk_on,461,0.9850427350427351
markov_fallback_macro,full,neutral,neutral,443,0.9425531914893617
markov_fallback_macro,full,neutral,risk_off,2,0.00425531914893617
markov_fallback_macro,full,neutral,risk_on,25,0.05319148936170213
markov_fallback_macro,full,risk_off,neutral,2,0.08
markov_fallback_macro,full,risk_off,risk_off,23,0.92
markov_fallback_macro,full,risk_on,neutral,25,0.011190689346463742
markov_fallback_macro,full,risk_on,risk_on,2209,0.9888093106535363
gmm_macro_crypto,development,neutral,neutral,1101,0.9708994708994709
gmm_macro_crypto,development,neutral,risk_off,27,0.023809523809523808
gmm_macro_crypto,development,neutral,risk_on,6,0.005291005291005291
gmm_macro_crypto,development,risk_off,neutral,27,0.16071428571428573
gmm_macro_crypto,development,risk_off,risk_off,139,0.8273809523809523
gmm_macro_crypto,development,risk_off,risk_on,2,0.011904761904761904
gmm_macro_crypto,development,risk_on,neutral,7,0.013358778625954198
gmm_macro_crypto,development,risk_on,risk_off,2,0.003816793893129771
gmm_macro_crypto,development,risk_on,risk_on,515,0.982824427480916
gmm_macro_crypto,holdout,neutral,neutral,442,0.9629629629629629
gmm_macro_crypto,holdout,neutral,risk_off,17,0.037037037037037035
gmm_macro_crypto,holdout,risk_off,neutral,17,0.21794871794871795
gmm_macro_crypto,holdout,risk_off,risk_off,61,0.782051282051282
gmm_macro_crypto,full,neutral,neutral,1544,0.9668127739511584
gmm_macro_crypto,full,neutral,risk_off,44,0.027551659361302442
gmm_macro_crypto,full,neutral,risk_on,9,0.005635566687539136
gmm_macro_crypto,full,risk_off,neutral,44,0.17886178861788618
gmm_macro_crypto,full,risk_off,risk_off,200,0.8130081300813008
gmm_macro_crypto,full,risk_off,risk_on,2,0.008130081300813009
gmm_macro_crypto,full,risk_on,neutral,9,0.010158013544018058
gmm_macro_crypto,full,risk_on,risk_off,2,0.002257336343115124
gmm_macro_crypto,full,risk_on,risk_on,875,0.9875846501128668
kmeans_macro_crypto,development,neutral,neutral,1437,0.9896694214876033
kmeans_macro_crypto,development,neutral,risk_off,2,0.0013774104683195593
kmeans_macro_crypto,development,neutral,risk_on,13,0.008953168044077135
kmeans_macro_crypto,development,risk_off,neutral,1,0.02857142857142857
kmeans_macro_crypto,development,risk_off,risk_off,32,0.9142857142857143
kmeans_macro_crypto,development,risk_off,risk_on,2,0.05714285714285714
kmeans_macro_crypto,development,risk_on,neutral,14,0.04129793510324484
kmeans_macro_crypto,development,risk_on,risk_off,1,0.0029498525073746312
kmeans_macro_crypto,development,risk_on,risk_on,324,0.9557522123893806
kmeans_macro_crypto,holdout,neutral,neutral,524,0.9924242424242424
kmeans_macro_crypto,holdout,neutral,risk_off,2,0.003787878787878788
kmeans_macro_crypto,holdout,neutral,risk_on,2,0.003787878787878788
kmeans_macro_crypto,holdout,risk_off,neutral,2,0.3333333333333333
kmeans_macro_crypto,holdout,risk_off,risk_off,4,0.6666666666666666
kmeans_macro_crypto,holdout,risk_on,neutral,2,0.6666666666666666
kmeans_macro_crypto,holdout,risk_on,risk_on,1,0.3333333333333333
kmeans_macro_crypto,full,neutral,neutral,2248,0.9863975427819219
kmeans_macro_crypto,full,neutral,risk_off,4,0.0017551557700745941
kmeans_macro_crypto,full,neutral,risk_on,27,0.01184730144800351
kmeans_macro_crypto,full,risk_off,neutral,3,0.07317073170731707
kmeans_macro_crypto,full,risk_off,risk_off,36,0.8780487804878049
kmeans_macro_crypto,full,risk_off,risk_on,2,0.04878048780487805
kmeans_macro_crypto,full,risk_on,neutral,28,0.06845965770171149
kmeans_macro_crypto,full,risk_on,risk_off,1,0.0024449877750611247
kmeans_macro_crypto,full,risk_on,risk_on,380,0.9290953545232273
markov_fallback_macro_crypto,development,neutral,neutral,1463,0.9952380952380953
markov_fallback_macro_crypto,development,neutral,risk_off,2,0.0013605442176870747
markov_fallback_macro_crypto,development,neutral,risk_on,5,0.003401360544217687
markov_fallback_macro_crypto,development,risk_off,neutral,1,0.03225806451612903
markov_fallback_macro_crypto,development,risk_off,risk_off,29,0.9354838709677419
markov_fallback_macro_crypto,development,risk_off,risk_on,1,0.03225806451612903
markov_fallback_macro_crypto,development,risk_on,neutral,6,0.018461538461538463
markov_fallback_macro_crypto,development,risk_on,risk_on,319,0.9815384615384616
markov_fallback_macro_crypto,holdout,neutral,neutral,531,0.9981203007518797
markov_fallback_macro_crypto,holdout,neutral,risk_off,1,0.0018796992481203006
markov_fallback_macro_crypto,holdout,risk_off,neutral,1,0.2
markov_fallback_macro_crypto,holdout,risk_off,risk_off,4,0.8
markov_fallback_macro_crypto,full,neutral,neutral,2299,0.9948074426655128
markov_fallback_macro_crypto,full,neutral,risk_off,3,0.0012981393336218088
markov_fallback_macro_crypto,full,neutral,risk_on,9,0.0038944180008654264
markov_fallback_macro_crypto,full,risk_off,neutral,2,0.05555555555555555
markov_fallback_macro_crypto,full,risk_off,risk_off,33,0.9166666666666666
markov_fallback_macro_crypto,full,risk_off,risk_on,1,0.027777777777777776
markov_fallback_macro_crypto,full,risk_on,neutral,10,0.02617801047120419
markov_fallback_macro_crypto,full,risk_on,risk_on,372,0.9738219895287958
