feature,target,split,bin,observations,mean_feature,event_rate
btc_active_address_growth_30d,target_a_btc_30d_upside,development,1,58,-0.12357520039070888,0.29310344827586204
btc_active_address_growth_30d,target_a_btc_30d_upside,development,2,57,6.143414443472497e-05,0.2631578947368421
btc_active_address_growth_30d,target_a_btc_30d_upside,development,3,57,0.07274613084427384,0.2631578947368421
btc_active_address_growth_30d,target_a_btc_30d_upside,development,4,57,0.15465802654920643,0.2807017543859649
btc_active_address_growth_30d,target_a_btc_30d_upside,development,5,58,0.30972641636761844,0.2413793103448276
btc_active_address_growth_30d,target_b_eth_30d_upside,development,1,58,-0.12357520039070888,0.29310344827586204
btc_active_address_growth_30d,target_b_eth_30d_upside,development,2,57,6.143414443472497e-05,0.19298245614035087
btc_active_address_growth_30d,target_b_eth_30d_upside,development,3,57,0.07274613084427384,0.2631578947368421
btc_active_address_growth_30d,target_b_eth_30d_upside,development,4,57,0.15465802654920643,0.2631578947368421
btc_active_address_growth_30d,target_b_eth_30d_upside,development,5,58,0.30972641636761844,0.29310344827586204
btc_active_address_growth_30d,target_c_btc_eth_50_50_30d_upside,development,1,58,-0.12357520039070888,0.3275862068965517
btc_active_address_growth_30d,target_c_btc_eth_50_50_30d_upside,development,2,57,6.143414443472497e-05,0.2631578947368421
btc_active_address_growth_30d,target_c_btc_eth_50_50_30d_upside,development,3,57,0.07274613084427384,0.2982456140350877
btc_active_address_growth_30d,target_c_btc_eth_50_50_30d_upside,development,4,57,0.15465802654920643,0.3157894736842105
btc_active_address_growth_30d,target_c_btc_eth_50_50_30d_upside,development,5,58,0.30972641636761844,0.25862068965517243
btc_active_address_growth_30d,target_d_eth_beats_btc_30d,development,1,58,-0.12357520039070888,0.3275862068965517
btc_active_address_growth_30d,target_d_eth_beats_btc_30d,development,2,57,6.143414443472497e-05,0.15789473684210525
btc_active_address_growth_30d,target_d_eth_beats_btc_30d,development,3,57,0.07274613084427384,0.38596491228070173
btc_active_address_growth_30d,target_d_eth_beats_btc_30d,development,4,57,0.15465802654920643,0.2982456140350877
btc_active_address_growth_30d,target_d_eth_beats_btc_30d,development,5,58,0.30972641636761844,0.41379310344827586
btc_active_address_growth_30d,target_e_top20_leadership,development,1,58,-0.12357520039070888,0.2413793103448276
btc_active_address_growth_30d,target_e_top20_leadership,development,2,57,6.143414443472497e-05,0.2982456140350877
btc_active_address_growth_30d,target_e_top20_leadership,development,3,57,0.07274613084427384,0.2631578947368421
btc_active_address_growth_30d,target_e_top20_leadership,development,4,57,0.15465802654920643,0.21052631578947367
btc_active_address_growth_30d,target_e_top20_leadership,development,5,58,0.30972641636761844,0.22413793103448276
btc_active_address_growth_7d,target_a_btc_30d_upside,development,1,58,-0.13065218787768784,0.3275862068965517
btc_active_address_growth_7d,target_a_btc_30d_upside,development,2,57,-0.044971319068738295,0.2631578947368421
btc_active_address_growth_7d,target_a_btc_30d_upside,development,3,57,0.005592713751836866,0.2807017543859649
btc_active_address_growth_7d,target_a_btc_30d_upside,development,4,57,0.04939691864728249,0.14035087719298245
btc_active_address_growth_7d,target_a_btc_30d_upside,development,5,58,0.13845617421019504,0.3275862068965517
btc_active_address_growth_7d,target_b_eth_30d_upside,development,1,58,-0.13065218787768784,0.3620689655172414
btc_active_address_growth_7d,target_b_eth_30d_upside,development,2,57,-0.044971319068738295,0.19298245614035087
btc_active_address_growth_7d,target_b_eth_30d_upside,development,3,57,0.005592713751836866,0.17543859649122806
btc_active_address_growth_7d,target_b_eth_30d_upside,development,4,57,0.04939691864728249,0.22807017543859648
btc_active_address_growth_7d,target_b_eth_30d_upside,development,5,58,0.13845617421019504,0.3448275862068966
btc_active_address_growth_7d,target_c_btc_eth_50_50_30d_upside,development,1,58,-0.13065218787768784,0.39655172413793105
btc_active_address_growth_7d,target_c_btc_eth_50_50_30d_upside,development,2,57,-0.044971319068738295,0.24561403508771928
btc_active_address_growth_7d,target_c_btc_eth_50_50_30d_upside,development,3,57,0.005592713751836866,0.2631578947368421
btc_active_address_growth_7d,target_c_btc_eth_50_50_30d_upside,development,4,57,0.04939691864728249,0.19298245614035087
btc_active_address_growth_7d,target_c_btc_eth_50_50_30d_upside,development,5,58,0.13845617421019504,0.3620689655172414
btc_active_address_growth_7d,target_d_eth_beats_btc_30d,development,1,58,-0.13065218787768784,0.39655172413793105
btc_active_address_growth_7d,target_d_eth_beats_btc_30d,development,2,57,-0.044971319068738295,0.19298245614035087
btc_active_address_growth_7d,target_d_eth_beats_btc_30d,development,3,57,0.005592713751836866,0.19298245614035087
btc_active_address_growth_7d,target_d_eth_beats_btc_30d,development,4,57,0.04939691864728249,0.43859649122807015
btc_active_address_growth_7d,target_d_eth_beats_btc_30d,development,5,58,0.13845617421019504,0.3620689655172414
btc_active_address_growth_7d,target_e_top20_leadership,development,1,58,-0.13065218787768784,0.22413793103448276
btc_active_address_growth_7d,target_e_top20_leadership,development,2,57,-0.044971319068738295,0.2631578947368421
btc_active_address_growth_7d,target_e_top20_leadership,development,3,57,0.005592713751836866,0.2807017543859649
btc_active_address_growth_7d,target_e_top20_leadership,development,4,57,0.04939691864728249,0.24561403508771928
btc_active_address_growth_7d,target_e_top20_leadership,development,5,58,0.13845617421019504,0.22413793103448276
btc_transaction_growth_30d,target_a_btc_30d_upside,development,1,58,-0.23021463329821065,0.27586206896551724
btc_transaction_growth_30d,target_a_btc_30d_upside,development,2,57,-0.034598583441085545,0.2631578947368421
btc_transaction_growth_30d,target_a_btc_30d_upside,development,3,57,0.05165423290225629,0.22807017543859648
btc_transaction_growth_30d,target_a_btc_30d_upside,development,4,57,0.16927212152946303,0.2982456140350877
btc_transaction_growth_30d,target_a_btc_30d_upside,development,5,58,0.4631996354050778,0.27586206896551724
btc_transaction_growth_30d,target_b_eth_30d_upside,development,1,58,-0.23021463329821065,0.27586206896551724
btc_transaction_growth_30d,target_b_eth_30d_upside,development,2,57,-0.034598583441085545,0.17543859649122806
btc_transaction_growth_30d,target_b_eth_30d_upside,development,3,57,0.05165423290225629,0.2982456140350877
btc_transaction_growth_30d,target_b_eth_30d_upside,development,4,57,0.16927212152946303,0.3157894736842105
btc_transaction_growth_30d,target_b_eth_30d_upside,development,5,58,0.4631996354050778,0.2413793103448276
btc_transaction_growth_30d,target_c_btc_eth_50_50_30d_upside,development,1,58,-0.23021463329821065,0.3448275862068966
btc_transaction_growth_30d,target_c_btc_eth_50_50_30d_upside,development,2,57,-0.034598583441085545,0.24561403508771928
btc_transaction_growth_30d,target_c_btc_eth_50_50_30d_upside,development,3,57,0.05165423290225629,0.2631578947368421
btc_transaction_growth_30d,target_c_btc_eth_50_50_30d_upside,development,4,57,0.16927212152946303,0.3333333333333333
btc_transaction_growth_30d,target_c_btc_eth_50_50_30d_upside,development,5,58,0.4631996354050778,0.27586206896551724
btc_transaction_growth_30d,target_d_eth_beats_btc_30d,development,1,58,-0.23021463329821065,0.22413793103448276
btc_transaction_growth_30d,target_d_eth_beats_btc_30d,development,2,57,-0.034598583441085545,0.2631578947368421
btc_transaction_growth_30d,target_d_eth_beats_btc_30d,development,3,57,0.05165423290225629,0.42105263157894735
btc_transaction_growth_30d,target_d_eth_beats_btc_30d,development,4,57,0.16927212152946303,0.3508771929824561
btc_transaction_growth_30d,target_d_eth_beats_btc_30d,development,5,58,0.4631996354050778,0.3275862068965517
btc_transaction_growth_30d,target_e_top20_leadership,development,1,58,-0.23021463329821065,0.29310344827586204
btc_transaction_growth_30d,target_e_top20_leadership,development,2,57,-0.034598583441085545,0.2631578947368421
btc_transaction_growth_30d,target_e_top20_leadership,development,3,57,0.05165423290225629,0.21052631578947367
btc_transaction_growth_30d,target_e_top20_leadership,development,4,57,0.16927212152946303,0.3157894736842105
btc_transaction_growth_30d,target_e_top20_leadership,development,5,58,0.4631996354050778,0.15517241379310345
btc_transaction_growth_7d,target_a_btc_30d_upside,development,1,58,-0.18634091724540247,0.22413793103448276
btc_transaction_growth_7d,target_a_btc_30d_upside,development,2,57,-0.0564499456172226,0.38596491228070173
btc_transaction_growth_7d,target_a_btc_30d_upside,development,3,57,0.006229550294686033,0.22807017543859648
