candidate,method,universe,dynamic_budget,fold,test_groups,fold_sharpe
equal_weight__btc_eth__static,equal_weight,btc_eth,False,0,"0,1",1.7998025478565458
equal_weight__btc_eth__static,equal_weight,btc_eth,False,1,"0,2",0.17093614699019088
equal_weight__btc_eth__static,equal_weight,btc_eth,False,2,"0,3",-0.26892983453285574
equal_weight__btc_eth__static,equal_weight,btc_eth,False,3,"0,4",0.5450584356021864
equal_weight__btc_eth__static,equal_weight,btc_eth,False,4,"0,5",0.4194142059256709
equal_weight__btc_eth__static,equal_weight,btc_eth,False,5,"1,2",1.7479699457956568
equal_weight__btc_eth__static,equal_weight,btc_eth,False,6,"1,3",0.9879684126785878
equal_weight__btc_eth__static,equal_weight,btc_eth,False,7,"1,4",2.194226532422501
equal_weight__btc_eth__static,equal_weight,btc_eth,False,8,"1,5",2.0992569884216246
equal_weight__btc_eth__static,equal_weight,btc_eth,False,9,"2,3",-0.5941757859782042
equal_weight__btc_eth__static,equal_weight,btc_eth,False,10,"2,4",0.23494473848261296
equal_weight__btc_eth__static,equal_weight,btc_eth,False,11,"2,5",0.048336217435910815
equal_weight__btc_eth__static,equal_weight,btc_eth,False,12,"3,4",-0.34198030839001925
equal_weight__btc_eth__static,equal_weight,btc_eth,False,13,"3,5",-0.4547284382798156
equal_weight__btc_eth__static,equal_weight,btc_eth,False,14,"4,5",0.764738685890744
equal_weight__btc_eth__dynamic,equal_weight,btc_eth,True,0,"0,1",1.4717442892903476
equal_weight__btc_eth__dynamic,equal_weight,btc_eth,True,1,"0,2",-0.42707282885286957
equal_weight__btc_eth__dynamic,equal_weight,btc_eth,True,2,"0,3",-0.3141543985803852
equal_weight__btc_eth__dynamic,equal_weight,btc_eth,True,3,"0,4",-0.19140567792948682
equal_weight__btc_eth__dynamic,equal_weight,btc_eth,True,4,"0,5",-0.19140567792948682
equal_weight__btc_eth__dynamic,equal_weight,btc_eth,True,5,"1,2",1.4947751049174134
equal_weight__btc_eth__dynamic,equal_weight,btc_eth,True,6,"1,3",1.648894330395073
equal_weight__btc_eth__dynamic,equal_weight,btc_eth,True,7,"1,4",1.7167771210531686
equal_weight__btc_eth__dynamic,equal_weight,btc_eth,True,8,"1,5",1.7167771210531686
