candidate,method,universe,dynamic_budget,median_fold_sharpe,worst_fold_sharpe,positive_fold_fraction,development_sharpe,development_cagr,development_max_drawdown,development_turnover,development_exposure,development_omega,selection_score
inverse_volatility__btc_eth__static,inverse_volatility,btc_eth,False,0.45062568971139483,-0.6256117848313191,0.7333333333333333,0.6321415843853695,0.1986635195213815,-0.7424127126778646,11.387791735797256,0.47085201793721976,1.142765051128547,0.4408894101702317
inverse_volatility__btc_eth_cash__static,inverse_volatility,btc_eth_cash,False,0.45062568971139483,-0.6256117848313191,0.7333333333333333,0.6321415843853695,0.1986635195213815,-0.7424127126778646,11.387791735797256,0.47085201793721976,1.142765051128547,0.4408894101702317
risk_parity__btc_eth__static,risk_parity,btc_eth,False,0.45062568971139483,-0.6256117848313191,0.7333333333333333,0.6321415843853695,0.1986635195213815,-0.7424127126778646,11.387791735797256,0.47085201793721976,1.142765051128547,0.4408894101702317
risk_parity__btc_eth_cash__static,risk_parity,btc_eth_cash,False,0.45062568971139483,-0.6256117848313191,0.7333333333333333,0.6321415843853695,0.1986635195213815,-0.7424127126778646,11.387791735797256,0.47085201793721976,1.142765051128547,0.4408894101702317
hrp__btc_eth__static,hrp,btc_eth,False,0.45062568971139483,-0.6256117848313191,0.7333333333333333,0.6321415843853695,0.1986635195213815,-0.7424127126778646,11.387791735797256,0.47085201793721976,1.142765051128547,0.4408894101702317
hrp__btc_eth_cash__static,hrp,btc_eth_cash,False,0.45062568971139483,-0.6256117848313191,0.7333333333333333,0.6321415843853695,0.1986635195213815,-0.7424127126778646,11.387791735797256,0.47085201793721976,1.142765051128547,0.4408894101702317
erc__btc_eth__static,erc,btc_eth,False,0.44907408041216534,-0.6240105575262537,0.7333333333333333,0.631420248752202,0.19831918830350137,-0.7423336232241939,11.376875340530958,0.47085201793721976,1.142567631229009,0.43973810769726857
erc__btc_eth_cash__static,erc,btc_eth_cash,False,0.44907408041216534,-0.6240105575262537,0.7333333333333333,0.631420248752202,0.19831918830350137,-0.7423336232241939,11.376875340530958,0.47085201793721976,1.142567631229009,0.43973810769726857
maximum_diversification__btc_eth__static,maximum_diversification,btc_eth,False,0.4490740804121654,-0.6240105575262547,0.7333333333333333,0.6314202487522018,0.19831918830350137,-0.7423336232241939,11.376875340530958,0.47085201793721976,1.1425676312290092,0.4397381076972684
maximum_diversification__btc_eth_cash__static,maximum_diversification,btc_eth_cash,False,0.4490740804121654,-0.6240105575262547,0.7333333333333333,0.6314202487522018,0.19831918830350137,-0.7423336232241939,11.376875340530958,0.47085201793721976,1.1425676312290092,0.4397381076972684
fractional_kelly_0_75__btc_eth__static,fractional_kelly_0_75,btc_eth,False,0.39077095763736047,-0.4712813354244958,0.7333333333333333,0.5727472683841578,0.15269815631993366,-0.6296623418810678,10.748109111950201,0.31342043906031514,1.1416460197031022,0.4196172904479032
fractional_kelly_0_75__btc_eth_cash__static,fractional_kelly_0_75,btc_eth_cash,False,0.39077095763736047,-0.4712813354244958,0.7333333333333333,0.5727472683841578,0.15269815631993366,-0.6296623418810678,10.748109111950201,0.31342043906031514,1.1416460197031022,0.4196172904479032
fractional_kelly_0_25__btc_eth__static,fractional_kelly_0_25,btc_eth,False,0.3944436781242838,-0.49218104145771435,0.7333333333333333,0.5571855102425592,0.06406929697554165,-0.26774667998573654,3.719463959261964,0.10461631633595266,1.1375914593434922,0.4180650844265219
fractional_kelly_0_25__btc_eth_cash__static,fractional_kelly_0_25,btc_eth_cash,False,0.3944436781242838,-0.49218104145771435,0.7333333333333333,0.5571855102425592,0.06406929697554165,-0.26774667998573654,3.719463959261964,0.10461631633595266,1.1375914593434922,0.4180650844265219
fractional_kelly_0_50__btc_eth__static,fractional_kelly_0_50,btc_eth,False,0.3924930966579238,-0.4855128514106956,0.7333333333333333,0.5589465957789603,0.1142914581818193,-0.47412851317288973,7.384661494392405,0.20920343455589915,1.1380405094767447,0.41778155047191656
fractional_kelly_0_50__btc_eth_cash__static,fractional_kelly_0_50,btc_eth_cash,False,0.3924930966579238,-0.4855128514106956,0.7333333333333333,0.5589465957789603,0.1142914581818193,-0.47412851317288973,7.384661494392405,0.20920343455589915,1.1380405094767447,0.41778155047191656
equal_weight__btc_eth__static,equal_weight,btc_eth,False,0.4194142059256709,-0.5941757859782042,0.7333333333333333,0.6180598853907883,0.1918769115264498,-0.7408840487248671,11.184603886397607,0.47085201793721976,1.1389822874404791,0.41753692609778653
equal_weight__btc_eth_cash__static,equal_weight,btc_eth_cash,False,0.4194142059256709,-0.5941757859782042,0.7333333333333333,0.6180598853907883,0.1918769115264498,-0.7408840487248671,11.184603886397607,0.47085201793721976,1.1389822874404791,0.41753692609778653
volatility_targeting__btc_eth__static,volatility_targeting,btc_eth,False,0.41346295286885415,-0.5199553297744002,0.6666666666666666,0.6065442087824793,0.09413308958111077,-0.3695817468765653,4.910955437561411,0.17027595041033786,1.139769925228371,0.4168074537585874
volatility_targeting__btc_eth_cash__static,volatility_targeting,btc_eth_cash,False,0.41346295286885415,-0.5199553297744002,0.6666666666666666,0.6065442087824793,0.09413308958111077,-0.3695817468765653,4.910955437561411,0.17027595041033786,1.139769925228371,0.4168074537585874
probability_weighted__btc_eth__static,probability_weighted,btc_eth,False,0.403786477444746,-0.5891061738209562,0.7333333333333333,0.598118381236636,0.18051618430499672,-0.7390799534476151,11.667731014653725,0.47085201793721976,1.134148848020122,0.4031766006561736
probability_weighted__btc_eth_cash__static,probability_weighted,btc_eth_cash,False,0.403786477444746,-0.5891061738209562,0.7333333333333333,0.598118381236636,0.18051618430499672,-0.7390799534476151,11.667731014653725,0.47085201793721976,1.134148848020122,0.4031766006561736
kelly__btc_eth__static,kelly,btc_eth,False,0.25775435099437316,-0.6003017295244502,0.6666666666666666,0.5436714193056914,0.14922078205115485,-0.7573400702471437,13.266799908709494,0.41854809492524153,1.132253535621342,0.17767225651111923
kelly__btc_eth_cash__static,kelly,btc_eth_cash,False,0.25775435099437316,-0.6003017295244502,0.6666666666666666,0.5436714193056914,0.14922078205115485,-0.7573400702471437,13.266799908709494,0.41854809492524153,1.132253535621342,0.17767225651111923
mean_variance__btc_eth__static,mean_variance,btc_eth,False,0.25214558076683463,-0.7176598033776428,0.6666666666666666,0.49439872806223506,0.12086994667827033,-0.7805661485315942,14.488546774007908,0.4697702673574194,1.1127169295602866,0.08163662455536186
mean_variance__btc_eth_cash__static,mean_variance,btc_eth_cash,False,0.25214558076683463,-0.7176598033776428,0.6666666666666666,0.49439872806223506,0.12086994667827033,-0.7805661485315942,14.488546774007908,0.4697702673574194,1.1127169295602866,0.08163662455536186
confidence_weighted__btc_eth__static,confidence_weighted,btc_eth,False,0.23452539011878842,-0.6804070336192941,0.6666666666666666,0.4995946847727478,0.12509670793389627,-0.7791119029879436,14.327039764444214,0.4704160438465371,1.1123179939113812,0.08140497682508753
confidence_weighted__btc_eth_cash__static,confidence_weighted,btc_eth_cash,False,0.23452539011878842,-0.6804070336192941,0.6666666666666666,0.4995946847727478,0.12509670793389627,-0.7791119029879436,14.327039764444214,0.4704160438465371,1.1123179939113812,0.08140497682508753
expected_return_weighted__btc_eth__static,expected_return_weighted,btc_eth,False,0.22459969533922572,-0.6869357736133135,0.6666666666666666,0.48898607178716263,0.11870668924360928,-0.7789057818451681,14.228565178257817,0.4704160438465371,1.1096569172166943,0.07477082635633982
expected_return_weighted__btc_eth_cash__static,expected_return_weighted,btc_eth_cash,False,0.22459969533922572,-0.6869357736133135,0.6666666666666666,0.48898607178716263,0.11870668924360928,-0.7789057818451681,14.228565178257817,0.4704160438465371,1.1096569172166943,0.07477082635633982
mean_cvar__btc_eth__static,mean_cvar,btc_eth,False,0.23253227426135897,-0.6816302513820216,0.6666666666666666,0.5017013839229127,0.1263488990421342,-0.7792016753608559,14.420837792868035,0.4704160438465371,1.1127726020326691,0.07441615510578516
mean_cvar__btc_eth_cash__static,mean_cvar,btc_eth_cash,False,0.23253227426135897,-0.6816302513820216,0.6666666666666666,0.5017013839229127,0.1263488990421342,-0.7792016753608559,14.420837792868035,0.4704160438465371,1.1127726020326691,0.07441615510578516
inverse_volatility__btc_eth__dynamic,inverse_volatility,btc_eth,True,-0.2254275703457992,-0.735980072193987,0.3333333333333333,0.7229957888392967,0.16445607516753702,-0.2944893222237175,5.672993573672454,0.15738664673642253,1.25535966835029,-0.34275592172762925
inverse_volatility__btc_eth_cash__dynamic,inverse_volatility,btc_eth_cash,True,-0.2254275703457992,-0.735980072193987,0.3333333333333333,0.7229957888392967,0.16445607516753702,-0.2944893222237175,5.672993573672454,0.15738664673642253,1.25535966835029,-0.34275592172762925
risk_parity__btc_eth__dynamic,risk_parity,btc_eth,True,-0.2254275703457992,-0.735980072193987,0.3333333333333333,0.7229957888392967,0.16445607516753702,-0.2944893222237175,5.672993573672454,0.15738664673642253,1.25535966835029,-0.34275592172762925
risk_parity__btc_eth_cash__dynamic,risk_parity,btc_eth_cash,True,-0.2254275703457992,-0.735980072193987,0.3333333333333333,0.7229957888392967,0.16445607516753702,-0.2944893222237175,5.672993573672454,0.15738664673642253,1.25535966835029,-0.34275592172762925
hrp__btc_eth__dynamic,hrp,btc_eth,True,-0.2254275703457992,-0.735980072193987,0.3333333333333333,0.7229957888392967,0.16445607516753702,-0.2944893222237175,5.672993573672454,0.15738664673642253,1.25535966835029,-0.34275592172762925
hrp__btc_eth_cash__dynamic,hrp,btc_eth_cash,True,-0.2254275703457992,-0.735980072193987,0.3333333333333333,0.7229957888392967,0.16445607516753702,-0.2944893222237175,5.672993573672454,0.15738664673642253,1.25535966835029,-0.34275592172762925
maximum_diversification__btc_eth__dynamic,maximum_diversification,btc_eth,True,-0.2267735561361656,-0.735980072193987,0.3333333333333333,0.722227090133151,0.16432803872820934,-0.2947036199389138,5.671156342548562,0.15738664673642253,1.2549245071110626,-0.3441019075179957
maximum_diversification__btc_eth_cash__dynamic,maximum_diversification,btc_eth_cash,True,-0.2267735561361656,-0.735980072193987,0.3333333333333333,0.722227090133151,0.16432803872820934,-0.2947036199389138,5.671156342548562,0.15738664673642253,1.2549245071110626,-0.3441019075179957
erc__btc_eth__dynamic,erc,btc_eth,True,-0.2267735561361662,-0.735980072193987,0.3333333333333333,0.7222270901331513,0.1643280387282089,-0.2947036199389139,5.671156342548562,0.15738664673642253,1.2549245071110628,-0.3441019075179963
erc__btc_eth_cash__dynamic,erc,btc_eth_cash,True,-0.2267735561361662,-0.735980072193987,0.3333333333333333,0.7222270901331513,0.1643280387282089,-0.2947036199389139,5.671156342548562,0.15738664673642253,1.2549245071110628,-0.3441019075179963
equal_weight__btc_eth__dynamic,equal_weight,btc_eth,True,-0.252780038254936,-0.7359800721939869,0.3333333333333333,0.7079885609290202,0.16212790537089772,-0.29876957250041436,5.637767812655705,0.15738664673642253,1.2472921940194375,-0.37010838963676607
equal_weight__btc_eth_cash__dynamic,equal_weight,btc_eth_cash,True,-0.252780038254936,-0.7359800721939869,0.3333333333333333,0.7079885609290202,0.16212790537089772,-0.29876957250041436,5.637767812655705,0.15738664673642253,1.2472921940194375,-0.37010838963676607
probability_weighted__btc_eth__dynamic,probability_weighted,btc_eth,True,-0.27925048556830323,-0.7359800721939873,0.3333333333333333,0.6821669021799126,0.15399219911443485,-0.29880502051201197,5.720112606214768,0.15738664673642253,1.2365585979400275,-0.3965788369501334
probability_weighted__btc_eth_cash__dynamic,probability_weighted,btc_eth_cash,True,-0.27925048556830323,-0.7359800721939873,0.3333333333333333,0.6821669021799126,0.15399219911443485,-0.29880502051201197,5.720112606214768,0.15738664673642253,1.2365585979400275,-0.3965788369501334
volatility_targeting__btc_eth__dynamic,volatility_targeting,btc_eth,True,-0.2806626258310333,-0.7662338724897609,0.3333333333333333,0.7254544660274238,0.06382850228548653,-0.11727810418066398,1.9419245222344423,0.0537985638456432,1.26419223646916,-0.4055544272868069
volatility_targeting__btc_eth_cash__dynamic,volatility_targeting,btc_eth_cash,True,-0.2806626258310333,-0.7662338724897609,0.3333333333333333,0.7254544660274238,0.06382850228548653,-0.11727810418066398,1.9419245222344423,0.0537985638456432,1.26419223646916,-0.4055544272868069
fractional_kelly_0_25__btc_eth__dynamic,fractional_kelly_0_25,btc_eth,True,-0.5085048233526261,-0.7449522689878185,0.3333333333333333,0.5364519364131848,0.03428944702106884,-0.08669308668651554,1.6650305008121309,0.0375679874501348,1.1891216893775207,-0.6280762239329141
fractional_kelly_0_25__btc_eth_cash__dynamic,fractional_kelly_0_25,btc_eth_cash,True,-0.5085048233526261,-0.7449522689878185,0.3333333333333333,0.5364519364131848,0.03428944702106884,-0.08669308668651554,1.6650305008121309,0.0375679874501348,1.1891216893775207,-0.6280762239329141
mean_variance__btc_eth__dynamic,mean_variance,btc_eth,True,-0.5135075690891189,-0.7374388941396086,0.3333333333333333,0.5569909874814486,0.12180459885840289,-0.3251661320027548,6.56677351423577,0.15785207433875892,1.1916370958718578,-0.6312006259573544
mean_variance__btc_eth_cash__dynamic,mean_variance,btc_eth_cash,True,-0.5135075690891189,-0.7374388941396086,0.3333333333333333,0.5569909874814486,0.12180459885840289,-0.3251661320027548,6.56677351423577,0.15785207433875892,1.1916370958718578,-0.6312006259573544
fractional_kelly_0_50__btc_eth__dynamic,fractional_kelly_0_50,btc_eth,True,-0.5115318186745211,-0.7523092645014047,0.3333333333333333,0.535162640885462,0.06465695892297973,-0.16956165607243512,3.3300610016242618,0.0751359749002696,1.1884576035717958,-0.6329424681332056
fractional_kelly_0_50__btc_eth_cash__dynamic,fractional_kelly_0_50,btc_eth_cash,True,-0.5115318186745211,-0.7523092645014047,0.3333333333333333,0.535162640885462,0.06465695892297973,-0.16956165607243512,3.3300610016242618,0.0751359749002696,1.1884576035717958,-0.6329424681332056
confidence_weighted__btc_eth__dynamic,confidence_weighted,btc_eth,True,-0.506613794040627,-0.7719989674886674,0.3333333333333333,0.604415986113022,0.13278551395838156,-0.3105843182938238,5.861904505017844,0.15738664673642253,1.2076258470665964,-0.6329468692461272
confidence_weighted__btc_eth_cash__dynamic,confidence_weighted,btc_eth_cash,True,-0.506613794040627,-0.7719989674886674,0.3333333333333333,0.604415986113022,0.13278551395838156,-0.3105843182938238,5.861904505017844,0.15738664673642253,1.2076258470665964,-0.6329468692461272
expected_return_weighted__btc_eth__dynamic,expected_return_weighted,btc_eth,True,-0.5066649816480953,-0.7803543918474827,0.3333333333333333,0.5919307896372739,0.13048883619983243,-0.31401656909463815,5.9042212226228665,0.15738664673642253,1.201829329581821,-0.6350869129432992
expected_return_weighted__btc_eth_cash__dynamic,expected_return_weighted,btc_eth_cash,True,-0.5066649816480953,-0.7803543918474827,0.3333333333333333,0.5919307896372739,0.13048883619983243,-0.31401656909463815,5.9042212226228665,0.15738664673642253,1.201829329581821,-0.6350869129432992
mean_cvar__btc_eth__dynamic,mean_cvar,btc_eth,True,-0.5090170299821634,-0.7716384094408476,0.3333333333333333,0.6063314837612584,0.13349713826751675,-0.3100242238389068,5.902989590757765,0.15738664673642253,1.2082776631109258,-0.6352599656757086
mean_cvar__btc_eth_cash__dynamic,mean_cvar,btc_eth_cash,True,-0.5090170299821634,-0.7716384094408476,0.3333333333333333,0.6063314837612584,0.13349713826751675,-0.3100242238389068,5.902989590757765,0.15738664673642253,1.2082776631109258,-0.6352599656757086
fractional_kelly_0_75__btc_eth__dynamic,fractional_kelly_0_75,btc_eth,True,-0.5145150830839959,-0.7593239471395677,0.3333333333333333,0.5350758237600544,0.09092818660678392,-0.2486053226539684,4.894319371104207,0.1126167601904748,1.188109699611296,-0.6376794032022212
fractional_kelly_0_75__btc_eth_cash__dynamic,fractional_kelly_0_75,btc_eth_cash,True,-0.5145150830839959,-0.7593239471395677,0.3333333333333333,0.5350758237600544,0.09092818660678392,-0.2486053226539684,4.894319371104207,0.1126167601904748,1.188109699611296,-0.6376794032022212
kelly__btc_eth__dynamic,kelly,btc_eth,True,-0.517455195061407,-0.7597916742167774,0.3333333333333333,0.5701650805226185,0.12348915142591621,-0.3238335160334642,6.308048253440801,0.15184411084660793,1.1989781934424164,-0.6407364469489347
kelly__btc_eth_cash__dynamic,kelly,btc_eth_cash,True,-0.517455195061407,-0.7597916742167774,0.3333333333333333,0.5701650805226185,0.12348915142591621,-0.3238335160334642,6.308048253440801,0.15184411084660793,1.1989781934424164,-0.6407364469489347
