symbol,start,end,observations,missing_days_within_listing_span,missing_percentage_within_listing_span
0G,2025-09-22,2026-06-22,274,0,0.0
1000CAT,2024-12-17,2026-06-22,553,0,0.0
1000CHEEMS,2025-02-09,2026-06-22,499,0,0.0
1000SATS,2023-12-12,2026-06-22,924,0,0.0
1INCH,2020-12-25,2026-06-22,2006,0,0.0
1MBABYDOGE,2024-09-16,2026-06-22,645,0,0.0
2Z,2025-10-02,2026-06-22,264,0,0.0
A,2025-05-28,2026-06-22,391,0,0.0
AAVE,2020-10-15,2026-06-22,2077,0,0.0
ACE,2023-12-18,2026-06-22,918,0,0.0
ACH,2022-01-10,2026-06-22,1625,0,0.0
ACM,2021-02-24,2026-06-22,1945,0,0.0
ACT,2024-11-11,2026-06-22,589,0,0.0
ACX,2024-12-06,2026-06-22,564,0,0.0
ADA,2019-01-01,2026-06-22,2730,0,0.0
ADX,2021-10-29,2026-06-22,1698,0,0.0
AEVO,2024-03-13,2026-06-22,832,0,0.0
AGLD,2021-10-05,2026-06-22,1722,0,0.0
AI,2024-01-04,2026-06-22,901,0,0.0
AIGENSYN,2026-05-14,2026-06-22,40,0,0.0
AIXBT,2025-01-10,2026-06-22,529,0,0.0
ALCX,2021-11-30,2026-06-22,1666,0,0.0
ALGO,2019-06-22,2026-06-22,2558,0,0.0
ALICE,2021-03-15,2026-06-22,1926,0,0.0
ALLO,2025-11-11,2026-06-22,224,0,0.0
ALPINE,2022-02-21,2026-06-22,1583,0,0.0
ALT,2024-01-25,2026-06-22,880,0,0.0
AMP,2021-11-23,2026-06-22,1673,0,0.0
ANIME,2025-01-23,2026-06-22,516,0,0.0
ANKR,2019-07-23,2026-06-22,2527,0,0.0
APE,2022-03-17,2026-06-22,1559,0,0.0
API3,2022-01-21,2026-06-22,1614,0,0.0
APT,2022-10-19,2026-06-22,1343,0,0.0
AR,2021-05-14,2026-06-22,1866,0,0.0
ARB,2023-03-23,2026-06-22,1188,0,0.0
ARDR,2020-05-15,2026-06-22,2230,0,0.0
ARK,2023-09-22,2026-06-22,1005,0,0.0
ARKM,2023-07-18,2026-06-22,1071,0,0.0
ARPA,2019-11-06,2026-06-22,2421,0,0.0
ASR,2020-12-30,2026-06-22,2001,0,0.0
