candidate,universe_size,rebalance_days,momentum_days,top_k,volatility_lookback,target_volatility,median_fold_sharpe,worst_fold_sharpe,positive_fold_fraction,development_sharpe,development_cagr,development_max_drawdown,development_turnover,development_exposure
rm_mom_u20_r14_m21_k3_vol30_tv25,20,14,21,3,30,0.25,1.3522130966958847,-0.40478404548215274,0.8666666666666667,1.2602110850248636,0.3618961860100929,-0.4718466981166165,10.272555949624811,0.28463483808605883
rm_mom_u20_r14_m21_k3_vol30_tv35,20,14,21,3,30,0.35,1.3192609464609972,-0.40034258189074867,0.8666666666666667,1.2344659671184637,0.4812981455929366,-0.6002173141075748,13.354390544266506,0.3938923982304833
rm_mom_u20_r14_m21_k3_vol60_tv25,20,14,21,3,60,0.25,1.2645643796127417,-0.4467439659517236,0.8666666666666667,1.1060901498311666,0.3149919435137791,-0.5123775781192264,10.069673878308276,0.2827565694925319
rm_mom_u30_r7_m21_k3_vol30_tv35,30,7,21,3,30,0.35,1.2486448682289621,-0.38967576249592895,0.8,1.0784110497478092,0.3967846437950351,-0.6430198217311718,19.37043950441346,0.36541272590324425
rm_mom_u20_r14_m21_k3_vol60_tv35,20,14,21,3,60,0.35,1.2457939464948256,-0.4452954461662426,0.8666666666666667,1.0902175244240278,0.42028728868218646,-0.6453962059794154,13.355701177861466,0.39429423575792255
rm_mom_u30_r7_m21_k3_vol30_tv25,30,7,21,3,30,0.25,1.2430849355495237,-0.40838566387283715,0.8,1.0918774274805263,0.2941730177886843,-0.512910879654402,14.440745393951316,0.26358500397969276
rm_mom_u20_r7_m21_k3_vol30_tv25,20,7,21,3,30,0.25,1.216652321247526,-0.7090110250943027,0.7333333333333333,1.1146774716575891,0.3093447199548256,-0.529222750479021,14.885684555206327,0.288865239909242
rm_mom_u10_r7_m63_k3_vol30_tv25,10,7,63,3,30,0.25,1.195275980212783,-0.5050276564844741,0.9333333333333333,1.1367365747811435,0.31668088684052664,-0.4355203160804534,11.161610082190489,0.30962892806385794
rm_mom_u10_r7_m63_k3_vol30_tv35,10,7,63,3,30,0.35,1.1951390612523982,-0.5564680527751588,0.9333333333333333,1.130944377223789,0.43428652189709704,-0.5623460783820156,15.183053812268955,0.4306660327223208
rm_mom_u20_r14_m21_k5_vol30_tv25,20,14,21,5,30,0.25,1.1814402880540156,-0.5356404697728953,0.8,1.1904849913531077,0.33310516622944,-0.45264994897689814,10.176811477251267,0.3156228182716751
rm_mom_u10_r14_m63_k3_vol30_tv25,10,14,63,3,30,0.25,1.1774004540427165,-0.7790010989191188,0.9333333333333333,1.0804291667216188,0.30229069873791836,-0.4457549381854208,7.345666234408881,0.30459639760210994
rm_mom_u10_r14_m63_k3_vol30_tv35,10,14,63,3,30,0.35,1.1646056403054303,-0.841585116736906,0.9333333333333333,1.0850474075735215,0.41702962814745415,-0.5723908491419383,9.902538682803618,0.42425051906139283
rm_mom_u30_r7_m21_k3_vol60_tv35,30,7,21,3,60,0.35,1.1577463018132244,-0.49327650832057446,0.8,0.8850118445571575,0.3099167952028081,-0.6839129150909664,19.388978886930563,0.3680705119050375
rm_mom_u10_r7_m63_k3_vol60_tv35,10,7,63,3,60,0.35,1.1551824758582805,-0.6394429207259653,0.9333333333333333,1.1433865334328417,0.417647100189398,-0.5026873834067151,13.653801593121408,0.402551566840857
rm_mom_u30_r7_m21_k3_vol60_tv25,30,7,21,3,60,0.25,1.1540237329749023,-0.5107534987442974,0.8,0.8828821327398295,0.23231092590007973,-0.5516678739459697,14.171316143781274,0.2630953163079572
rm_mom_u20_r7_m21_k3_vol30_tv35,20,7,21,3,30,0.35,1.1385118317299376,-0.6963693159882784,0.8,1.092789154309342,0.4128978937218186,-0.660224958400764,20.015822087452555,0.4017542992583393
