study,candidate,family,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings
study_1_exposure_sizing,discrete_balanced_0_25_50_75_100,Macro-conditioned exposure sizing,development,25,0.38322921516832675,1.0477883109204158,1.2826455437710305,0.6369621806935252,0.37773339011794266,-0.6016514430276949,0.43568691844553914,0.036535303776683084,0.4849480021893815,0.166875,0.5150519978106185,13.335385878489326,-0.18986802942755676,0.31449521724080176,1.6475095785440612
study_1_exposure_sizing,discrete_balanced_0_25_50_75_100,Macro-conditioned exposure sizing,holdout,25,-0.15009684964958336,-0.36018173598196224,-0.4864815912617031,-0.3270522171306429,0.31444430242345756,-0.458938486846051,0.43866171003717475,0.0362453531598513,0.5353159851301115,0.04875,0.46468401486988853,13.229553903345725,-0.1689279594013231,0.2221368105500654,1.79182156133829
study_1_exposure_sizing,discrete_conservative,Macro-conditioned exposure sizing,development,25,0.2646120691994174,0.9530400604311546,1.1267252680765194,0.4972310004644671,0.29065873367097134,-0.5321713025781605,0.3968253968253968,0.029967159277504107,0.3613847837985769,0.13687500000000002,0.6386152162014231,10.938013136288998,-0.18131889540427637,0.21772804944009017,1.5095785440613028
study_1_exposure_sizing,discrete_conservative,Macro-conditioned exposure sizing,holdout,25,-0.07964199796240712,-0.23323349937276835,-0.31064679788385235,-0.22450168724486885,0.23629625019326525,-0.354750108739895,0.4275092936802974,0.02741635687732342,0.3945167286245353,0.036875,0.6054832713754648,10.00697026022305,-0.12380939995527251,0.1520267285710366,1.7397769516728625
study_1_exposure_sizing,discrete_aggressive,Macro-conditioned exposure sizing,development,25,0.48902071733339936,1.1267495016546514,1.493433861185464,0.735548729591786,0.43913805150121116,-0.6648379606403447,0.524904214559387,0.029967159277504107,0.6113847837985769,0.13687500000000002,0.38861521620142314,10.938013136288998,-0.2812543890087109,0.33351042927611063,2.0
study_1_exposure_sizing,discrete_aggressive,Macro-conditioned exposure sizing,holdout,25,-0.1488939446516554,-0.26135500956714236,-0.3707131618529627,-0.30749448013111047,0.3638704058908444,-0.4842166421594609,0.4962825278810409,0.02741635687732342,0.6445167286245354,0.036875,0.35548327137546465,10.00697026022305,-0.17077445811433134,0.2221368105500654,2.0
study_1_exposure_sizing,continuous_linear_percentile,Macro-conditioned continuous sizing,development,25,0.385039105286167,1.0844262288899489,1.4086779630541935,0.6324637079681878,0.3602619314405927,-0.608792410434298,0.5243568691844553,0.03158170829876849,0.487746968254867,0.14424945265462508,0.512253031745133,11.527323529050497,-0.21595121583686427,0.2985798795226813,2.0
study_1_exposure_sizing,continuous_linear_percentile,Macro-conditioned continuous sizing,holdout,25,-0.14624665960821237,-0.3735281081793657,-0.5213048185217328,-0.33448858944871757,0.30164227906127433,-0.4372246594397933,0.4962825278810409,0.029502729605280557,0.5252195994408531,0.03968117131910236,0.47478040055914694,10.768496305927405,-0.1543673811828581,0.1991866748966198,2.0
study_1_exposure_sizing,continuous_conservative_percentile,Macro-conditioned continuous sizing,development,25,0.2798423861229571,0.9627918882929769,1.2114608420187467,0.5210498108397955,0.3043243110729401,-0.5370741535668627,0.5210727969348659,0.032980665179887986,0.3841768611290507,0.1506391882091384,0.6158231388709493,12.037942790659114,-0.16184116818225824,0.25988921141650834,2.0
study_1_exposure_sizing,continuous_conservative_percentile,Macro-conditioned continuous sizing,holdout,25,-0.09353657208883603,-0.2837015657587468,-0.385275687105604,-0.25290986602175536,0.2425959791618177,-0.3698415311358,0.49256505576208176,0.0320639047627654,0.4098788289307536,0.04312595190591946,0.5901211710692464,11.70332523840937,-0.12720410757521383,0.174106758281249,2.0
