study,candidate,fold,test_groups,fold_sharpe,n_test_weeks
study_1_exposure_sizing,discrete_balanced_0_25_50_75_100,0,"0,1",2.4412294869877784,88
study_1_exposure_sizing,discrete_balanced_0_25_50_75_100,1,"0,2",0.2374602083408784,88
study_1_exposure_sizing,discrete_balanced_0_25_50_75_100,2,"0,3",1.5623654610055895,88
study_1_exposure_sizing,discrete_balanced_0_25_50_75_100,3,"0,4",2.7018697894172923,87
study_1_exposure_sizing,discrete_balanced_0_25_50_75_100,4,"0,5",1.5282362967272027,87
study_1_exposure_sizing,discrete_balanced_0_25_50_75_100,5,"1,2",0.5027765320474883,88
study_1_exposure_sizing,discrete_balanced_0_25_50_75_100,6,"1,3",1.4819455203730867,88
study_1_exposure_sizing,discrete_balanced_0_25_50_75_100,7,"1,4",2.29949364810641,87
study_1_exposure_sizing,discrete_balanced_0_25_50_75_100,8,"1,5",1.4936748863008469,87
study_1_exposure_sizing,discrete_balanced_0_25_50_75_100,9,"2,3",-1.0730465527000888,88
study_1_exposure_sizing,discrete_balanced_0_25_50_75_100,10,"2,4",-0.050381829371788436,87
study_1_exposure_sizing,discrete_balanced_0_25_50_75_100,11,"2,5",-0.8503596132203708,87
study_1_exposure_sizing,discrete_balanced_0_25_50_75_100,12,"3,4",1.35415859956085,87
study_1_exposure_sizing,discrete_balanced_0_25_50_75_100,13,"3,5",0.33753888104950064,87
study_1_exposure_sizing,discrete_balanced_0_25_50_75_100,14,"4,5",1.328768130778883,86
study_1_exposure_sizing,discrete_conservative,0,"0,1",2.4879387083728215,88
study_1_exposure_sizing,discrete_conservative,1,"0,2",0.12742461075258324,88
study_1_exposure_sizing,discrete_conservative,2,"0,3",1.311587542679511,88
study_1_exposure_sizing,discrete_conservative,3,"0,4",2.625195732679439,87
study_1_exposure_sizing,discrete_conservative,4,"0,5",1.5843123405491835,87
study_1_exposure_sizing,discrete_conservative,5,"1,2",0.32566551020457624,88
study_1_exposure_sizing,discrete_conservative,6,"1,3",1.3076798542767998,88
study_1_exposure_sizing,discrete_conservative,7,"1,4",2.3926954683083363,87
study_1_exposure_sizing,discrete_conservative,8,"1,5",1.5603139753853064,87
study_1_exposure_sizing,discrete_conservative,9,"2,3",-1.4251884053661659,88
study_1_exposure_sizing,discrete_conservative,10,"2,4",-0.10703693577958624,87
study_1_exposure_sizing,discrete_conservative,11,"2,5",-0.8710755796977262,87
study_1_exposure_sizing,discrete_conservative,12,"3,4",1.144278995640338,87
study_1_exposure_sizing,discrete_conservative,13,"3,5",0.18799478364947414,87
study_1_exposure_sizing,discrete_conservative,14,"4,5",1.441673149732563,86
study_1_exposure_sizing,discrete_aggressive,0,"0,1",2.6368630721257325,88
study_1_exposure_sizing,discrete_aggressive,1,"0,2",0.24155926472883094,88
study_1_exposure_sizing,discrete_aggressive,2,"0,3",1.5033901714109597,88
study_1_exposure_sizing,discrete_aggressive,3,"0,4",2.6135645617796985,87
study_1_exposure_sizing,discrete_aggressive,4,"0,5",1.5977317339490438,87
study_1_exposure_sizing,discrete_aggressive,5,"1,2",0.6369292784960529,88
study_1_exposure_sizing,discrete_aggressive,6,"1,3",1.6776419698573561,88
study_1_exposure_sizing,discrete_aggressive,7,"1,4",2.575754046644423,87
study_1_exposure_sizing,discrete_aggressive,8,"1,5",1.7657845021343013,87
study_1_exposure_sizing,discrete_aggressive,9,"2,3",-1.0110010002661602,88
study_1_exposure_sizing,discrete_aggressive,10,"2,4",0.005727747586461528,87
study_1_exposure_sizing,discrete_aggressive,11,"2,5",-0.7953084611285298,87
study_1_exposure_sizing,discrete_aggressive,12,"3,4",1.3767406653968979,87
study_1_exposure_sizing,discrete_aggressive,13,"3,5",0.3996019716842931,87
study_1_exposure_sizing,discrete_aggressive,14,"4,5",1.4774492421952754,86
study_1_exposure_sizing,continuous_linear_percentile,0,"0,1",2.5773621693983,88
study_1_exposure_sizing,continuous_linear_percentile,1,"0,2",0.17328763952889736,88
study_1_exposure_sizing,continuous_linear_percentile,2,"0,3",1.5568467621168676,88
study_1_exposure_sizing,continuous_linear_percentile,3,"0,4",2.705419326681923,87
study_1_exposure_sizing,continuous_linear_percentile,4,"0,5",1.5885106823996649,87
study_1_exposure_sizing,continuous_linear_percentile,5,"1,2",0.5047587075024764,88
study_1_exposure_sizing,continuous_linear_percentile,6,"1,3",1.592588161469488,88
study_1_exposure_sizing,continuous_linear_percentile,7,"1,4",2.479115905590156,87
study_1_exposure_sizing,continuous_linear_percentile,8,"1,5",1.642065315320378,87
study_1_exposure_sizing,continuous_linear_percentile,9,"2,3",-1.0574111962157384,88
study_1_exposure_sizing,continuous_linear_percentile,10,"2,4",-0.030041980096848123,87
study_1_exposure_sizing,continuous_linear_percentile,11,"2,5",-0.8289723829901571,87
study_1_exposure_sizing,continuous_linear_percentile,12,"3,4",1.40834127074449,87
study_1_exposure_sizing,continuous_linear_percentile,13,"3,5",0.40804440677414067,87
study_1_exposure_sizing,continuous_linear_percentile,14,"4,5",1.4471483695992917,86
study_1_exposure_sizing,continuous_conservative_percentile,0,"0,1",2.3307305027406207,88
study_1_exposure_sizing,continuous_conservative_percentile,1,"0,2",0.1659925967081783,88
study_1_exposure_sizing,continuous_conservative_percentile,2,"0,3",1.4529268508613369,88
study_1_exposure_sizing,continuous_conservative_percentile,3,"0,4",2.6588388373930636,87
study_1_exposure_sizing,continuous_conservative_percentile,4,"0,5",1.5081736254301257,87
study_1_exposure_sizing,continuous_conservative_percentile,5,"1,2",0.30889646445881,88
study_1_exposure_sizing,continuous_conservative_percentile,6,"1,3",1.2936778559540005,88
study_1_exposure_sizing,continuous_conservative_percentile,7,"1,4",2.231478519262874,87
study_1_exposure_sizing,continuous_conservative_percentile,8,"1,5",1.392739438079208,87
study_1_exposure_sizing,continuous_conservative_percentile,9,"2,3",-1.1982210719765674,88
study_1_exposure_sizing,continuous_conservative_percentile,10,"2,4",0.011315096738937632,87
study_1_exposure_sizing,continuous_conservative_percentile,11,"2,5",-0.7657800540361658,87
study_1_exposure_sizing,continuous_conservative_percentile,12,"3,4",1.3119182510635214,87
study_1_exposure_sizing,continuous_conservative_percentile,13,"3,5",0.3111869074421828,87
study_1_exposure_sizing,continuous_conservative_percentile,14,"4,5",1.3855161867521886,86
study_1_exposure_sizing,continuous_aggressive_percentile,0,"0,1",2.6655995002815702,88
study_1_exposure_sizing,continuous_aggressive_percentile,1,"0,2",0.19620367893907556,88
study_1_exposure_sizing,continuous_aggressive_percentile,2,"0,3",1.5951121455498811,88
study_1_exposure_sizing,continuous_aggressive_percentile,3,"0,4",2.6815782349855075,87
study_1_exposure_sizing,continuous_aggressive_percentile,4,"0,5",1.600822766029403,87
study_1_exposure_sizing,continuous_aggressive_percentile,5,"1,2",0.6544327327771872,88
study_1_exposure_sizing,continuous_aggressive_percentile,6,"1,3",1.7627450090306422,88
study_1_exposure_sizing,continuous_aggressive_percentile,7,"1,4",2.5900393834660513,87
study_1_exposure_sizing,continuous_aggressive_percentile,8,"1,5",1.776529909921369,87
study_1_exposure_sizing,continuous_aggressive_percentile,9,"2,3",-0.8884698349963458,88
study_1_exposure_sizing,continuous_aggressive_percentile,10,"2,4",-0.013943649868439342,87
study_1_exposure_sizing,continuous_aggressive_percentile,11,"2,5",-0.825126860889771,87
study_1_exposure_sizing,continuous_aggressive_percentile,12,"3,4",1.4685244469377456,87
study_1_exposure_sizing,continuous_aggressive_percentile,13,"3,5",0.48880547929644363,87
study_1_exposure_sizing,continuous_aggressive_percentile,14,"4,5",1.4740353787185618,86
study_2_meta_labeling,meta_logistic_55,0,"0,1",1.5972459674431627,88
study_2_meta_labeling,meta_logistic_55,1,"0,2",-0.0633865422714647,88
study_2_meta_labeling,meta_logistic_55,2,"0,3",1.3311346009057672,88
study_2_meta_labeling,meta_logistic_55,3,"0,4",1.1867135413102714,87
study_2_meta_labeling,meta_logistic_55,4,"0,5",1.0992188855599494,87
study_2_meta_labeling,meta_logistic_55,5,"1,2",-0.34453158647455184,88
study_2_meta_labeling,meta_logistic_55,6,"1,3",1.266454695376631,88
study_2_meta_labeling,meta_logistic_55,7,"1,4",1.1545405809543834,87
study_2_meta_labeling,meta_logistic_55,8,"1,5",1.0358762479692036,87
study_2_meta_labeling,meta_logistic_55,9,"2,3",-0.6242349549194484,88
study_2_meta_labeling,meta_logistic_55,10,"2,4",-1.2802952417187339,87
study_2_meta_labeling,meta_logistic_55,11,"2,5",-1.3684679660649952,87
study_2_meta_labeling,meta_logistic_55,12,"3,4",0.719736896270102,87
study_2_meta_labeling,meta_logistic_55,13,"3,5",0.6021623745934264,87
study_2_meta_labeling,meta_logistic_55,14,"4,5",-0.1420716212534374,86
study_2_meta_labeling,meta_logistic_60,0,"0,1",1.4743127194251313,88
study_2_meta_labeling,meta_logistic_60,1,"0,2",-0.043772854370165544,88
study_2_meta_labeling,meta_logistic_60,2,"0,3",1.0958248698613977,88
study_2_meta_labeling,meta_logistic_60,3,"0,4",1.1903545236180926,87
study_2_meta_labeling,meta_logistic_60,4,"0,5",1.082697636697961,87
study_2_meta_labeling,meta_logistic_60,5,"1,2",-0.5064908378310319,88
study_2_meta_labeling,meta_logistic_60,6,"1,3",0.8270221944988349,88
study_2_meta_labeling,meta_logistic_60,7,"1,4",0.9704063349786554,87
study_2_meta_labeling,meta_logistic_60,8,"1,5",0.812563370019609,87
study_2_meta_labeling,meta_logistic_60,9,"2,3",-0.8890982193255021,88
study_2_meta_labeling,meta_logistic_60,10,"2,4",-1.254576177499218,87
study_2_meta_labeling,meta_logistic_60,11,"2,5",-1.364744763073635,87
study_2_meta_labeling,meta_logistic_60,12,"3,4",0.3135540842434068,87
study_2_meta_labeling,meta_logistic_60,13,"3,5",0.16188568307692994,87
study_2_meta_labeling,meta_logistic_60,14,"4,5",-0.2899903319013235,86
study_2_meta_labeling,meta_random_forest_55,0,"0,1",1.6857745470725067,88
study_2_meta_labeling,meta_random_forest_55,1,"0,2",-0.06562151677149519,88
study_2_meta_labeling,meta_random_forest_55,2,"0,3",0.9349369182731697,88
study_2_meta_labeling,meta_random_forest_55,3,"0,4",0.8764320908116574,87
study_2_meta_labeling,meta_random_forest_55,4,"0,5",0.8934147301208047,87
study_2_meta_labeling,meta_random_forest_55,5,"1,2",0.10091953389307606,88
study_2_meta_labeling,meta_random_forest_55,6,"1,3",1.4757355358469366,88
study_2_meta_labeling,meta_random_forest_55,7,"1,4",1.75607332600442,87
study_2_meta_labeling,meta_random_forest_55,8,"1,5",1.7680750735528887,87
study_2_meta_labeling,meta_random_forest_55,9,"2,3",-0.6912956184661586,88
study_2_meta_labeling,meta_random_forest_55,10,"2,4",-1.171622207274325,87
study_2_meta_labeling,meta_random_forest_55,11,"2,5",-1.1365011560218323,87
study_2_meta_labeling,meta_random_forest_55,12,"3,4",0.3525453088337931,87
study_2_meta_labeling,meta_random_forest_55,13,"3,5",0.380924139213696,87
study_2_meta_labeling,meta_random_forest_55,14,"4,5",0.09064175526143353,86
study_2_meta_labeling,meta_random_forest_60,0,"0,1",1.1181885586342706,88
study_2_meta_labeling,meta_random_forest_60,1,"0,2",-0.26476834638708074,88
study_2_meta_labeling,meta_random_forest_60,2,"0,3",0.9143858339765651,88
study_2_meta_labeling,meta_random_forest_60,3,"0,4",0.7763004487214681,87
study_2_meta_labeling,meta_random_forest_60,4,"0,5",0.7835825462959023,87
study_2_meta_labeling,meta_random_forest_60,5,"1,2",-0.6490241936670585,88
study_2_meta_labeling,meta_random_forest_60,6,"1,3",1.0089066584933042,88
study_2_meta_labeling,meta_random_forest_60,7,"1,4",0.9504741669529149,87
study_2_meta_labeling,meta_random_forest_60,8,"1,5",0.9520907499691711,87
study_2_meta_labeling,meta_random_forest_60,9,"2,3",-0.847075984925543,88
study_2_meta_labeling,meta_random_forest_60,10,"2,4",-1.3038181932972248,87
study_2_meta_labeling,meta_random_forest_60,11,"2,5",-1.2799185318512087,87
study_2_meta_labeling,meta_random_forest_60,12,"3,4",0.4931352201981938,87
study_2_meta_labeling,meta_random_forest_60,13,"3,5",0.5049268489377174,87
study_2_meta_labeling,meta_random_forest_60,14,"4,5",0.10885165441734275,86
study_2_meta_labeling,meta_gradient_boosting_55,0,"0,1",1.2102468485362676,88
study_2_meta_labeling,meta_gradient_boosting_55,1,"0,2",-0.3872006388237016,88
study_2_meta_labeling,meta_gradient_boosting_55,2,"0,3",0.3318620471105217,88
study_2_meta_labeling,meta_gradient_boosting_55,3,"0,4",0.6052630818402343,87
study_2_meta_labeling,meta_gradient_boosting_55,4,"0,5",0.5306920933411634,87
study_2_meta_labeling,meta_gradient_boosting_55,5,"1,2",-0.30270799746914573,88
study_2_meta_labeling,meta_gradient_boosting_55,6,"1,3",0.8154196261319415,88
study_2_meta_labeling,meta_gradient_boosting_55,7,"1,4",1.7629708528092611,87
study_2_meta_labeling,meta_gradient_boosting_55,8,"1,5",1.5652052089545172,87
study_2_meta_labeling,meta_gradient_boosting_55,9,"2,3",-1.1403152771653833,88
study_2_meta_labeling,meta_gradient_boosting_55,10,"2,4",-1.08417876038204,87
study_2_meta_labeling,meta_gradient_boosting_55,11,"2,5",-1.1532321338472697,87
study_2_meta_labeling,meta_gradient_boosting_55,12,"3,4",-0.23046913964623503,87
study_2_meta_labeling,meta_gradient_boosting_55,13,"3,5",-0.3527976896157415,87
study_2_meta_labeling,meta_gradient_boosting_55,14,"4,5",0.17095157716526616,86
study_2_meta_labeling,meta_gradient_boosting_60,0,"0,1",1.434658447939041,88
study_2_meta_labeling,meta_gradient_boosting_60,1,"0,2",-0.2947329647152364,88
study_2_meta_labeling,meta_gradient_boosting_60,2,"0,3",0.8001528060061347,88
study_2_meta_labeling,meta_gradient_boosting_60,3,"0,4",0.9539696807119006,87
study_2_meta_labeling,meta_gradient_boosting_60,4,"0,5",0.920535309256823,87
study_2_meta_labeling,meta_gradient_boosting_60,5,"1,2",-0.45023283755493126,88
study_2_meta_labeling,meta_gradient_boosting_60,6,"1,3",1.0230588991058633,88
study_2_meta_labeling,meta_gradient_boosting_60,7,"1,4",1.4398723343880238,87
study_2_meta_labeling,meta_gradient_boosting_60,8,"1,5",1.3864668933187492,87
study_2_meta_labeling,meta_gradient_boosting_60,9,"2,3",-1.0221428001836323,88
study_2_meta_labeling,meta_gradient_boosting_60,10,"2,4",-1.0214895369362853,87
study_2_meta_labeling,meta_gradient_boosting_60,11,"2,5",-1.0514462839344347,87
study_2_meta_labeling,meta_gradient_boosting_60,12,"3,4",0.10958864389382107,87
study_2_meta_labeling,meta_gradient_boosting_60,13,"3,5",0.030074932780772366,87
study_2_meta_labeling,meta_gradient_boosting_60,14,"4,5",0.9973804341775443,86
study_3_asset_selection,asset_speculative_eth,0,"0,1",1.8712222987585716,88
study_3_asset_selection,asset_speculative_eth,1,"0,2",-0.4234718560697206,88
study_3_asset_selection,asset_speculative_eth,2,"0,3",0.7923770431435322,88
study_3_asset_selection,asset_speculative_eth,3,"0,4",2.2100877065078666,87
study_3_asset_selection,asset_speculative_eth,4,"0,5",1.3026855263090333,87
study_3_asset_selection,asset_speculative_eth,5,"1,2",0.21005477140958978,88
study_3_asset_selection,asset_speculative_eth,6,"1,3",1.0295825118893878,88
study_3_asset_selection,asset_speculative_eth,7,"1,4",1.9831032782234215,87
study_3_asset_selection,asset_speculative_eth,8,"1,5",1.3828069186639262,87
study_3_asset_selection,asset_speculative_eth,9,"2,3",-1.644355204673528,88
study_3_asset_selection,asset_speculative_eth,10,"2,4",-0.23177583507576843,87
study_3_asset_selection,asset_speculative_eth,11,"2,5",-1.0196794371773534,87
study_3_asset_selection,asset_speculative_eth,12,"3,4",0.9551495777646521,87
study_3_asset_selection,asset_speculative_eth,13,"3,5",0.10932297029691174,87
study_3_asset_selection,asset_speculative_eth,14,"4,5",1.4470811550920946,86
study_3_asset_selection,asset_conservative_btc,0,"0,1",1.9761424778080698,88
study_3_asset_selection,asset_conservative_btc,1,"0,2",-0.3659495763695187,88
study_3_asset_selection,asset_conservative_btc,2,"0,3",0.8512648262284274,88
