study,candidate,family,description,feature_drivers,median_fold_sharpe,worst_fold_sharpe,best_fold_sharpe,positive_fold_fraction,development_sharpe,development_cagr,development_max_drawdown,development_turnover,development_exposure,selection_score
study_1_exposure_sizing,discrete_aggressive,Macro-conditioned exposure sizing,Aggressive discrete sizing with a 25% minimum exposure.,"vix_level, vix_change, equity_momentum, equity_volatility",1.4774492421952754,-1.0110010002661602,2.6368630721257325,0.8666666666666667,1.1267495016546514,0.48902071733339936,-0.6648379606403447,10.938013136288998,0.6113847837985769,1.6580323254620686
study_1_exposure_sizing,continuous_aggressive_percentile,Macro-conditioned continuous sizing,Continuous exposure = percentile(macro risk score)^0.7.,"vix_level, vix_change, equity_momentum, equity_volatility",1.4740353787185618,-0.8884698349963458,2.6815782349855075,0.8,1.1617175256248768,0.4810709744879227,-0.6526781465743321,10.477819427547004,0.5788329159153579,1.6519179199694753
study_1_exposure_sizing,continuous_linear_percentile,Macro-conditioned continuous sizing,Continuous exposure = percentile(macro risk score)^1.,"vix_level, vix_change, equity_momentum, equity_volatility",1.4471483695992917,-1.0574111962157384,2.705419326681923,0.8,1.0844262288899489,0.385039105286167,-0.608792410434298,11.527323529050497,0.487746968254867,1.5827955705453571
study_1_exposure_sizing,continuous_conservative_percentile,Macro-conditioned continuous sizing,Continuous exposure = percentile(macro risk score)^1.5.,"vix_level, vix_change, equity_momentum, equity_volatility",1.3119182510635214,-1.1982210719765674,2.6588388373930636,0.8666666666666667,0.9627918882929769,0.2798423861229571,-0.5370741535668627,12.037942790659114,0.3841768611290507,1.4437991768697573
study_1_exposure_sizing,discrete_balanced_0_25_50_75_100,Macro-conditioned exposure sizing,Discrete balanced sizing across 0/25/50/75/100%.,"vix_level, vix_change, equity_momentum, equity_volatility",1.35415859956085,-1.0730465527000888,2.7018697894172923,0.8,1.0477883109204158,0.38322921516832675,-0.6016514430276949,13.335385878489326,0.4849480021893815,1.4191276674613613
study_1_exposure_sizing,discrete_conservative,Macro-conditioned exposure sizing,Conservative discrete sizing; rarely reaches full exposure.,"vix_level, vix_change, equity_momentum, equity_volatility",1.3076798542767998,-1.4251884053661659,2.625195732679439,0.8,0.9530400604311546,0.2646120691994174,-0.5321713025781605,10.938013136288998,0.3613847837985769,1.3513827529352582
study_2_meta_labeling,meta_gradient_boosting_60,Meta-labeling take/reduce/skip,gradient_boosting predicts whether the next frozen signal beats cash; threshold 0.6.,"vix_level, vix_change_5d, vix_change_21d, equity_momentum_21d, equity_realized_vol_21d, dow_vol_level, volatility_expansion_probability, cross_sectional_dispersion, stablecoin_supply_change_7d, tvl_growth_30d",0.8001528060061347,-1.0514462839344347,1.4398723343880238,0.6666666666666666,0.10156604478418572,-0.00672475351862678,-0.5217096612126452,6.892446633825944,0.12643678160919541,0.8706245683558593
study_2_meta_labeling,meta_logistic_55,Meta-labeling take/reduce/skip,logistic predicts whether the next frozen signal beats cash; threshold 0.55.,"vix_level, vix_change_5d, vix_change_21d, equity_momentum_21d, equity_realized_vol_21d, dow_vol_level, volatility_expansion_probability, cross_sectional_dispersion, stablecoin_supply_change_7d, tvl_growth_30d",0.719736896270102,-1.3684679660649952,1.5972459674431627,0.6,0.3956138287269424,0.07803544293591846,-0.6853545920682659,6.892446633825944,0.34195402298850575,0.6776199047538531
study_2_meta_labeling,meta_random_forest_60,Meta-labeling take/reduce/skip,random_forest predicts whether the next frozen signal beats cash; threshold 0.6.,"vix_level, vix_change_5d, vix_change_21d, equity_momentum_21d, equity_realized_vol_21d, dow_vol_level, volatility_expansion_probability, cross_sectional_dispersion, stablecoin_supply_change_7d, tvl_growth_30d",0.5049268489377174,-1.3038181932972248,1.1181885586342706,0.6666666666666666,0.16142742154156137,-0.024063283526230994,-0.7006055523525718,7.991242474001094,0.29310344827586204,0.5123056339467446
study_2_meta_labeling,meta_random_forest_55,Meta-labeling take/reduce/skip,random_forest predicts whether the next frozen signal beats cash; threshold 0.55.,"vix_level, vix_change_5d, vix_change_21d, equity_momentum_21d, equity_realized_vol_21d, dow_vol_level, volatility_expansion_probability, cross_sectional_dispersion, stablecoin_supply_change_7d, tvl_growth_30d",0.380924139213696,-1.171622207274325,1.7680750735528887,0.7333333333333333,0.44104973609422665,0.0943888512688702,-0.6739557904254802,7.991242474001094,0.35153256704980845,0.4546852540617814
study_2_meta_labeling,meta_logistic_60,Meta-labeling take/reduce/skip,logistic predicts whether the next frozen signal beats cash; threshold 0.6.,"vix_level, vix_change_5d, vix_change_21d, equity_momentum_21d, equity_realized_vol_21d, dow_vol_level, volatility_expansion_probability, cross_sectional_dispersion, stablecoin_supply_change_7d, tvl_growth_30d",0.3135540842434068,-1.364744763073635,1.4743127194251313,0.6,0.24658086281669944,0.013905129393531945,-0.6903819823672939,6.492884510125889,0.31800766283524906,0.27236789347499807
study_2_meta_labeling,meta_gradient_boosting_55,Meta-labeling take/reduce/skip,gradient_boosting predicts whether the next frozen signal beats cash; threshold 0.55.,"vix_level, vix_change_5d, vix_change_21d, equity_momentum_21d, equity_realized_vol_21d, dow_vol_level, volatility_expansion_probability, cross_sectional_dispersion, stablecoin_supply_change_7d, tvl_growth_30d",0.17095157716526616,-1.1532321338472697,1.7629708528092611,0.5333333333333333,0.03762175053418889,-0.03840498808207127,-0.6181742798638303,8.191023535851121,0.16187739463601533,0.14931021037011538
study_3_asset_selection,asset_btc_uncertain_eth_strong,Regime-dependent BTC vs ETH allocation,Asset allocation mode: btc_uncertain_eth_strong.,lagged macro Tier 1 features,0.9736571407883369,-1.6410127718193084,2.190022073194312,0.7333333333333333,0.6871918618022387,0.2403058643655025,-0.7839324492330552,22.183714290313826,0.6735152388194343,0.4208848999844851
study_3_asset_selection,asset_conservative_btc,Regime-dependent BTC vs ETH allocation,Asset allocation mode: conservative_btc.,lagged macro Tier 1 features,0.9466982674834802,-1.6466025469104668,2.245801568290376,0.7333333333333333,0.800186080180057,0.31446667382526394,-0.7954576364008775,22.061098717412104,0.6907047382366229,0.39865936155192483
study_3_asset_selection,asset_eth_when_low_vol,Regime-dependent BTC vs ETH allocation,Asset allocation mode: eth_low_vol.,lagged macro Tier 1 features,0.9978127095865604,-1.6746101380629415,2.384443311214076,0.7333333333333333,0.8472083105830825,0.35190078498506616,-0.7959897644235172,25.31987002678033,0.6859024917457207,0.2798333403984753
study_3_asset_selection,asset_speculative_eth,Regime-dependent BTC vs ETH allocation,Asset allocation mode: speculative_eth.,lagged macro Tier 1 features,0.9551495777646521,-1.644355204673528,2.2100877065078666,0.7333333333333333,0.7370042960192247,0.27330397871164847,-0.7893446730306004,25.44817463139738,0.6759251092364098,0.23831871169306784
study_4_dynamic_horizon,fixed_momentum_126d,Regime-dependent momentum horizon,"Momentum horizons by regime: {'risk_on': 126, 'neutral': 126}.",macro regime score plus BTC/ETH momentum,1.296429376532211,-1.6524192413163852,2.745817206481396,0.8,1.1654627804041078,0.6428087787296863,-0.8225230097534428,16.09566190295522,0.6858531974471669,1.0785414710553536
study_4_dynamic_horizon,fixed_momentum_42d,Regime-dependent momentum horizon,"Momentum horizons by regime: {'risk_on': 42, 'neutral': 42}.",macro regime score plus BTC/ETH momentum,1.2891621831245812,-1.464331929085809,2.417243323839905,0.8,0.932729080252689,0.42875871337681004,-0.7955963201232628,18.89412169941302,0.6798070728647475,0.9783731158824781
