candidate,universe_size,rebalance_days,momentum_signal,top_k,threshold_set,risk_on_votes,neutral_policy,median_fold_sharpe,worst_fold_sharpe,positive_fold_fraction,development_sharpe,development_cagr,development_max_drawdown,development_turnover,development_exposure
u10_r7_momentum_63d_k3_balanced_v4_reduced_momentum,10,7,momentum_63d,3,balanced,4,reduced_momentum,1.7532277734623563,-0.39330687200330805,0.8,1.552869064878817,0.6276168239076192,-0.45431178481719203,12.864597463173173,0.2499345565312582
u50_r7_momentum_126d_k10_strict_v3_reduced_momentum,50,7,momentum_126d,10,strict,3,reduced_momentum,1.7424301244857348,0.06760447443077834,1.0,1.653199482399744,1.3204537022375118,-0.524687287940651,19.077695877201457,0.42743917490367794
u50_r14_momentum_63d_k10_strict_v3_btc_eth,50,14,momentum_63d,10,strict,3,btc_eth,1.7296116439392093,-0.30542191402541735,0.8,1.6809063817284857,1.136717504648912,-0.5628614726543738,12.036647707111097,0.4094784183083867
u50_r7_momentum_63d_k10_strict_v3_btc_eth,50,7,momentum_63d,10,strict,3,btc_eth,1.7121613371605038,-0.19409436476501957,0.8,1.657560462208775,1.2127722866574517,-0.5006879508285417,21.550791927821606,0.414421833004952
u30_r7_momentum_21d_k3_balanced_v3_btc_eth,30,7,momentum_21d,3,balanced,3,btc_eth,1.6971947431683352,-0.572978327766363,0.8,1.4307404953286371,0.8491159301216591,-0.7617774700738651,24.987504890718633,0.4371497586027345
u10_r7_momentum_21d_k10_balanced_v4_btc_eth,10,7,momentum_21d,10,balanced,4,btc_eth,1.6826347435820894,-0.7180086357866914,0.8666666666666667,1.5365795967053708,0.5584436909998138,-0.46871103005181114,11.949215412141378,0.29644705609432015
u10_r7_momentum_63d_k10_balanced_v4_btc_eth,10,7,momentum_63d,10,balanced,4,btc_eth,1.6826347435820894,-0.7180086357866914,0.8666666666666667,1.5365795967053708,0.5584436909998138,-0.46871103005181114,11.949215412141378,0.29644705609432015
u10_r7_momentum_126d_k10_balanced_v4_btc_eth,10,7,momentum_126d,10,balanced,4,btc_eth,1.6826347435820894,-0.7180086357866914,0.8666666666666667,1.5365795967053708,0.5584436909998138,-0.46871103005181114,11.949215412141378,0.29644705609432015
u10_r7_volatility_adjusted_momentum_k10_balanced_v4_btc_eth,10,7,volatility_adjusted_momentum,10,balanced,4,btc_eth,1.6826347435820894,-0.7180086357866914,0.8666666666666667,1.5365795967053708,0.5584436909998138,-0.46871103005181114,11.949215412141378,0.29644705609432015
u10_r7_momentum_21d_k3_balanced_v4_btc_eth,10,7,momentum_21d,3,balanced,4,btc_eth,1.6697485232312264,-0.18292861580308806,0.8666666666666667,1.6875555325625597,0.5338008078057834,-0.3158601817770459,11.742088118816632,0.2498980957584143
u50_r7_volatility_adjusted_momentum_k10_strict_v3_btc_eth,50,7,volatility_adjusted_momentum,10,strict,3,btc_eth,1.650775808962666,-0.16152849034420355,0.8,1.6124709909406578,1.0281051763851026,-0.4874688778779961,22.04857583096573,0.4175754827628845
u20_r7_momentum_21d_k5_balanced_v4_btc_eth,20,7,momentum_21d,5,balanced,4,btc_eth,1.6505787747176592,-0.40686165967225596,0.8666666666666667,1.522090007644386,0.5847495687688893,-0.4081099500849883,13.821153817827216,0.2896636616349488
u20_r7_momentum_63d_k5_strict_v3_btc_eth,20,7,momentum_63d,5,strict,3,btc_eth,1.629020662229859,-0.28575995646357516,0.8666666666666667,1.3082186923318477,0.7442584249935773,-0.5005096881569241,20.494516060296906,0.42883867981368695
u50_r7_momentum_126d_k10_strict_v3_btc_eth,50,7,momentum_126d,10,strict,3,btc_eth,1.6244631065676138,-0.03320725386979892,0.8666666666666667,1.5591688535430575,1.0933956062488557,-0.527005970357171,20.844935671329388,0.41599873132540843
u10_r7_volatility_adjusted_momentum_k3_balanced_v4_btc_eth,10,7,volatility_adjusted_momentum,3,balanced,4,btc_eth,1.6175140175545528,-0.40268236679337865,0.8666666666666667,1.6317564311009696,0.5150844442597362,-0.3349571769830837,11.504267289397715,0.24999883982374604
u10_r7_momentum_63d_k3_strict_v3_btc_eth,10,7,momentum_63d,3,strict,3,btc_eth,1.6173055386031816,-0.48656291705300697,0.8666666666666667,1.4352169383207867,0.6104427823816392,-0.5002093660709496,17.028416643564423,0.324934069761656
u20_r7_momentum_21d_k3_balanced_v4_btc_eth,20,7,momentum_21d,3,balanced,4,btc_eth,1.613957229220466,-0.15203101308863873,0.9333333333333333,1.601018690251214,0.5549135898766251,-0.34588764480256706,12.289432170263813,0.25079322271845006
u30_r7_momentum_21d_k5_balanced_v4_reduced_momentum,30,7,momentum_21d,5,balanced,4,reduced_momentum,1.6078803488790556,-0.7194133529694896,0.8,1.2982214343162461,0.6010001812584818,-0.7126051151024217,17.920769706786146,0.28606406612448776
u30_r7_momentum_21d_k5_balanced_v4_btc_eth,30,7,momentum_21d,5,balanced,4,btc_eth,1.5987427409957684,-0.13576537790971935,0.8666666666666667,1.4175587669505207,0.5590884207109097,-0.5070828214938476,14.360254660753634,0.28110171796844047
u10_r7_momentum_21d_k10_balanced_v4_reduced_momentum,10,7,momentum_21d,10,balanced,4,reduced_momentum,1.5863849035457476,-0.8471980716653451,0.8666666666666667,1.42351157237543,0.555923912160198,-0.5621157371451273,10.828133552271481,0.2987137383689108
