config,target,split,bin,observations,mean_probability,event_rate
btc_eth_upward_trend__t1_0__elastic_net_logistic,btc_eth_upward_trend,development_cpcv,1,29,0.10497745918574723,0.41379310344827586
btc_eth_upward_trend__t1_0__elastic_net_logistic,btc_eth_upward_trend,development_cpcv,2,29,0.2854298397572904,0.4827586206896552
btc_eth_upward_trend__t1_0__elastic_net_logistic,btc_eth_upward_trend,development_cpcv,3,28,0.3988605037865443,0.5714285714285714
btc_eth_upward_trend__t1_0__elastic_net_logistic,btc_eth_upward_trend,development_cpcv,4,29,0.4687867280173256,0.5862068965517241
btc_eth_upward_trend__t1_0__elastic_net_logistic,btc_eth_upward_trend,development_cpcv,5,29,0.5283083365882287,0.6206896551724138
btc_eth_upward_trend__t1_0__elastic_net_logistic,btc_eth_upward_trend,development_cpcv,6,28,0.595863414397633,0.7142857142857143
btc_eth_upward_trend__t1_0__elastic_net_logistic,btc_eth_upward_trend,development_cpcv,7,29,0.6591669138813878,0.7241379310344828
btc_eth_upward_trend__t1_0__elastic_net_logistic,btc_eth_upward_trend,development_cpcv,8,28,0.7234351283021899,0.6071428571428571
btc_eth_upward_trend__t1_0__elastic_net_logistic,btc_eth_upward_trend,development_cpcv,9,29,0.794364685116204,0.6206896551724138
btc_eth_upward_trend__t1_0__elastic_net_logistic,btc_eth_upward_trend,development_cpcv,10,29,0.9173403424908734,0.7586206896551724
btc_eth_upward_trend__t1_0__elastic_net_logistic,btc_eth_upward_trend,holdout,1,8,0.11205362114076473,0.625
btc_eth_upward_trend__t1_0__elastic_net_logistic,btc_eth_upward_trend,holdout,2,8,0.22874384208103965,0.5
btc_eth_upward_trend__t1_0__elastic_net_logistic,btc_eth_upward_trend,holdout,3,7,0.32353868199345565,0.14285714285714285
btc_eth_upward_trend__t1_0__elastic_net_logistic,btc_eth_upward_trend,holdout,4,8,0.40713711338664205,0.5
btc_eth_upward_trend__t1_0__elastic_net_logistic,btc_eth_upward_trend,holdout,5,7,0.47109511946001964,0.2857142857142857
btc_eth_upward_trend__t1_0__elastic_net_logistic,btc_eth_upward_trend,holdout,6,8,0.5197548366174094,0.125
btc_eth_upward_trend__t1_0__elastic_net_logistic,btc_eth_upward_trend,holdout,7,7,0.5785425482398098,0.42857142857142855
btc_eth_upward_trend__t1_0__elastic_net_logistic,btc_eth_upward_trend,holdout,8,8,0.6249160404246239,0.375
btc_eth_upward_trend__t1_0__elastic_net_logistic,btc_eth_upward_trend,holdout,9,7,0.6841920992469422,0.5714285714285714
btc_eth_upward_trend__t1_0__elastic_net_logistic,btc_eth_upward_trend,holdout,10,8,0.7568959000115185,0.625
btc_upward_trend__t1_0__random_forest,btc_upward_trend,development_cpcv,1,29,0.3721743975815109,0.3793103448275862
btc_upward_trend__t1_0__random_forest,btc_upward_trend,development_cpcv,2,29,0.43262767028048615,0.5517241379310345
btc_upward_trend__t1_0__random_forest,btc_upward_trend,development_cpcv,3,28,0.46496793964647815,0.7857142857142857
btc_upward_trend__t1_0__random_forest,btc_upward_trend,development_cpcv,4,29,0.48859756520492836,0.5862068965517241
btc_upward_trend__t1_0__random_forest,btc_upward_trend,development_cpcv,5,29,0.5164351714208782,0.7241379310344828
btc_upward_trend__t1_0__random_forest,btc_upward_trend,development_cpcv,6,28,0.5344574475518155,0.5
btc_upward_trend__t1_0__random_forest,btc_upward_trend,development_cpcv,7,29,0.5493702793129138,0.6551724137931034
btc_upward_trend__t1_0__random_forest,btc_upward_trend,development_cpcv,8,28,0.5709952081836591,0.6785714285714286
btc_upward_trend__t1_0__random_forest,btc_upward_trend,development_cpcv,9,29,0.6078148854596107,0.6206896551724138
btc_upward_trend__t1_0__random_forest,btc_upward_trend,development_cpcv,10,29,0.6751694468808812,0.41379310344827586
btc_upward_trend__t1_0__random_forest,btc_upward_trend,holdout,1,8,0.35731003124852906,0.375
btc_upward_trend__t1_0__random_forest,btc_upward_trend,holdout,2,8,0.41926631333354014,1.0
btc_upward_trend__t1_0__random_forest,btc_upward_trend,holdout,3,7,0.47822502072103346,0.42857142857142855
btc_upward_trend__t1_0__random_forest,btc_upward_trend,holdout,4,8,0.5033782528974668,0.375
btc_upward_trend__t1_0__random_forest,btc_upward_trend,holdout,5,7,0.5235506788392589,0.42857142857142855
btc_upward_trend__t1_0__random_forest,btc_upward_trend,holdout,6,8,0.5465625349896971,0.625
btc_upward_trend__t1_0__random_forest,btc_upward_trend,holdout,7,7,0.5562302036459565,0.42857142857142855
btc_upward_trend__t1_0__random_forest,btc_upward_trend,holdout,8,8,0.5761278975428863,0.625
btc_upward_trend__t1_0__random_forest,btc_upward_trend,holdout,9,7,0.5947796814362051,0.2857142857142857
btc_upward_trend__t1_0__random_forest,btc_upward_trend,holdout,10,8,0.6228582478837463,0.0
eth_upward_trend__t1_0__elastic_net_logistic,eth_upward_trend,development_cpcv,1,29,0.09430313575968655,0.2413793103448276
eth_upward_trend__t1_0__elastic_net_logistic,eth_upward_trend,development_cpcv,2,29,0.2511650124707993,0.6206896551724138
eth_upward_trend__t1_0__elastic_net_logistic,eth_upward_trend,development_cpcv,3,28,0.3809988799467155,0.4642857142857143
eth_upward_trend__t1_0__elastic_net_logistic,eth_upward_trend,development_cpcv,4,29,0.46926404253193016,0.6206896551724138
eth_upward_trend__t1_0__elastic_net_logistic,eth_upward_trend,development_cpcv,5,29,0.5273008342035514,0.6896551724137931
eth_upward_trend__t1_0__elastic_net_logistic,eth_upward_trend,development_cpcv,6,28,0.5890662613867163,0.5357142857142857
eth_upward_trend__t1_0__elastic_net_logistic,eth_upward_trend,development_cpcv,7,29,0.6529248802449417,0.6206896551724138
eth_upward_trend__t1_0__elastic_net_logistic,eth_upward_trend,development_cpcv,8,28,0.7112465714536578,0.6428571428571429
eth_upward_trend__t1_0__elastic_net_logistic,eth_upward_trend,development_cpcv,9,29,0.7901961615317399,0.6206896551724138
eth_upward_trend__t1_0__elastic_net_logistic,eth_upward_trend,development_cpcv,10,29,0.9140559817484483,0.896551724137931
eth_upward_trend__t1_0__elastic_net_logistic,eth_upward_trend,holdout,1,8,0.0941860460565158,0.5
eth_upward_trend__t1_0__elastic_net_logistic,eth_upward_trend,holdout,2,8,0.23858526427305735,0.25
eth_upward_trend__t1_0__elastic_net_logistic,eth_upward_trend,holdout,3,7,0.36480852888567367,0.14285714285714285
eth_upward_trend__t1_0__elastic_net_logistic,eth_upward_trend,holdout,4,8,0.44320823294448575,0.25
eth_upward_trend__t1_0__elastic_net_logistic,eth_upward_trend,holdout,5,7,0.5265515933297835,0.42857142857142855
eth_upward_trend__t1_0__elastic_net_logistic,eth_upward_trend,holdout,6,8,0.5649657079250683,0.5
eth_upward_trend__t1_0__elastic_net_logistic,eth_upward_trend,holdout,7,7,0.6091654640961232,0.2857142857142857
eth_upward_trend__t1_0__elastic_net_logistic,eth_upward_trend,holdout,8,8,0.6762614258037274,0.5
eth_upward_trend__t1_0__elastic_net_logistic,eth_upward_trend,holdout,9,7,0.7124149961465494,0.42857142857142855
eth_upward_trend__t1_0__elastic_net_logistic,eth_upward_trend,holdout,10,8,0.8084058719955313,0.75
eth_vs_btc_relative_trend__t1_0__random_forest,eth_vs_btc_relative_trend,development_cpcv,1,29,0.31460882502811843,0.2413793103448276
eth_vs_btc_relative_trend__t1_0__random_forest,eth_vs_btc_relative_trend,development_cpcv,2,29,0.375444724081277,0.27586206896551724
eth_vs_btc_relative_trend__t1_0__random_forest,eth_vs_btc_relative_trend,development_cpcv,3,28,0.40209246470983395,0.2857142857142857
eth_vs_btc_relative_trend__t1_0__random_forest,eth_vs_btc_relative_trend,development_cpcv,4,29,0.42996716087029563,0.4827586206896552
eth_vs_btc_relative_trend__t1_0__random_forest,eth_vs_btc_relative_trend,development_cpcv,5,29,0.45487448021949595,0.4827586206896552
eth_vs_btc_relative_trend__t1_0__random_forest,eth_vs_btc_relative_trend,development_cpcv,6,28,0.476106728423947,0.39285714285714285
