config,model,feature,importance,method,fold,target,label_tstat_threshold,exploratory_model
btc_upward_trend__t1_0__logistic_regression,logistic_regression,distance_from_90d_lows,1.2041889160362127,coefficient,0.0,btc_upward_trend,1.0,
btc_upward_trend__t1_0__logistic_regression,logistic_regression,cross_sectional_dispersion,-0.9507419489496893,coefficient,0.0,btc_upward_trend,1.0,
btc_upward_trend__t1_0__logistic_regression,logistic_regression,risk_appetite_recovery_score,-0.6830245780324414,coefficient,0.0,btc_upward_trend,1.0,
btc_upward_trend__t1_0__logistic_regression,logistic_regression,tvl_percentile,-0.670099995629747,coefficient,0.0,btc_upward_trend,1.0,
btc_upward_trend__t1_0__logistic_regression,logistic_regression,recovery_from_drawdown,-0.5584354309987251,coefficient,0.0,btc_upward_trend,1.0,
btc_upward_trend__t1_0__logistic_regression,logistic_regression,equity_momentum_21d,0.5257275454585522,coefficient,0.0,btc_upward_trend,1.0,
btc_upward_trend__t1_0__logistic_regression,logistic_regression,eth_btc_relative_strength_30d,-0.4981249409801765,coefficient,0.0,btc_upward_trend,1.0,
btc_upward_trend__t1_0__logistic_regression,logistic_regression,falling_vix_after_high_vix,0.4164840346996455,coefficient,0.0,btc_upward_trend,1.0,
btc_upward_trend__t1_0__logistic_regression,logistic_regression,volatility_expansion_probability,-0.41448447627667473,coefficient,0.0,btc_upward_trend,1.0,
btc_upward_trend__t1_0__logistic_regression,logistic_regression,vix_change_21d,0.39240707773874656,coefficient,0.0,btc_upward_trend,1.0,
btc_upward_trend__t1_0__logistic_regression,logistic_regression,upside_semivariance,0.37533375965405924,coefficient,0.0,btc_upward_trend,1.0,
btc_upward_trend__t1_0__logistic_regression,logistic_regression,volatility_4h_7d,-0.35399331749306573,coefficient,0.0,btc_upward_trend,1.0,
btc_upward_trend__t1_0__logistic_regression,logistic_regression,stablecoin_supply_percentile,0.35104853707469047,coefficient,0.0,btc_upward_trend,1.0,
btc_upward_trend__t1_0__logistic_regression,logistic_regression,equity_realized_vol_21d,-0.3090565566437566,coefficient,0.0,btc_upward_trend,1.0,
btc_upward_trend__t1_0__logistic_regression,logistic_regression,volatility_of_volatility,0.28235346038272346,coefficient,0.0,btc_upward_trend,1.0,
btc_upward_trend__t1_0__logistic_regression,logistic_regression,combined_crypto_liquidity_impulse,-0.279738172274538,coefficient,0.0,btc_upward_trend,1.0,
btc_upward_trend__t1_0__logistic_regression,logistic_regression,downside_to_upside_volatility_ratio,0.2719694760394016,coefficient,0.0,btc_upward_trend,1.0,
btc_upward_trend__t1_0__logistic_regression,logistic_regression,market_dollar_volume_growth_30d,0.2620465625128832,coefficient,0.0,btc_upward_trend,1.0,
btc_upward_trend__t1_0__logistic_regression,logistic_regression,dow_vol_level,0.21996155710329118,coefficient,0.0,btc_upward_trend,1.0,
btc_upward_trend__t1_0__logistic_regression,logistic_regression,tvl_acceleration,0.21428625276441776,coefficient,0.0,btc_upward_trend,1.0,
btc_upward_trend__t1_0__logistic_regression,logistic_regression,vix_change_5d,0.19999876533240699,coefficient,0.0,btc_upward_trend,1.0,
btc_upward_trend__t1_0__logistic_regression,logistic_regression,stablecoin_supply_change_7d,0.18597801035191416,coefficient,0.0,btc_upward_trend,1.0,
