config,target,rank_correlation_proxy
btc_upward_trend__t1_0__logistic_regression,btc_upward_trend,7.1119521294964745
btc_upward_trend__t1_0__elastic_net_logistic,btc_upward_trend,7.381133327620388
btc_upward_trend__t1_0__random_forest,btc_upward_trend,5.709727493829738
btc_upward_trend__t1_0__gradient_boosting,btc_upward_trend,6.113947538892465
btc_upward_trend__t1_0__sgd_classifier,btc_upward_trend,7.7346866708108495
btc_upward_trend__t1_0__xgboost,btc_upward_trend,7.3820077162116
btc_upward_trend__t1_0__shallow_mlp_exploratory,btc_upward_trend,0.0
btc_upward_trend__t1_5__logistic_regression,btc_upward_trend,7.1119521294964745
btc_upward_trend__t1_5__elastic_net_logistic,btc_upward_trend,7.381133327620388
btc_upward_trend__t1_5__random_forest,btc_upward_trend,5.709727493829738
btc_upward_trend__t1_5__gradient_boosting,btc_upward_trend,6.113947538892465
btc_upward_trend__t1_5__sgd_classifier,btc_upward_trend,7.7346866708108495
btc_upward_trend__t1_5__xgboost,btc_upward_trend,7.3820077162116
btc_upward_trend__t1_5__shallow_mlp_exploratory,btc_upward_trend,0.0
btc_upward_trend__t2_0__logistic_regression,btc_upward_trend,7.289938403595906
btc_upward_trend__t2_0__elastic_net_logistic,btc_upward_trend,7.543945894341023
btc_upward_trend__t2_0__random_forest,btc_upward_trend,5.665805378323911
btc_upward_trend__t2_0__gradient_boosting,btc_upward_trend,6.083379789501311
btc_upward_trend__t2_0__sgd_classifier,btc_upward_trend,7.573540488101086
btc_upward_trend__t2_0__xgboost,btc_upward_trend,7.503339435885485
btc_upward_trend__t2_0__shallow_mlp_exploratory,btc_upward_trend,0.0
eth_upward_trend__t1_0__logistic_regression,eth_upward_trend,6.381375054551773
eth_upward_trend__t1_0__elastic_net_logistic,eth_upward_trend,6.5564492126577285
eth_upward_trend__t1_0__random_forest,eth_upward_trend,5.633656422349457
eth_upward_trend__t1_0__gradient_boosting,eth_upward_trend,6.581487919884748
eth_upward_trend__t1_0__sgd_classifier,eth_upward_trend,6.612688617180133
eth_upward_trend__t1_0__xgboost,eth_upward_trend,7.264197027852227
eth_upward_trend__t1_0__shallow_mlp_exploratory,eth_upward_trend,0.0
eth_upward_trend__t1_5__logistic_regression,eth_upward_trend,6.381375054551773
eth_upward_trend__t1_5__elastic_net_logistic,eth_upward_trend,6.5564492126577285
eth_upward_trend__t1_5__random_forest,eth_upward_trend,5.633656422349457
eth_upward_trend__t1_5__gradient_boosting,eth_upward_trend,6.581487919884748
eth_upward_trend__t1_5__sgd_classifier,eth_upward_trend,6.612688617180133
eth_upward_trend__t1_5__xgboost,eth_upward_trend,7.264197027852227
eth_upward_trend__t1_5__shallow_mlp_exploratory,eth_upward_trend,0.0
eth_upward_trend__t2_0__logistic_regression,eth_upward_trend,6.381375054551773
eth_upward_trend__t2_0__elastic_net_logistic,eth_upward_trend,6.5564492126577285
