target,label_tstat_threshold,split,observations,positive_labels,negative_labels,neutral_labels,positive_rate,median_selected_horizon,median_abs_t_stat,mean_forward_return
btc_eth_upward_trend,1.0,development,287,175,112,0,0.6097560975609756,60.0,10.155270718062845,0.15078336931442898
btc_eth_upward_trend,1.0,holdout,76,32,43,1,0.42105263157894735,45.0,10.318871160773977,-0.03360345542760611
btc_eth_upward_trend,1.5,development,287,175,112,0,0.6097560975609756,60.0,10.155270718062845,0.15078336931442898
btc_eth_upward_trend,1.5,holdout,76,32,43,1,0.42105263157894735,45.0,10.318871160773977,-0.03360345542760611
btc_eth_upward_trend,2.0,development,287,175,112,0,0.6097560975609756,60.0,10.155270718062845,0.15078336931442898
btc_eth_upward_trend,2.0,holdout,76,32,43,1,0.42105263157894735,45.0,10.318871160773977,-0.03360345542760611
btc_upward_trend,1.0,development,287,169,118,0,0.5888501742160279,45.0,10.25533540237774,0.11911233598379138
btc_upward_trend,1.0,holdout,76,35,40,1,0.4605263157894737,45.0,9.634084995371715,-0.022675803376976493
btc_upward_trend,1.5,development,287,169,118,0,0.5888501742160279,45.0,10.25533540237774,0.11911233598379138
btc_upward_trend,1.5,holdout,76,35,40,1,0.4605263157894737,45.0,9.634084995371715,-0.022675803376976493
btc_upward_trend,2.0,development,287,168,118,1,0.5853658536585366,45.0,10.25533540237774,0.11911233598379138
btc_upward_trend,2.0,holdout,76,35,40,1,0.4605263157894737,45.0,9.634084995371715,-0.022675803376976493
eth_upward_trend,1.0,development,287,171,116,0,0.5958188153310104,45.0,10.67010908440273,0.1802862566000179
eth_upward_trend,1.0,holdout,76,31,44,1,0.40789473684210525,52.5,10.676735098418206,-0.021166019243932518
eth_upward_trend,1.5,development,287,171,116,0,0.5958188153310104,45.0,10.67010908440273,0.1802862566000179
eth_upward_trend,1.5,holdout,76,31,44,1,0.40789473684210525,52.5,10.676735098418206,-0.021166019243932518
eth_upward_trend,2.0,development,287,171,116,0,0.5958188153310104,45.0,10.67010908440273,0.1802862566000179
eth_upward_trend,2.0,holdout,76,31,44,1,0.40789473684210525,52.5,10.676735098418206,-0.021166019243932518
eth_vs_btc_relative_trend,1.0,development,287,119,168,0,0.4146341463414634,45.0,10.41824159009495,0.03477201247666126
eth_vs_btc_relative_trend,1.0,holdout,76,28,48,0,0.3684210526315789,60.0,11.787249892632023,0.005497825716031303
eth_vs_btc_relative_trend,1.5,development,287,119,168,0,0.4146341463414634,45.0,10.41824159009495,0.03477201247666126
eth_vs_btc_relative_trend,1.5,holdout,76,28,48,0,0.3684210526315789,60.0,11.787249892632023,0.005497825716031303
eth_vs_btc_relative_trend,2.0,development,287,119,168,0,0.4146341463414634,45.0,10.41824159009495,0.03477201247666126
eth_vs_btc_relative_trend,2.0,holdout,76,28,48,0,0.3684210526315789,60.0,11.787249892632023,0.005497825716031303
top20_upward_trend,1.0,development,287,156,131,0,0.5435540069686411,45.0,10.586709827572712,0.13215572477929882
top20_upward_trend,1.0,holdout,76,28,47,1,0.3684210526315789,45.0,8.928107417589604,-0.07189167996723951
top20_upward_trend,1.5,development,287,156,131,0,0.5435540069686411,45.0,10.586709827572712,0.13215572477929882
top20_upward_trend,1.5,holdout,76,28,47,1,0.3684210526315789,45.0,8.928107417589604,-0.07189167996723951
top20_upward_trend,2.0,development,287,156,130,1,0.5435540069686411,45.0,10.586709827572712,0.13215572477929882
top20_upward_trend,2.0,holdout,76,28,47,1,0.3684210526315789,45.0,8.928107417589604,-0.07189167996723951
