config,model,feature,importance,method
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,distance_from_90d_lows,2.6486105529020665,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,past_trend_t_stat,1.6406825377877003,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,primary_trend_probability,-1.567410290024584,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,falling_vix_after_high_vix,1.5249397622352299,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,dow_vol_level,1.3130898691117907,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,eth_btc_relative_strength_30d,-1.2576773032316682,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,cross_sectional_dispersion,-1.2469592831516618,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,volatility_4h_7d,-0.7913740548324232,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,vix_level,0.7891239504791021,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,vix_change_21d,0.6313418267361015,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,volatility_expansion_probability,-0.6048795042788606,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,tvl_percentile,-0.5973464930794151,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,stablecoin_supply_change_7d,0.5860079937845359,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,volatility_of_volatility,0.5478765894305565,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,downside_to_upside_volatility_ratio,0.5420101815204191,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,tvl_growth_30d,-0.5293889019524369,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,past_selected_trend_horizon,0.5090396945860701,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,recovery_from_drawdown,-0.41758743674966603,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,equity_realized_vol_21d,-0.3766967509272196,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,volume_confirmation_of_price_trend,0.3130543910687325,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,top20_30d_high_pct,-0.28294441449488744,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,previous_drawdown,-0.26605681826419997,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,upside_semivariance,0.23444371481804954,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,top20_above_30dma_pct,0.2196951262053864,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,dispersion_acceleration,-0.2160790698671493,coefficient
meta_btc_eth_upward_trend__logistic_regression,logistic_regression,market_dollar_volume_growth_30d,0.1879852011324075,coefficient
