model,fold,test_groups,train_samples,test_samples,config
logistic_regression,0,"0,1",139,72,meta_btc_eth_upward_trend__logistic_regression
logistic_regression,1,"0,2",131,72,meta_btc_eth_upward_trend__logistic_regression
logistic_regression,2,"0,3",131,72,meta_btc_eth_upward_trend__logistic_regression
logistic_regression,3,"0,4",131,72,meta_btc_eth_upward_trend__logistic_regression
logistic_regression,4,"0,5",136,71,meta_btc_eth_upward_trend__logistic_regression
logistic_regression,5,"1,2",135,72,meta_btc_eth_upward_trend__logistic_regression
logistic_regression,6,"1,3",127,72,meta_btc_eth_upward_trend__logistic_regression
logistic_regression,7,"1,4",127,72,meta_btc_eth_upward_trend__logistic_regression
logistic_regression,8,"1,5",132,71,meta_btc_eth_upward_trend__logistic_regression
logistic_regression,9,"2,3",135,72,meta_btc_eth_upward_trend__logistic_regression
logistic_regression,10,"2,4",127,72,meta_btc_eth_upward_trend__logistic_regression
logistic_regression,11,"2,5",132,71,meta_btc_eth_upward_trend__logistic_regression
logistic_regression,12,"3,4",135,72,meta_btc_eth_upward_trend__logistic_regression
logistic_regression,13,"3,5",132,71,meta_btc_eth_upward_trend__logistic_regression
logistic_regression,14,"4,5",140,71,meta_btc_eth_upward_trend__logistic_regression
elastic_net_logistic,0,"0,1",139,72,meta_btc_eth_upward_trend__elastic_net_logistic
elastic_net_logistic,1,"0,2",131,72,meta_btc_eth_upward_trend__elastic_net_logistic
elastic_net_logistic,2,"0,3",131,72,meta_btc_eth_upward_trend__elastic_net_logistic
elastic_net_logistic,3,"0,4",131,72,meta_btc_eth_upward_trend__elastic_net_logistic
elastic_net_logistic,4,"0,5",136,71,meta_btc_eth_upward_trend__elastic_net_logistic
elastic_net_logistic,5,"1,2",135,72,meta_btc_eth_upward_trend__elastic_net_logistic
elastic_net_logistic,6,"1,3",127,72,meta_btc_eth_upward_trend__elastic_net_logistic
elastic_net_logistic,7,"1,4",127,72,meta_btc_eth_upward_trend__elastic_net_logistic
elastic_net_logistic,8,"1,5",132,71,meta_btc_eth_upward_trend__elastic_net_logistic
elastic_net_logistic,9,"2,3",135,72,meta_btc_eth_upward_trend__elastic_net_logistic
elastic_net_logistic,10,"2,4",127,72,meta_btc_eth_upward_trend__elastic_net_logistic
elastic_net_logistic,11,"2,5",132,71,meta_btc_eth_upward_trend__elastic_net_logistic
elastic_net_logistic,12,"3,4",135,72,meta_btc_eth_upward_trend__elastic_net_logistic
elastic_net_logistic,13,"3,5",132,71,meta_btc_eth_upward_trend__elastic_net_logistic
elastic_net_logistic,14,"4,5",140,71,meta_btc_eth_upward_trend__elastic_net_logistic
random_forest,0,"0,1",139,72,meta_btc_eth_upward_trend__random_forest
random_forest,1,"0,2",131,72,meta_btc_eth_upward_trend__random_forest
random_forest,2,"0,3",131,72,meta_btc_eth_upward_trend__random_forest
random_forest,3,"0,4",131,72,meta_btc_eth_upward_trend__random_forest
random_forest,4,"0,5",136,71,meta_btc_eth_upward_trend__random_forest
random_forest,5,"1,2",135,72,meta_btc_eth_upward_trend__random_forest
random_forest,6,"1,3",127,72,meta_btc_eth_upward_trend__random_forest
random_forest,7,"1,4",127,72,meta_btc_eth_upward_trend__random_forest
random_forest,8,"1,5",132,71,meta_btc_eth_upward_trend__random_forest
random_forest,9,"2,3",135,72,meta_btc_eth_upward_trend__random_forest
random_forest,10,"2,4",127,72,meta_btc_eth_upward_trend__random_forest
random_forest,11,"2,5",132,71,meta_btc_eth_upward_trend__random_forest
random_forest,12,"3,4",135,72,meta_btc_eth_upward_trend__random_forest
random_forest,13,"3,5",132,71,meta_btc_eth_upward_trend__random_forest
random_forest,14,"4,5",140,71,meta_btc_eth_upward_trend__random_forest
gradient_boosting,0,"0,1",139,72,meta_btc_eth_upward_trend__gradient_boosting
gradient_boosting,1,"0,2",131,72,meta_btc_eth_upward_trend__gradient_boosting
gradient_boosting,2,"0,3",131,72,meta_btc_eth_upward_trend__gradient_boosting
gradient_boosting,3,"0,4",131,72,meta_btc_eth_upward_trend__gradient_boosting
gradient_boosting,4,"0,5",136,71,meta_btc_eth_upward_trend__gradient_boosting
gradient_boosting,5,"1,2",135,72,meta_btc_eth_upward_trend__gradient_boosting
gradient_boosting,6,"1,3",127,72,meta_btc_eth_upward_trend__gradient_boosting
gradient_boosting,7,"1,4",127,72,meta_btc_eth_upward_trend__gradient_boosting
gradient_boosting,8,"1,5",132,71,meta_btc_eth_upward_trend__gradient_boosting
gradient_boosting,9,"2,3",135,72,meta_btc_eth_upward_trend__gradient_boosting
gradient_boosting,10,"2,4",127,72,meta_btc_eth_upward_trend__gradient_boosting
gradient_boosting,11,"2,5",132,71,meta_btc_eth_upward_trend__gradient_boosting
gradient_boosting,12,"3,4",135,72,meta_btc_eth_upward_trend__gradient_boosting
gradient_boosting,13,"3,5",132,71,meta_btc_eth_upward_trend__gradient_boosting
gradient_boosting,14,"4,5",140,71,meta_btc_eth_upward_trend__gradient_boosting
sgd_classifier,0,"0,1",139,72,meta_btc_eth_upward_trend__sgd_classifier
sgd_classifier,1,"0,2",131,72,meta_btc_eth_upward_trend__sgd_classifier
sgd_classifier,2,"0,3",131,72,meta_btc_eth_upward_trend__sgd_classifier
