config,target,model,split,threshold,observations,positive_events,auc,precision,recall,f1,brier_score,true_negative,false_positive,false_negative,true_positive,selection_score
meta_btc_eth_upward_trend__logistic_regression,meta_positive_net_return,logistic_regression,development_cpcv,0.4,215,140,0.6475238095238096,0.675531914893617,0.9071428571428571,0.774390243902439,0.22781948036709634,14,61,13,127,0.4971433535469572
meta_btc_eth_upward_trend__logistic_regression,meta_positive_net_return,logistic_regression,holdout,0.4,50,21,0.7471264367816092,0.5454545454545454,0.8571428571428571,0.6666666666666666,0.2206060429958307,14,15,3,18,0.4971433535469572
meta_btc_eth_upward_trend__elastic_net_logistic,meta_positive_net_return,elastic_net_logistic,development_cpcv,0.4,215,140,0.6314285714285715,0.6815642458100558,0.8714285714285714,0.7648902821316614,0.23049618886962878,18,57,18,122,0.47742141077210887
meta_btc_eth_upward_trend__elastic_net_logistic,meta_positive_net_return,elastic_net_logistic,holdout,0.4,50,21,0.7832512315270936,0.5666666666666667,0.8095238095238095,0.6666666666666666,0.19183841103756116,16,13,4,17,0.47742141077210887
meta_btc_eth_upward_trend__random_forest,meta_positive_net_return,random_forest,development_cpcv,0.4,215,140,0.4446666666666666,0.6507177033492823,0.9714285714285714,0.7793696275071633,0.2549356553794073,2,73,4,136,0.2676679740379756
meta_btc_eth_upward_trend__random_forest,meta_positive_net_return,random_forest,holdout,0.4,50,21,0.7733990147783252,0.4444444444444444,0.9523809523809523,0.6060606060606061,0.21223618168623226,4,25,1,20,0.2676679740379756
meta_btc_eth_upward_trend__gradient_boosting,meta_positive_net_return,gradient_boosting,development_cpcv,0.4,215,140,0.5601904761904761,0.6582914572864321,0.9357142857142857,0.7728613569321534,0.24433324517449173,7,68,9,131,0.39314336670919975
meta_btc_eth_upward_trend__gradient_boosting,meta_positive_net_return,gradient_boosting,holdout,0.4,50,21,0.7783251231527093,0.45,0.8571428571428571,0.5901639344262295,0.20964872721145958,7,22,3,18,0.39314336670919975
meta_btc_eth_upward_trend__sgd_classifier,meta_positive_net_return,sgd_classifier,development_cpcv,0.4,215,140,0.7042857142857143,0.6898395721925134,0.9214285714285714,0.7889908256880734,0.22353992709453752,17,58,11,129,0.5596448697599841
meta_btc_eth_upward_trend__sgd_classifier,meta_positive_net_return,sgd_classifier,holdout,0.4,50,21,0.6683087027914615,0.4878048780487805,0.9523809523809523,0.6451612903225806,0.36303776478132493,8,21,1,20,0.5596448697599841
meta_btc_eth_upward_trend__xgboost,meta_positive_net_return,xgboost,development_cpcv,0.4,215,140,0.5141904761904762,0.6567164179104478,0.9428571428571428,0.7741935483870968,0.24943696752543273,6,69,8,132,0.3421728635037531
meta_btc_eth_upward_trend__xgboost,meta_positive_net_return,xgboost,holdout,0.4,50,21,0.7487684729064039,0.46153846153846156,0.8571428571428571,0.6,0.2264348417520523,8,21,3,18,0.3421728635037531
