candidate,family,description,rebalance_days,complexity,median_fold_sharpe,worst_fold_sharpe,positive_fold_fraction,development_sharpe,development_cagr,development_max_drawdown,development_turnover,development_exposure,turnover_penalty,complexity_penalty,selection_score
trend_scanning_meta_model_biweekly,trend_scanning_meta_model,"Primary trend model proposes trades; meta-model decides take, reduce, or skip.",14,3,1.3668132102826647,0.2775930844678581,1.0,1.2929366287923143,0.6896542288478287,-0.7126496599456735,5.2740408570004975,0.6983059292476332,0.0,0.09,1.6962114813996292
trend_scanning_meta_model_weekly,trend_scanning_meta_model,"Primary trend model proposes trades; meta-model decides take, reduce, or skip.",7,3,1.236044873824213,0.26438627474848153,1.0,1.1889514374610195,0.6009985337950794,-0.6193902090622654,8.365719980069755,0.6765072247135028,0.0,0.09,1.5621414425113331
pure_trend_scanning_biweekly,pure_trend_scanning,Long BTC/ETH when the trend-scanning model predicts an upward BTC/ETH trend; cash otherwise.,14,1,0.9769682118785199,-0.08469908515485772,0.9333333333333333,0.9748578450886479,0.4683860804451503,-0.7126496599456742,4.910313901345291,0.7488789237668162,0.0,0.03,1.252460107256472
pure_trend_scanning_weekly,pure_trend_scanning,Long BTC/ETH when the trend-scanning model predicts an upward BTC/ETH trend; cash otherwise.,7,1,0.866634952241766,-0.02670867775926417,0.9333333333333333,0.8508263328377386,0.37239537237791365,-0.6876683357590593,6.9108121574489285,0.752366716492277,0.0,0.03,1.1566244494686166
relative_btc_eth_trend_biweekly,relative_btc_eth_trend,Use BTC/ETH trend probability for exposure and relative trend probability for BTC-vs-ETH tilt.,14,2,0.8582896620547258,-0.39702211036898755,0.8666666666666667,0.9718722787139153,0.5469831313989859,-0.7609470173474899,5.801444942700547,0.9703537618335825,0.0,0.06,1.0023674677958123
relative_btc_eth_trend_weekly,relative_btc_eth_trend,Use BTC/ETH trend probability for exposure and relative trend probability for BTC-vs-ETH tilt.,7,2,0.8163718026856919,-0.338513326872367,0.8666666666666667,0.9846577928354838,0.5616064384142747,-0.7607886120837979,8.58395615346288,0.9651220727453911,0.0,0.06,0.9750768043009335
macro_gate_trend_confirmation_weekly,macro_gate_trend_confirmation,Frozen macro gate must permit exposure and trend model confirms BTC/ETH exposure.,7,2,0.7809988713704944,-0.25352350906852195,0.8,0.6399373047787712,0.18290819983684536,-0.6893239412425068,9.72969606377678,0.3636023916292975,0.0,0.06,0.9376179941033638
trend_first_macro_overlay_weekly,trend_first_macro_overlay,Trend model is the alpha engine; frozen macro gate acts as risk overlay.,7,2,0.7809988713704944,-0.25352350906852195,0.8,0.6399373047787712,0.18290819983684536,-0.6893239412425068,9.72969606377678,0.3636023916292975,0.0,0.06,0.9376179941033638
macro_gate_trend_confirmation_biweekly,macro_gate_trend_confirmation,Frozen macro gate must permit exposure and trend model confirms BTC/ETH exposure.,14,2,0.7776329325093909,-0.5404523414524083,0.7333333333333333,0.7886909004319206,0.24892372924156247,-0.6871655822451734,6.0924265072247135,0.3662182361733931,0.0,0.06,0.8391865138129555
trend_first_macro_overlay_biweekly,trend_first_macro_overlay,Trend model is the alpha engine; frozen macro gate acts as risk overlay.,14,2,0.7776329325093909,-0.5404523414524083,0.7333333333333333,0.7886909004319206,0.24892372924156247,-0.6871655822451734,6.0924265072247135,0.3662182361733931,0.0,0.06,0.8391865138129555
